TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
3190720.0,1912.96172,1.0,1.53,2.63,-9.31,-32.0,-13.88,27.19,-3.0,-3.0,0.88,-0.13682261807677445,0.006858860863664384,0.013022861538461328,-101.42891378684287,75.84572265044491,1.982532871583725,-0.1511,-0.774,0.6146,0.0173,0
3190720.0,1912.96172,1.0,1.53,2.63,-9.31,-32.0,-13.88,27.19,-3.0,-3.0,0.88,-0.13682261807677445,0.006858860863664384,0.013022861538461328,-101.42891378684287,75.84572265044491,1.982532871583725,-0.1511,-0.774,0.6146,0.0173,0
3190755.0,1913.078111,1.0,1.53,2.78,-9.27,-30.75,-12.75,27.56,0.56,3.31,-2.19,-0.27700470709607977,0.03848849492610107,0.012570817759081976,-101.42891378684287,75.84572265044491,2.0054546535892377,-0.1517,-0.774,0.6146,0.0175,0
3190755.0,1913.078111,1.0,1.53,2.78,-9.27,-30.75,-12.75,27.56,0.56,3.31,-2.19,-0.27700470709607977,0.03848849492610107,0.012570817759081976,-101.42891378684287,75.84572265044491,2.0054546535892377,-0.1517,-0.774,0.6146,0.0175,0
3190790.0,1913.134374,1.0,1.7,2.88,-9.23,-30.75,-12.75,27.56,-2.38,1.06,1.94,-0.3410798449654727,0.21982955345527588,-0.002154183323574088,-101.41081790768303,75.84572265044491,1.959611168911186,-0.152,-0.7739,0.6146,0.0171,0
3190790.0,1913.134374,1.0,1.7,2.88,-9.23,-30.75,-12.75,27.56,-2.38,1.06,1.94,-0.3410798449654727,0.21982955345527588,-0.002154183323574088,-101.41081790768303,75.84572265044491,1.959611168911186,-0.152,-0.7739,0.6146,0.0171,0
3190824.0,1913.203637,1.0,1.77,2.52,-9.57,-31.56,-14.25,28.0,1.75,0.25,-0.88,0.08630320408594455,0.13511462927601947,-0.245339643544213,-101.44701315982277,75.80214927173115,1.9137679978932431,-0.1522,-0.7741,0.6143,0.0167,0
3190824.0,1913.203637,1.0,1.77,2.52,-9.57,-31.56,-14.25,28.0,1.75,0.25,-0.88,0.08630320408594455,0.13511462927601947,-0.245339643544213,-101.44701315982277,75.80214927173115,1.9137679978932431,-0.1522,-0.7741,0.6143,0.0167,0
3190859.0,1913.207552,1.0,1.45,2.74,-9.14,-31.56,-13.5,28.0,-3.06,-0.5,-0.12,-0.28593669695834545,-0.03286018694326187,0.159533310882642,-101.42891378684287,75.80214927173115,1.94815034703792,-0.1523,-0.774,0.6143,0.017,0
3190859.0,1913.207552,1.0,1.45,2.74,-9.14,-31.56,-13.5,28.0,-3.06,-0.5,-0.12,-0.28593669695834545,-0.03286018694326187,0.159533310882642,-101.42891378684287,75.80214927173115,1.94815034703792,-0.1523,-0.774,0.6143,0.017,0
3190896.0,1913.210569,1.0,1.57,2.62,-9.08,-31.56,-14.25,26.87,-1.0,3.06,-2.69,-0.161344038724022,0.05491355843769563,0.22820270399904707,-101.5194456395094,75.70052817172606,1.8450038134157025,-0.1528,-0.7745,0.6136,0.0161,0
3190896.0,1913.210569,1.0,1.57,2.62,-9.08,-31.56,-14.25,26.87,-1.0,3.06,-2.69,-0.161344038724022,0.05491355843769563,0.22820270399904707,-101.5194456395094,75.70052817172606,1.8450038134157025,-0.1528,-0.7745,0.6136,0.0161,0
3190929.0,1913.249557,1.0,1.76,2.89,-9.29,-31.56,-14.25,26.87,-0.94,-0.12,2.13,-0.32055925525801754,0.22619339551729367,-0.07261506941143026,-101.55568290678625,75.64249040650832,1.7877008349543104,-0.1537,-0.7747,0.6132,0.0156,0
3190929.0,1913.249557,1.0,1.76,2.89,-9.29,-31.56,-14.25,26.87,-0.94,-0.12,2.13,-0.32055925525801754,0.22619339551729367,-0.07261506941143026,-101.55568290678625,75.64249040650832,1.7877008349543104,-0.1537,-0.7747,0.6132,0.0156,0
3190966.0,1913.267648,1.0,1.73,2.35,-9.54,-31.56,-13.5,27.56,3.5,-0.06,-4.56,0.24024266357347857,0.04572182300411143,-0.16667406860923784,-101.59193421891217,75.61348008001588,1.8450038134157025,-0.1534,-0.7749,0.613,0.0161,0
3190966.0,1913.267648,1.0,1.73,2.35,-9.54,-31.56,-13.5,27.56,3.5,-0.06,-4.56,0.24024266357347857,0.04572182300411143,-0.16667406860923784,-101.59193421891217,75.61348008001588,1.8450038134157025,-0.1534,-0.7749,0.613,0.0161,0
3191001.0,1913.271253,1.0,1.47,2.63,-9.3,-32.0,-14.25,26.87,-2.88,-1.19,-3.5,-0.1329500740111908,-0.08023830841483592,0.03200493781574032,-101.68262407663977,75.526483262398,1.9137679978932431,-0.1531,-0.7754,0.6124,0.0167,0
3191001.0,1913.271253,1.0,1.47,2.63,-9.3,-32.0,-14.25,26.87,-2.88,-1.19,-3.5,-0.1329500740111908,-0.08023830841483592,0.03200493781574032,-101.68262407663977,75.526483262398,1.9137679978932431,-0.1531,-0.7754,0.6124,0.0167,0
3191035.0,1913.315378,1.0,1.49,2.56,-9.03,-32.0,-14.25,26.87,1.19,0.31,-1.37,-0.12720851448692927,-0.010298504858127222,0.3041076067959736,-101.75523946512085,75.46851380016189,1.8908465277120163,-0.1526,-0.7758,0.612,0.0165,0
3191035.0,1913.315378,1.0,1.49,2.56,-9.03,-32.0,-14.25,26.87,1.19,0.31,-1.37,-0.12720851448692927,-0.010298504858127222,0.3041076067959736,-101.75523946512085,75.46851380016189,1.8908465277120163,-0.1526,-0.7758,0.612,0.0165,0
3191070.0,1913.334077,1.0,1.94,2.49,-9.89,-31.56,-13.06,26.87,2.75,4.75,0.12,0.2220197290233062,0.19563336620853855,-0.5706441957887218,-101.7734021529752,75.43953757831886,1.7533192633889718,-0.1531,-0.7759,0.6118,0.0153,0
3191070.0,1913.334077,1.0,1.94,2.49,-9.89,-31.56,-13.06,26.87,2.75,4.75,0.12,0.2220197290233062,0.19563336620853855,-0.5706441957887218,-101.7734021529752,75.43953757831886,1.7533192633889718,-0.1531,-0.7759,0.6118,0.0153,0
3191107.0,1913.337225,1.0,1.49,2.34,-9.01,-31.56,-13.88,26.75,3.25,-4.81,-2.19,0.05784154423732846,-0.04610256815862246,0.37954392713917606,-101.82791147470901,75.41056702241764,1.8106219718873995,-0.1518,-0.7762,0.6116,0.0158,0
3191107.0,1913.337225,1.0,1.49,2.34,-9.01,-31.56,-13.88,26.75,3.25,-4.81,-2.19,0.05784154423732846,-0.04610256815862246,0.37954392713917606,-101.82791147470901,75.41056702241764,1.8106219718873995,-0.1518,-0.7762,0.6116,0.0158,0
3191142.0,1913.374694,1.0,1.62,2.75,-9.36,-31.56,-13.88,26.87,-1.75,-0.06,0.0,-0.21687735334914132,0.09209864317833905,-0.07975389896796337,-101.86426876300013,75.39608386757838,1.856464464018338,-0.1518,-0.7764,0.6115,0.0162,0
3191142.0,1913.374694,1.0,1.62,2.75,-9.36,-31.56,-13.88,26.87,-1.75,-0.06,0.0,-0.21687735334914132,0.09209864317833905,-0.07975389896796337,-101.86426876300013,75.39608386757838,1.856464464018338,-0.1518,-0.7764,0.6115,0.0162,0
3191179.0,1913.381407,1.0,1.52,2.49,-9.27,-31.56,-13.88,26.87,0.12,2.5,-0.63,-0.019376180600783763,-0.03802863030959758,0.08854430048725526,-101.882452736899,75.3816021272852,1.8335431812694831,-0.1517,-0.7765,0.6114,0.016,0
3191179.0,1913.381407,1.0,1.52,2.49,-9.27,-31.56,-13.88,26.87,0.12,2.5,-0.63,-0.019376180600783763,-0.03802863030959758,0.08854430048725526,-101.882452736899,75.3816021272852,1.8335431812694831,-0.1517,-0.7765,0.6114,0.016,0
3191214.0,1913.398712,1.0,1.8,2.77,-9.48,-31.56,-13.88,26.0,-0.06,1.37,0.56,-0.16889390804726673,0.22898738094748117,-0.22840553682645925,-101.882452736899,75.36712180089249,1.7877008349543104,-0.1522,-0.7765,0.6113,0.0156,0
3191214.0,1913.398712,1.0,1.8,2.77,-9.48,-31.56,-13.88,26.0,-0.06,1.37,0.56,-0.16889390804726673,0.22898738094748117,-0.22840553682645925,-101.882452736899,75.36712180089249,1.7877008349543104,-0.1522,-0.7765,0.6113,0.0156,0
3191248.0,1913.402089,1.0,1.74,2.63,-9.35,-31.19,-13.5,27.19,2.31,-0.06,0.56,-0.09151669913615884,0.17892656254106676,-0.058774977110539695,-101.91883135691955,75.3381653872281,1.7533192633889718,-0.1515,-0.7767,0.6111,0.0153,0
3191248.0,1913.402089,1.0,1.74,2.63,-9.35,-31.19,-13.5,27.19,2.31,-0.06,0.56,-0.09151669913615884,0.17892656254106676,-0.058774977110539695,-101.91883135691955,75.3381653872281,1.7533192633889718,-0.1515,-0.7767,0.6111,0.0153,0
3191283.0,1913.440933,1.0,1.64,2.74,-9.25,-31.19,-13.5,27.19,0.25,-0.5,-1.88,-0.23407049136462071,0.12433124286133457,0.024551413954116086,-101.97342600574193,75.28026949834306,1.7647797695524667,-0.1519,-0.777,0.6107,0.0154,0
3191283.0,1913.440933,1.0,1.64,2.74,-9.25,-31.19,-13.5,27.19,0.25,-0.5,-1.88,-0.23407049136462071,0.12433124286133457,0.024551413954116086,-101.97342600574193,75.28026949834306,1.7647797695524667,-0.1519,-0.777,0.6107,0.0154,0
3191318.0,1913.493947,1.0,1.62,2.45,-9.51,-31.56,-14.25,26.87,4.25,0.31,-4.0,0.07287564828051687,-0.011054845314947714,-0.1463177448629729,-102.11916897408958,75.16454533036487,1.6730962049034406,-0.1514,-0.7778,0.6099,0.0146,0
3191318.0,1913.493947,1.0,1.62,2.45,-9.51,-31.56,-14.25,26.87,4.25,0.31,-4.0,0.07287564828051687,-0.011054845314947714,-0.1463177448629729,-102.11916897408958,75.16454533036487,1.6730962049034406,-0.1514,-0.7778,0.6099,0.0146,0
3191355.0,1913.501822,1.0,1.51,2.5,-9.01,-31.56,-13.5,26.0,-2.19,-1.88,0.75,-0.10989824054745273,0.015247797089674497,0.3357530054482929,-102.15564056347739,75.15008613528077,1.6960169933572922,-0.1508,-0.778,0.6098,0.0148,0
3191355.0,1913.501822,1.0,1.51,2.5,-9.01,-31.56,-13.5,26.0,-2.19,-1.88,0.75,-0.10989824054745273,0.015247797089674497,0.3357530054482929,-102.15564056347739,75.15008613528077,1.6960169933572922,-0.1508,-0.778,0.6098,0.0148,0
3191390.0,1913.519404,1.0,1.62,2.46,-9.39,-31.56,-13.5,26.0,-1.0,-1.69,-2.94,0.043726144689500354,0.02873970303755713,-0.03435411816497336,-102.17388174945586,75.10671696922732,1.7303983035632713,-0.1511,-0.7781,0.6095,0.0151,0
3191390.0,1913.519404,1.0,1.62,2.46,-9.39,-31.56,-13.5,26.0,-1.0,-1.69,-2.94,0.043726144689500354,0.02873970303755713,-0.03435411816497336,-102.17388174945586,75.10671696922732,1.7303983035632713,-0.1511,-0.7781,0.6095,0.0151,0
3191422.0,1913.60796,1.0,1.55,2.3,-9.66,-31.56,-13.5,27.69,0.44,-0.19,0.69,0.2385024310090417,-0.12075438016987161,-0.24007259844336204,-102.19212653307551,75.09226338481456,1.7877008349543104,-0.1509,-0.7782,0.6094,0.0156,0
3191422.0,1913.60796,1.0,1.55,2.3,-9.66,-31.56,-13.5,27.69,0.44,-0.19,0.69,0.2385024310090417,-0.12075438016987161,-0.24007259844336204,-102.19212653307551,75.09226338481456,1.7877008349543104,-0.1509,-0.7782,0.6094,0.0156,0
3191459.0,1913.666002,1.0,1.65,2.67,-9.36,-32.0,-13.5,26.37,3.69,4.88,-3.44,-0.15604983451287868,0.11356610354053709,-0.06369706528980856,-102.2103749169286,75.07781120147467,1.7303983035632713,-0.1508,-0.7783,0.6093,0.0151,0
3191459.0,1913.666002,1.0,1.65,2.67,-9.36,-32.0,-13.5,26.37,3.69,4.88,-3.44,-0.15604983451287868,0.11356610354053709,-0.06369706528980856,-102.2103749169286,75.07781120147467,1.7303983035632713,-0.1508,-0.7783,0.6093,0.0151,0
3191496.0,1913.685032,1.0,1.51,2.37,-9.24,-32.0,-14.25,27.56,1.19,1.94,-1.25,0.048339233508234006,-0.06587084651635733,0.14911799901325118,-102.37477281128581,74.93336628710402,1.5928739664684124,-0.1506,-0.7792,0.6083,0.0139,0
3191496.0,1913.685032,1.0,1.51,2.37,-9.24,-32.0,-14.25,27.56,1.19,1.94,-1.25,0.048339233508234006,-0.06587084651635733,0.14911799901325118,-102.37477281128581,74.93336628710402,1.5928739664684124,-0.1506,-0.7792,0.6083,0.0139,0
3191529.0,1913.728176,1.0,2.12,2.75,-9.94,-32.0,-14.25,27.56,-9.31,7.94,0.25,-0.008376197380644712,0.37635489079646156,-0.7156495032212913,-102.37477281128581,74.84676629523162,1.3522117780748235,-0.1531,-0.7792,0.6077,0.0118,0
3191529.0,1913.728176,1.0,2.12,2.75,-9.94,-32.0,-14.25,27.56,-9.31,7.94,0.25,-0.008376197380644712,0.37635489079646156,-0.7156495032212913,-102.37477281128581,74.84676629523162,1.3522117780748235,-0.1531,-0.7792,0.6077,0.0118,0
3191566.0,1913.781519,1.0,1.57,2.74,-9.86,-31.19,-13.06,26.87,8.38,4.25,-6.75,-0.16826149023120185,-0.12328857642491386,-0.5446102130285713,-102.57610266114541,74.6593044996872,1.306372069959298,-0.1526,-0.7803,0.6064,0.0114,0
3191566.0,1913.781519,1.0,1.57,2.74,-9.86,-31.19,-13.06,26.87,8.38,4.25,-6.75,-0.16826149023120185,-0.12328857642491386,-0.5446102130285713,-102.57610266114541,74.6593044996872,1.306372069959298,-0.1526,-0.7803,0.6064,0.0114,0
3191603.0,1913.839333,1.0,1.59,1.98,-8.87,-32.25,-13.5,27.69,0.81,4.69,-5.44,0.3273489886889885,-0.06623374691054129,0.586354140843719,-102.83298081073578,74.40012733902506,1.0771765184626354,-0.1525,-0.7817,0.6046,0.0094,0
3191603.0,1913.839333,1.0,1.59,1.98,-8.87,-32.25,-13.5,27.69,0.81,4.69,-5.44,0.3273489886889885,-0.06623374691054129,0.586354140843719,-102.83298081073578,74.40012733902506,1.0771765184626354,-0.1525,-0.7817,0.6046,0.0094,0
3191635.0,1913.84699,1.0,1.98,2.58,-9.64,-32.25,-13.5,27.69,2.19,6.44,-4.94,0.02794901694238358,0.22365411647820332,-0.36466248603808715,-103.01690791684815,74.15575682573264,0.93966131468631,-0.1542,-0.7827,0.6029,0.0082,0
3191635.0,1913.84699,1.0,1.98,2.58,-9.64,-32.25,-13.5,27.69,2.19,6.44,-4.94,0.02794901694238358,0.22365411647820332,-0.36466248603808715,-103.01690791684815,74.15575682573264,0.93966131468631,-0.1542,-0.7827,0.6029,0.0082,0
3191670.0,1913.905518,1.0,1.48,2.56,-9.27,-32.0,-14.56,26.87,1.81,-2.44,-4.5,-0.16709349234583204,-0.15055931541519807,0.07904435126210707,-103.18276029513798,74.01219332198103,0.9625804159917916,-0.1534,-0.7836,0.6019,0.0084,0
3191670.0,1913.905518,1.0,1.48,2.56,-9.27,-32.0,-14.56,26.87,1.81,-2.44,-4.5,-0.16709349234583204,-0.15055931541519807,0.07904435126210707,-103.18276029513798,74.01219332198103,0.9625804159917916,-0.1534,-0.7836,0.6019,0.0084,0
3191707.0,1913.923849,1.0,1.65,2.52,-9.24,-32.0,-14.25,26.37,-0.44,2.38,-2.44,-0.08349270282655186,-0.00013821669174096662,0.08844394386644616,-103.27503144100895,73.89744006262889,0.93966131468631,-0.1539,-0.7841,0.6011,0.0082,0
3191707.0,1913.923849,1.0,1.65,2.52,-9.24,-32.0,-14.25,26.37,-0.44,2.38,-2.44,-0.08349270282655186,-0.00013821669174096662,0.08844394386644616,-103.27503144100895,73.89744006262889,0.93966131468631,-0.1539,-0.7841,0.6011,0.0082,0
3191742.0,1913.926931,1.0,1.64,2.66,-9.38,-32.0,-14.25,26.37,-1.25,0.5,0.31,-0.19246515872240916,-0.016464721737605714,-0.0783025075043291,-103.27503144100895,73.89744006262889,0.9052827329224427,-0.1541,-0.7841,0.6011,0.0079,0
3191742.0,1913.926931,1.0,1.64,2.66,-9.38,-32.0,-14.25,26.37,-1.25,0.5,0.31,-0.19246515872240916,-0.016464721737605714,-0.0783025075043291,-103.27503144100895,73.89744006262889,0.9052827329224427,-0.1541,-0.7841,0.6011,0.0079,0
3191777.0,1913.964487,1.0,1.94,2.53,-9.42,-31.56,-13.88,27.19,0.31,7.81,-5.06,0.019062079080570005,0.20880492046611665,-0.1360325928584416,-103.42286086216532,73.73979529168804,0.8021474641450599,-0.1548,-0.7849,0.6,0.007,0
3191777.0,1913.964487,1.0,1.94,2.53,-9.42,-31.56,-13.88,27.19,0.31,7.81,-5.06,0.019062079080570005,0.20880492046611665,-0.1360325928584416,-103.42286086216532,73.73979529168804,0.8021474641450599,-0.1548,-0.7849,0.6,0.007,0
3191812.0,1913.969016,1.0,1.51,3.15,-9.18,-32.0,-13.88,26.87,-5.06,-1.25,-7.56,-0.70129491939895,-0.012345214358616685,0.009556909102698796,-103.68214546357069,73.41069853307816,0.8250663536663884,-0.1565,-0.7863,0.5977,0.0072,0
3191812.0,1913.969016,1.0,1.51,3.15,-9.18,-32.0,-13.88,26.87,-5.06,-1.25,-7.56,-0.70129491939895,-0.012345214358616685,0.009556909102698796,-103.68214546357069,73.41069853307816,0.8250663536663884,-0.1565,-0.7863,0.5977,0.0072,0
