TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
3202004.0,1924.255255,1.0,5.41,2.43,7.88,-1.88,38.56,-43.06,4.0,-1.88,-0.88,-0.17474987504766348,0.033362360658370394,-0.05416890281239084,-29.23915478171118,22.64135196781312,-55.744276234982536,-0.8242,-0.2524,0.1963,-0.4675,0
3202004.0,1924.255255,1.0,5.41,2.43,7.88,-1.88,38.56,-43.06,4.0,-1.88,-0.88,-0.17474987504766348,0.033362360658370394,-0.05416890281239084,-29.23915478171118,22.64135196781312,-55.744276234982536,-0.8242,-0.2524,0.1963,-0.4675,0
3202037.0,1924.259641,1.0,5.05,2.47,8.06,-1.88,39.0,-43.5,10.63,5.81,-0.75,-0.3441102121582422,0.37675943269349776,-0.006944677373063257,-29.487919662093987,22.337582426465428,-55.8609742090792,-0.8236,-0.2545,0.1937,-0.4684,0
3202037.0,1924.259641,1.0,5.05,2.47,8.06,-1.88,39.0,-43.5,10.63,5.81,-0.75,-0.3441102121582422,0.37675943269349776,-0.006944677373063257,-29.487919662093987,22.337582426465428,-55.8609742090792,-0.8236,-0.2545,0.1937,-0.4684,0
3202074.0,1924.262989,1.0,5.67,2.45,7.48,-1.88,38.25,-43.06,4.38,-4.25,-0.63,0.049390920456809484,-0.3758506872119842,0.11345151869885761,-29.61828173729524,22.174080183171977,-55.925833641791435,-0.8233,-0.2556,0.1923,-0.4689,0
3202074.0,1924.262989,1.0,5.67,2.45,7.48,-1.88,38.25,-43.06,4.38,-4.25,-0.63,0.049390920456809484,-0.3758506872119842,0.11345151869885761,-29.61828173729524,22.174080183171977,-55.925833641791435,-0.8233,-0.2556,0.1923,-0.4689,0
3202109.0,1924.300814,1.0,5.14,2.23,8.11,-1.88,38.25,-43.06,10.81,-7.69,1.81,-0.045303613238107276,0.5206641692704269,-0.036695793248627595,-30.03333207787963,22.22079043012782,-55.97773522242152,-0.8219,-0.2591,0.1927,-0.4693,0
3202109.0,1924.300814,1.0,5.14,2.23,8.11,-1.88,38.25,-43.06,10.81,-7.69,1.81,-0.045303613238107276,0.5206641692704269,-0.036695793248627595,-30.03333207787963,22.22079043012782,-55.97773522242152,-0.8219,-0.2591,0.1927,-0.4693,0
3202144.0,1924.326721,1.0,5.42,2.66,7.76,-1.88,38.25,-43.06,14.75,0.12,0.94,-0.2358862288688124,-0.03298813340539164,-0.022534578086041535,-30.270684516880635,22.150726459273766,-56.04262977353804,-0.8211,-0.2611,0.1921,-0.4698,0
3202144.0,1924.326721,1.0,5.42,2.66,7.76,-1.88,38.25,-43.06,14.75,0.12,0.94,-0.2358862288688124,-0.03298813340539164,-0.022534578086041535,-30.270684516880635,22.150726459273766,-56.04262977353804,-0.8211,-0.2611,0.1921,-0.4698,0
3202181.0,1924.372855,1.0,5.23,2.43,7.88,-2.69,38.19,-43.88,12.0,-0.94,-0.37,-0.06482365138288215,0.3054501513476171,0.04679866407981059,-30.733905595555413,21.835541927557028,-56.17247760648797,-0.8199,-0.265,0.1894,-0.4708,0
3202181.0,1924.372855,1.0,5.23,2.43,7.88,-2.69,38.19,-43.88,12.0,-0.94,-0.37,-0.06482365138288215,0.3054501513476171,0.04679866407981059,-30.733905595555413,21.835541927557028,-56.17247760648797,-0.8199,-0.265,0.1894,-0.4708,0
3202215.0,1924.44956,1.0,5.94,2.34,7.39,-2.69,37.56,-43.88,4.25,4.75,1.25,0.41646786364333543,-0.43755872331942824,0.05952750758207337,-30.84087559172584,21.637178319468855,-56.27641242483391,-0.8195,-0.2659,0.1877,-0.4716,0
3202215.0,1924.44956,1.0,5.94,2.34,7.39,-2.69,37.56,-43.88,4.25,4.75,1.25,0.41646786364333543,-0.43755872331942824,0.05952750758207337,-30.84087559172584,21.637178319468855,-56.27641242483391,-0.8195,-0.2659,0.1877,-0.4716,0
3202248.0,1924.49646,1.0,5.46,2.71,7.63,-2.69,37.56,-43.88,12.94,-13.81,0.75,-0.14080358143259053,-0.03542631327479451,0.041839744404475354,-31.328533702747045,21.777192841624235,-56.28940782045202,-0.8179,-0.27,0.1889,-0.4717,0
3202248.0,1924.49646,1.0,5.46,2.71,7.63,-2.69,37.56,-43.88,12.94,-13.81,0.75,-0.14080358143259053,-0.03542631327479451,0.041839744404475354,-31.328533702747045,21.777192841624235,-56.28940782045202,-0.8179,-0.27,0.1889,-0.4717,0
3202285.0,1924.554802,1.0,5.38,2.28,7.69,-1.5,36.75,-43.88,7.19,1.75,-1.06,0.2344534796571507,0.26787686912989184,0.15511263288268395,-31.673813768044596,21.62551192117329,-56.35439663135928,-0.8169,-0.2729,0.1876,-0.4722,0
3202285.0,1924.554802,1.0,5.38,2.28,7.69,-1.5,36.75,-43.88,7.19,1.75,-1.06,0.2344534796571507,0.26787686912989184,0.15511263288268395,-31.673813768044596,21.62551192117329,-56.35439663135928,-0.8169,-0.2729,0.1876,-0.4722,0
3202322.0,1924.562111,1.0,5.33,2.62,7.78,-3.0,36.06,-45.5,-3.25,2.5,0.37,-0.09069269697713955,0.19814047798371992,0.02124172105223998,-31.56662645811723,21.567183329657436,-56.36739676228097,-0.8173,-0.272,0.1871,-0.4723,0
3202322.0,1924.562111,1.0,5.33,2.62,7.78,-3.0,36.06,-45.5,-3.25,2.5,0.37,-0.09069269697713955,0.19814047798371992,0.02124172105223998,-31.56662645811723,21.567183329657436,-56.36739676228097,-0.8173,-0.272,0.1871,-0.4723,0
