TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
719960.0,681.127019,1.0,1.5,4.19,-9.03,3.06,-36.56,25.37,-1.06,2.88,2.25,0.2624311023210667,-0.05864450283364819,-0.2568827166369356,-149.37507492345586,-16.466118077182383,-10.72998370230972,-0.2014,-0.9645,-0.1432,-0.0935,0
719960.0,681.127019,1.0,1.5,4.19,-9.03,3.06,-36.56,25.37,-1.06,2.88,2.25,0.2624311023210667,-0.05864450283364819,-0.2568827166369356,-149.37507492345586,-16.466118077182383,-10.72998370230972,-0.2014,-0.9645,-0.1432,-0.0935,0
719994.0,681.129877,1.0,1.34,4.1,-8.81,3.06,-36.56,25.37,-1.37,1.56,1.75,0.1320437635193123,-0.005853687783067052,-0.0017255117172698675,-149.37507492345586,-16.43138337904295,-10.787532942523711,-0.2014,-0.9645,-0.1429,-0.094,0
719994.0,681.129877,1.0,1.34,4.1,-8.81,3.06,-36.56,25.37,-1.37,1.56,1.75,0.1320437635193123,-0.005853687783067052,-0.0017255117172698675,-149.37507492345586,-16.43138337904295,-10.787532942523711,-0.2014,-0.9645,-0.1429,-0.094,0
720029.0,681.171964,1.0,1.45,4.35,-9.22,2.69,-37.75,25.0,-1.94,3.44,0.63,0.16405362638129234,0.012128936739212559,-0.4892879998407462,-149.20198320614298,-16.396650200988272,-10.948685380949465,-0.2025,-0.9641,-0.1426,-0.0954,0
720029.0,681.171964,1.0,1.45,4.35,-9.22,2.69,-37.75,25.0,-1.94,3.44,0.63,0.16405362638129234,0.012128936739212559,-0.4892879998407462,-149.20198320614298,-16.396650200988272,-10.948685380949465,-0.2025,-0.9641,-0.1426,-0.0954,0
720064.0,681.175183,1.0,1.3,4.15,-8.7,2.69,-37.0,24.19,-2.19,2.88,1.12,0.08115917228107883,0.06953703567132807,0.0808555445621959,-149.1588584140195,-16.38507281218067,-11.063807546045702,-0.2028,-0.964,-0.1425,-0.0964,0
720064.0,681.175183,1.0,1.3,4.15,-8.7,2.69,-37.0,24.19,-2.19,2.88,1.12,0.08115917228107883,0.06953703567132807,0.0808555445621959,-149.1588584140195,-16.38507281218067,-11.063807546045702,-0.2028,-0.964,-0.1425,-0.0964,0
720099.0,681.248866,1.0,1.39,4.24,-8.78,3.06,-37.38,25.37,0.12,-0.06,1.63,0.15843431078009507,0.09101752303764643,-0.040416282891960975,-149.1588584140195,-16.350341655632345,-11.109859542072414,-0.2029,-0.964,-0.1422,-0.0968,0
720099.0,681.248866,1.0,1.39,4.24,-8.78,3.06,-37.38,25.37,0.12,-0.06,1.63,0.15843431078009507,0.09101752303764643,-0.040416282891960975,-149.1588584140195,-16.350341655632345,-11.109859542072414,-0.2029,-0.964,-0.1422,-0.0968,0
720134.0,681.265685,1.0,1.42,4.23,-8.94,3.06,-37.38,25.37,-1.0,3.0,0.81,0.13016191356465429,0.012793319158128647,-0.18413546497932565,-149.11579237958978,-16.327188391573927,-11.19045487105573,-0.2031,-0.9639,-0.142,-0.0975,0
720134.0,681.265685,1.0,1.42,4.23,-8.94,3.06,-37.38,25.37,-1.0,3.0,0.81,0.13016191356465429,0.012793319158128647,-0.18413546497932565,-149.11579237958978,-16.327188391573927,-11.19045487105573,-0.2031,-0.9639,-0.142,-0.0975,0
720171.0,681.308158,1.0,1.29,3.76,-8.63,2.0,-37.0,25.37,-0.81,3.75,0.81,-0.04377161159974852,-0.249779138522902,0.3085294265403906,-149.02983560319493,-16.327188391573927,-11.294085603048902,-0.2034,-0.9637,-0.142,-0.0984,0
720171.0,681.308158,1.0,1.29,3.76,-8.63,2.0,-37.0,25.37,-0.81,3.75,0.81,-0.04377161159974852,-0.249779138522902,0.3085294265403906,-149.02983560319493,-16.327188391573927,-11.294085603048902,-0.2034,-0.9637,-0.142,-0.0984,0
