TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
815663.0,706.379583,1.0,6.04,5.61,4.81,-14.56,-25.69,-18.75,-6.0,7.94,11.5,-0.10907520223878037,-0.6245889506800104,0.2836362310849818,-55.666512497314564,-15.18192036535379,-96.99036426880296,-0.4514,-0.4669,-0.1321,-0.7489,0
815663.0,706.379583,1.0,6.04,5.61,4.81,-14.56,-25.69,-18.75,-6.0,7.94,11.5,-0.10907520223878037,-0.6245889506800104,0.2836362310849818,-55.666512497314564,-15.18192036535379,-96.99036426880296,-0.4514,-0.4669,-0.1321,-0.7489,0
815699.0,706.389189,1.0,6.36,5.34,4.5,-14.56,-25.69,-19.19,-7.0,3.56,13.19,-0.34087020589752276,-1.039110099514187,0.42479209744045576,-55.43338813739566,-14.869843995469047,-97.59740634756899,-0.4482,-0.4651,-0.1294,-0.7524,0
815699.0,706.389189,1.0,6.36,5.34,4.5,-14.56,-25.69,-19.19,-7.0,3.56,13.19,-0.34087020589752276,-1.039110099514187,0.42479209744045576,-55.43338813739566,-14.869843995469047,-97.59740634756899,-0.4482,-0.4651,-0.1294,-0.7524,0
815734.0,706.444997,1.0,5.64,5.53,4.86,-14.56,-25.69,-19.19,-15.25,3.31,7.44,-0.10330048510329126,-0.24342262973731899,0.5362576440579261,-55.18758242160567,-14.46546520944767,-97.89358356014313,-0.4483,-0.4632,-0.1259,-0.7541,0
815734.0,706.444997,1.0,5.64,5.53,4.86,-14.56,-25.69,-19.19,-15.25,3.31,7.44,-0.10330048510329126,-0.24342262973731899,0.5362576440579261,-55.18758242160567,-14.46546520944767,-97.89358356014313,-0.4483,-0.4632,-0.1259,-0.7541,0
815769.0,706.460467,1.0,5.52,5.28,5.08,-13.88,-24.19,-20.0,-17.06,5.0,17.19,0.12496535066826997,-0.17497692021242583,0.6355559137676856,-54.81293529494486,-13.807290567361372,-98.40086710313935,-0.4479,-0.4603,-0.1202,-0.757,0
815769.0,706.460467,1.0,5.52,5.28,5.08,-13.88,-24.19,-20.0,-17.06,5.0,17.19,0.12496535066826997,-0.17497692021242583,0.6355559137676856,-54.81293529494486,-13.807290567361372,-98.40086710313935,-0.4479,-0.4603,-0.1202,-0.757,0
815806.0,706.506034,1.0,5.63,5.38,5.2,-16.06,-24.5,-21.19,-14.81,5.75,16.19,0.04953252286179877,-0.1134513559316015,0.4436389822228559,-54.50336228612648,-13.253393932396618,-98.89313900458244,-0.4468,-0.4579,-0.1154,-0.7598,0
815806.0,706.506034,1.0,5.63,5.38,5.2,-16.06,-24.5,-21.19,-14.81,5.75,16.19,0.04953252286179877,-0.1134513559316015,0.4436389822228559,-54.50336228612648,-13.253393932396618,-98.89313900458244,-0.4468,-0.4579,-0.1154,-0.7598,0
815839.0,706.521743,1.0,6.46,5.73,5.34,-16.06,-24.5,-21.19,-15.13,4.5,23.37,-0.32928756311947216,-0.4212393138208115,-0.3320987956486334,-54.11700047633841,-12.538402281482076,-99.70728571646619,-0.4436,-0.4549,-0.1092,-0.7644,0
815839.0,706.521743,1.0,6.46,5.73,5.34,-16.06,-24.5,-21.19,-15.13,4.5,23.37,-0.32928756311947216,-0.4212393138208115,-0.3320987956486334,-54.11700047633841,-12.538402281482076,-99.70728571646619,-0.4436,-0.4549,-0.1092,-0.7644,0
815876.0,706.561119,1.0,6.39,5.81,5.49,-15.38,-24.19,-21.19,-11.94,-4.31,18.56,-0.3172688500288846,-0.1817857716824518,-0.42049986738803646,-54.03980807797137,-11.939110700430108,-100.13478976112897,-0.4413,-0.4543,-0.104,-0.7668,0
815876.0,706.561119,1.0,6.39,5.81,5.49,-15.38,-24.19,-21.19,-11.94,-4.31,18.56,-0.3172688500288846,-0.1817857716824518,-0.42049986738803646,-54.03980807797137,-11.939110700430108,-100.13478976112897,-0.4413,-0.4543,-0.104,-0.7668,0
815912.0,706.620649,1.0,5.87,5.96,6.02,-15.75,-23.0,-20.75,-19.87,3.94,2.44,0.0066879521747160164,0.5088700063772724,-0.48703284861668905,-53.75699560652143,-11.248026360967865,-100.45667199365036,-0.4419,-0.4521,-0.098,-0.7686,0
