TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
880125.0,770.975442,1.0,3.67,3.26,-8.7,-5.88,-21.87,31.75,3.94,2.0,1.0,-0.021871295392218215,-0.1607617861070063,-0.18135166672821157,-132.24132459051677,-36.58884114328757,-26.912168656137837,-0.1061,-0.9144,-0.3139,-0.2327,0
880125.0,770.975442,1.0,3.67,3.26,-8.7,-5.88,-21.87,31.75,3.94,2.0,1.0,-0.021871295392218215,-0.1607617861070063,-0.18135166672821157,-132.24132459051677,-36.58884114328757,-26.912168656137837,-0.1061,-0.9144,-0.3139,-0.2327,0
880158.0,770.988433,1.0,3.67,3.64,-8.59,-5.5,-21.5,32.19,0.75,-0.25,0.12,0.22757474714051312,0.14009057619205767,-0.2150855964386782,-132.24132459051677,-36.54056778374004,-26.923951406435997,-0.1063,-0.9144,-0.3135,-0.2328,0
880158.0,770.988433,1.0,3.67,3.64,-8.59,-5.5,-21.5,32.19,0.75,-0.25,0.12,0.22757474714051312,0.14009057619205767,-0.2150855964386782,-132.24132459051677,-36.54056778374004,-26.923951406435997,-0.1063,-0.9144,-0.3135,-0.2328,0
880193.0,771.028257,1.0,3.41,3.2,-8.58,-5.5,-21.87,31.37,3.06,-0.12,-1.31,-0.1704692864523073,-0.0336125039213806,0.036577818999669276,-132.24132459051677,-36.60091053338324,-26.900386195717594,-0.1057,-0.9144,-0.314,-0.2326,0
880193.0,771.028257,1.0,3.41,3.2,-8.58,-5.5,-21.87,31.37,3.06,-0.12,-1.31,-0.1704692864523073,-0.0336125039213806,0.036577818999669276,-132.24132459051677,-36.60091053338324,-26.900386195717594,-0.1057,-0.9144,-0.314,-0.2326,0
880228.0,771.043689,1.0,3.57,3.53,-8.53,-5.88,-22.19,31.0,-0.06,-0.31,-0.81,0.13562964106882636,0.1263412715471639,-0.0894271259912589,-132.24132459051677,-36.57677217345314,-26.912168656137837,-0.1058,-0.9144,-0.3138,-0.2327,0
880228.0,771.043689,1.0,3.57,3.53,-8.53,-5.88,-22.19,31.0,-0.06,-0.31,-0.81,0.13562964106882636,0.1263412715471639,-0.0894271259912589,-132.24132459051677,-36.57677217345314,-26.912168656137837,-0.1058,-0.9144,-0.3138,-0.2327,0
880263.0,771.091267,1.0,3.57,3.17,-8.84,-5.88,-22.19,31.0,4.56,-0.06,-2.19,-0.18950315261762785,-0.15941355023243142,-0.23715783742651197,-132.24132459051677,-36.67333570940443,-26.853259249897157,-0.1049,-0.9144,-0.3146,-0.2322,0
880263.0,771.091267,1.0,3.57,3.17,-8.84,-5.88,-22.19,31.0,4.56,-0.06,-2.19,-0.18950315261762785,-0.15941355023243142,-0.23715783742651197,-132.24132459051677,-36.67333570940443,-26.853259249897157,-0.1049,-0.9144,-0.3146,-0.2322,0
880300.0,771.104851,1.0,3.35,3.25,-8.57,-5.88,-21.06,29.75,1.44,0.75,1.19,-0.16652907376837994,0.0442264550044027,0.04959039742158744,-132.24132459051677,-36.67333570940443,-26.829697512461113,-0.1053,-0.9144,-0.3146,-0.232,0
880300.0,771.104851,1.0,3.35,3.25,-8.57,-5.88,-21.06,29.75,1.44,0.75,1.19,-0.16652907376837994,0.0442264550044027,0.04959039742158744,-132.24132459051677,-36.67333570940443,-26.829697512461113,-0.1053,-0.9144,-0.3146,-0.232,0
880334.0,771.143304,1.0,3.65,3.42,-8.66,-6.56,-22.56,31.37,-0.63,-0.12,-1.12,0.08537470152764365,-0.007916021477329727,-0.1937074184597538,-132.24132459051677,-36.67333570940443,-26.853259249897157,-0.105,-0.9144,-0.3146,-0.2322,0
880334.0,771.143304,1.0,3.65,3.42,-8.66,-6.56,-22.56,31.37,-0.63,-0.12,-1.12,0.08537470152764365,-0.007916021477329727,-0.1937074184597538,-132.24132459051677,-36.67333570940443,-26.853259249897157,-0.105,-0.9144,-0.3146,-0.2322,0
880371.0,771.202268,1.0,3.45,3.06,-8.7,-6.56,-22.56,31.37,0.0,-0.63,-0.69,-0.256400950142452,-0.16763324718945483,-0.035212509058068164,-132.2130251212284,-36.72162758785172,-26.8179170771013,-0.1049,-0.9143,-0.315,-0.2319,0
880371.0,771.202268,1.0,3.45,3.06,-8.7,-6.56,-22.56,31.37,0.0,-0.63,-0.69,-0.256400950142452,-0.16763324718945483,-0.035212509058068164,-132.2130251212284,-36.72162758785172,-26.8179170771013,-0.1049,-0.9143,-0.315,-0.2319,0
880404.0,771.255937,1.0,3.58,3.52,-8.7,-6.25,-22.56,31.0,-2.0,-1.12,2.0,0.07459512744430391,0.1032529646733995,-0.23728221762511303,-132.269639855159,-36.64919229993541,-26.80613693045263,-0.1054,-0.9145,-0.3144,-0.2318,0
880404.0,771.255937,1.0,3.58,3.52,-8.7,-6.25,-22.56,31.0,-2.0,-1.12,2.0,0.07459512744430391,0.1032529646733995,-0.23728221762511303,-132.269639855159,-36.64919229993541,-26.80613693045263,-0.1054,-0.9145,-0.3144,-0.2318,0
880441.0,771.262593,1.0,3.5,3.13,-8.65,-5.88,-21.87,31.37,2.63,1.56,-1.31,-0.16183117658571416,-0.146811335744784,-0.03314964745124982,-132.24132459051677,-36.709553985355754,-26.8179170771013,-0.1052,-0.9144,-0.3149,-0.2319,0
880441.0,771.262593,1.0,3.5,3.13,-8.65,-5.88,-21.87,31.37,2.63,1.56,-1.31,-0.16183117658571416,-0.146811335744784,-0.03314964745124982,-132.24132459051677,-36.709553985355754,-26.8179170771013,-0.1052,-0.9144,-0.3149,-0.2319,0
880476.0,771.279286,1.0,3.72,3.62,-8.7,-6.25,-21.87,31.0,-4.56,-1.19,2.13,0.21753111611899678,0.08809338726473581,-0.32141594412972196,-132.24132459051677,-36.637121227016124,-26.829697512461113,-0.1058,-0.9144,-0.3143,-0.232,0
880476.0,771.279286,1.0,3.72,3.62,-8.7,-6.25,-21.87,31.0,-4.56,-1.19,2.13,0.21753111611899678,0.08809338726473581,-0.32141594412972196,-132.24132459051677,-36.637121227016124,-26.829697512461113,-0.1058,-0.9144,-0.3143,-0.232,0
880510.0,771.322571,1.0,3.42,3.25,-8.67,-6.25,-21.87,31.0,3.5,-0.81,-2.56,-0.1656373541123778,-0.02461668316846266,-0.062481587218425005,-132.18474141916647,-36.709553985355754,-26.782577502705934,-0.1062,-0.9142,-0.3149,-0.2316,0
880510.0,771.322571,1.0,3.42,3.25,-8.67,-6.25,-21.87,31.0,3.5,-0.81,-2.56,-0.1656373541123778,-0.02461668316846266,-0.062481587218425005,-132.18474141916647,-36.709553985355754,-26.782577502705934,-0.1062,-0.9142,-0.3149,-0.2316,0
880545.0,771.370242,1.0,3.45,3.35,-8.69,-5.88,-21.5,31.37,-0.25,-0.5,1.12,-0.09307968447854187,0.039382514317497286,-0.12465833223414613,-132.24132459051677,-36.709553985355754,-26.747240522777687,-0.1058,-0.9144,-0.3149,-0.2313,0
880545.0,771.370242,1.0,3.45,3.35,-8.69,-5.88,-21.5,31.37,-0.25,-0.5,1.12,-0.09307968447854187,0.039382514317497286,-0.12465833223414613,-132.24132459051677,-36.709553985355754,-26.747240522777687,-0.1058,-0.9144,-0.3149,-0.2313,0
880580.0,771.419564,1.0,3.51,3.39,-8.64,-6.25,-21.87,31.75,-0.75,-0.5,0.19,-0.005839061615767249,0.0354540853556764,-0.11607688897517932,-132.24132459051677,-36.709553985355754,-26.747240522777687,-0.1058,-0.9144,-0.3149,-0.2313,0
880580.0,771.419564,1.0,3.51,3.39,-8.64,-6.25,-21.87,31.75,-0.75,-0.5,0.19,-0.005839061615767249,0.0354540853556764,-0.11607688897517932,-132.24132459051677,-36.709553985355754,-26.747240522777687,-0.1058,-0.9144,-0.3149,-0.2313,0
880617.0,771.435629,1.0,3.42,3.37,-8.6,-6.25,-21.87,31.75,2.31,1.0,-0.75,-0.06056050675370095,0.07440894171192047,-0.04241572901283064,-132.24132459051677,-36.709553985355754,-26.747240522777687,-0.106,-0.9144,-0.3149,-0.2313,0
880617.0,771.435629,1.0,3.42,3.37,-8.6,-6.25,-21.87,31.75,2.31,1.0,-0.75,-0.06056050675370095,0.07440894171192047,-0.04241572901283064,-132.24132459051677,-36.709553985355754,-26.747240522777687,-0.106,-0.9144,-0.3149,-0.2313,0
880652.0,771.476363,1.0,3.59,3.31,-8.76,-5.88,-22.56,31.37,-0.94,-0.06,0.5,-0.05218952016007733,-0.08059937345836565,-0.22193813567411524,-132.24132459051677,-36.72162758785172,-26.759019228055674,-0.1057,-0.9144,-0.315,-0.2314,0
880652.0,771.476363,1.0,3.59,3.31,-8.76,-5.88,-22.56,31.37,-0.94,-0.06,0.5,-0.05218952016007733,-0.08059937345836565,-0.22193813567411524,-132.24132459051677,-36.72162758785172,-26.759019228055674,-0.1057,-0.9144,-0.315,-0.2314,0
880689.0,771.530244,1.0,3.64,3.41,-8.65,-5.06,-22.19,31.75,-0.44,-0.37,-0.06,0.08745122199917726,-0.031384768366578,-0.17791645428760816,-132.24132459051677,-36.69748080490138,-26.759019228055674,-0.1059,-0.9144,-0.3148,-0.2314,0
880689.0,771.530244,1.0,3.64,3.41,-8.65,-5.06,-22.19,31.75,-0.44,-0.37,-0.06,0.08745122199917726,-0.031384768366578,-0.17791645428760816,-132.24132459051677,-36.69748080490138,-26.759019228055674,-0.1059,-0.9144,-0.3148,-0.2314,0
880723.0,771.536781,1.0,3.41,3.47,-8.55,-5.06,-22.19,31.75,-1.06,-1.63,-0.44,0.011137301458007731,0.1548112457100883,-0.029376099940867206,-132.24132459051677,-36.69748080490138,-26.723683975588177,-0.1063,-0.9144,-0.3148,-0.2311,0
880723.0,771.536781,1.0,3.41,3.47,-8.55,-5.06,-22.19,31.75,-1.06,-1.63,-0.44,0.011137301458007731,0.1548112457100883,-0.029376099940867206,-132.24132459051677,-36.69748080490138,-26.723683975588177,-0.1063,-0.9144,-0.3148,-0.2311,0
880756.0,771.62479,1.0,3.49,3.54,-8.7,-5.88,-21.87,31.0,0.75,-0.88,-0.88,0.03570166629492377,0.14805335961917354,-0.21225740518791802,-132.269639855159,-36.709553985355754,-26.688351311037593,-0.1064,-0.9145,-0.3149,-0.2308,0
880756.0,771.62479,1.0,3.49,3.54,-8.7,-5.88,-21.87,31.0,0.75,-0.88,-0.88,0.03570166629492377,0.14805335961917354,-0.21225740518791802,-132.269639855159,-36.709553985355754,-26.688351311037593,-0.1064,-0.9145,-0.3149,-0.2308,0
880791.0,771.630365,1.0,3.41,3.27,-8.57,-5.88,-21.87,30.19,1.88,-0.75,-1.94,-0.08841602140443594,-0.009558176506785143,0.021048779409573726,-132.24132459051677,-36.769926221818416,-26.629469277048536,-0.1063,-0.9144,-0.3154,-0.2303,0
880791.0,771.630365,1.0,3.41,3.27,-8.57,-5.88,-21.87,30.19,1.88,-0.75,-1.94,-0.08841602140443594,-0.009558176506785143,0.021048779409573726,-132.24132459051677,-36.769926221818416,-26.629469277048536,-0.1063,-0.9144,-0.3154,-0.2303,0
880826.0,771.641049,1.0,3.32,3.16,-8.7,-5.5,-22.19,31.0,0.88,-0.19,-0.88,-0.2650659114133986,-0.04512241601046818,-0.0231874366100282,-132.24132459051677,-36.81823162272425,-26.594143494418116,-0.1061,-0.9144,-0.3158,-0.23,0
880826.0,771.641049,1.0,3.32,3.16,-8.7,-5.5,-22.19,31.0,0.88,-0.19,-0.88,-0.2650659114133986,-0.04512241601046818,-0.0231874366100282,-132.24132459051677,-36.81823162272425,-26.594143494418116,-0.1061,-0.9144,-0.3158,-0.23,0
880861.0,771.685552,1.0,3.42,3.41,-8.65,-5.5,-22.19,31.0,-0.69,0.81,0.88,-0.039259519109108076,0.09074341926823792,-0.09977338697568605,-132.269639855159,-36.78200193719797,-26.594143494418116,-0.1061,-0.9145,-0.3155,-0.23,0
880861.0,771.685552,1.0,3.42,3.41,-8.65,-5.5,-22.19,31.0,-0.69,0.81,0.88,-0.039259519109108076,0.09074341926823792,-0.09977338697568605,-132.269639855159,-36.78200193719797,-26.594143494418116,-0.1061,-0.9145,-0.3155,-0.23,0
880898.0,771.702554,1.0,3.74,3.18,-8.73,-6.25,-21.06,30.56,-1.81,0.94,1.25,0.011810759964533957,-0.2809496425618718,-0.20503456376315476,-132.24132459051677,-36.78200193719797,-26.676574330601248,-0.1057,-0.9144,-0.3155,-0.2307,0
880898.0,771.702554,1.0,3.74,3.18,-8.73,-6.25,-21.06,30.56,-1.81,0.94,1.25,0.011810759964533957,-0.2809496425618718,-0.20503456376315476,-132.24132459051677,-36.78200193719797,-26.676574330601248,-0.1057,-0.9144,-0.3155,-0.2307,0
880932.0,771.741403,1.0,3.73,3.61,-8.51,-5.06,-21.87,31.75,-2.69,-1.5,-0.5,0.33107678937712876,0.0570491880701236,-0.15589152059986766,-132.24132459051677,-36.73370161256758,-26.688351311037593,-0.1066,-0.9144,-0.3151,-0.2308,0
880932.0,771.741403,1.0,3.73,3.61,-8.51,-5.06,-21.87,31.75,-2.69,-1.5,-0.5,0.33107678937712876,0.0570491880701236,-0.15589152059986766,-132.24132459051677,-36.73370161256758,-26.688351311037593,-0.1066,-0.9144,-0.3151,-0.2308,0
880965.0,771.793114,1.0,3.49,3.36,-8.7,-5.06,-21.87,31.75,2.0,-1.63,-1.56,-0.04415376017613715,-0.002384711658756089,-0.1511481882850294,-132.24132459051677,-36.79407807568971,-26.594143494418116,-0.1065,-0.9144,-0.3156,-0.23,0
880965.0,771.793114,1.0,3.49,3.36,-8.7,-5.06,-21.87,31.75,2.0,-1.63,-1.56,-0.04415376017613715,-0.002384711658756089,-0.1511481882850294,-132.24132459051677,-36.79407807568971,-26.594143494418116,-0.1065,-0.9144,-0.3156,-0.23,0
881002.0,771.84267,1.0,3.21,3.54,-8.58,-5.06,-21.06,30.56,-0.44,-0.75,-1.12,-0.08140178521551733,0.31125697293871646,-0.009081905780679023,-132.24132459051677,-36.80615463747225,-26.5588202853178,-0.1068,-0.9144,-0.3157,-0.2297,0
881002.0,771.84267,1.0,3.21,3.54,-8.58,-5.06,-21.06,30.56,-0.44,-0.75,-1.12,-0.08140178521551733,0.31125697293871646,-0.009081905780679023,-132.24132459051677,-36.80615463747225,-26.5588202853178,-0.1068,-0.9144,-0.3157,-0.2297,0
881039.0,771.848734,1.0,3.39,3.39,-8.64,-4.0,-21.87,31.0,2.31,2.13,-2.0,-0.05883984448622104,0.08932741125051358,-0.07375274919500185,-132.18474141916647,-36.90278239165085,-26.5588202853178,-0.106,-0.9142,-0.3165,-0.2297,0
881039.0,771.848734,1.0,3.39,3.39,-8.64,-4.0,-21.87,31.0,2.31,2.13,-2.0,-0.05883984448622104,0.08932741125051358,-0.07375274919500185,-132.18474141916647,-36.90278239165085,-26.5588202853178,-0.106,-0.9142,-0.3165,-0.2297,0
