TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1887858.0,1780.477515,1.0,2.98,6.67,-7.1,0.25,-31.5,21.06,1.88,-0.37,-0.44,0.033466095137637986,-0.09551881361163916,-0.3800597817068727,-114.02723737175657,-44.76649060212524,-33.4525819599508,-0.2619,-0.8388,-0.3808,-0.2878,0
1887858.0,1780.477515,1.0,2.98,6.67,-7.1,0.25,-31.5,21.06,1.88,-0.37,-0.44,0.033466095137637986,-0.09551881361163916,-0.3800597817068727,-114.02723737175657,-44.76649060212524,-33.4525819599508,-0.2619,-0.8388,-0.3808,-0.2878,0
1887893.0,1780.486627,1.0,2.73,6.52,-6.77,0.69,-31.87,22.25,-0.94,-0.5,-1.63,0.05325858274586959,0.08253131120765911,0.01958955745474178,-114.02723737175657,-44.77888374446125,-33.41668743131049,-0.2621,-0.8388,-0.3809,-0.2875,0
1887893.0,1780.486627,1.0,2.73,6.52,-6.77,0.69,-31.87,22.25,-0.94,-0.5,-1.63,0.05325858274586959,0.08253131120765911,0.01958955745474178,-114.02723737175657,-44.77888374446125,-33.41668743131049,-0.2621,-0.8388,-0.3809,-0.2875,0
1887930.0,1780.544832,1.0,2.79,6.5,-6.97,1.75,-32.25,22.25,-1.12,-1.69,-0.06,-0.056893576753740405,-0.02195332620367818,-0.12367130257590198,-114.02723737175657,-44.77888374446125,-33.39275962065839,-0.2621,-0.8388,-0.3809,-0.2873,0
1887930.0,1780.544832,1.0,2.79,6.5,-6.97,1.75,-32.25,22.25,-1.12,-1.69,-0.06,-0.056893576753740405,-0.02195332620367818,-0.12367130257590198,-114.02723737175657,-44.77888374446125,-33.39275962065839,-0.2621,-0.8388,-0.3809,-0.2873,0
1887965.0,1780.561109,1.0,2.74,6.59,-6.89,1.75,-32.25,22.25,1.37,-0.25,-0.75,0.016699794856694927,0.08130538135716181,-0.11307331024480227,-114.02723737175657,-44.7912774389752,-33.368833308546726,-0.2623,-0.8388,-0.381,-0.2871,0
1887965.0,1780.561109,1.0,2.74,6.59,-6.89,1.75,-32.25,22.25,1.37,-0.25,-0.75,0.016699794856694927,0.08130538135716181,-0.11307331024480227,-114.02723737175657,-44.7912774389752,-33.368833308546726,-0.2623,-0.8388,-0.381,-0.2871,0
1888002.0,1780.648808,1.0,2.68,6.55,-7.0,0.25,-31.87,22.75,-0.81,0.94,0.25,-0.10883232035771373,0.0850903785547219,-0.1465311574753816,-114.00619273526415,-44.82846183777319,-33.38079627736779,-0.262,-0.8387,-0.3813,-0.2872,0
1888002.0,1780.648808,1.0,2.68,6.55,-7.0,0.25,-31.87,22.75,-0.81,0.94,0.25,-0.10883232035771373,0.0850903785547219,-0.1465311574753816,-114.00619273526415,-44.82846183777319,-33.38079627736779,-0.262,-0.8387,-0.3813,-0.2872,0
1888034.0,1780.653255,1.0,2.85,6.43,-7.02,0.25,-31.5,21.5,2.25,2.44,0.94,-0.09140811567356288,-0.11496762739820321,-0.12945723578602575,-114.00619273526415,-44.82846183777319,-33.41668743131049,-0.2617,-0.8387,-0.3813,-0.2875,0
1888034.0,1780.653255,1.0,2.85,6.43,-7.02,0.25,-31.5,21.5,2.25,2.44,0.94,-0.09140811567356288,-0.11496762739820321,-0.12945723578602575,-114.00619273526415,-44.82846183777319,-33.41668743131049,-0.2617,-0.8387,-0.3813,-0.2875,0
1888069.0,1780.710708,1.0,2.97,6.53,-7.08,0.25,-31.5,21.5,-0.56,-0.69,0.37,-0.022796365503412463,-0.16531888301533293,-0.2710655145716654,-114.00619273526415,-44.81606648541225,-33.44061674182814,-0.2618,-0.8387,-0.3812,-0.2877,0
1888069.0,1780.710708,1.0,2.97,6.53,-7.08,0.25,-31.5,21.5,-0.56,-0.69,0.37,-0.022796365503412463,-0.16531888301533293,-0.2710655145716654,-114.00619273526415,-44.81606648541225,-33.44061674182814,-0.2618,-0.8387,-0.3812,-0.2877,0
1888104.0,1780.757596,1.0,2.86,6.69,-6.94,0.69,-31.19,22.0,-1.37,-0.63,-0.44,0.09108437582490336,0.04392543146652539,-0.24765625120157786,-114.00619273526415,-44.81606648541225,-33.44061674182814,-0.2618,-0.8387,-0.3812,-0.2877,0
1888104.0,1780.757596,1.0,2.86,6.69,-6.94,0.69,-31.19,22.0,-1.37,-0.63,-0.44,0.09108437582490336,0.04392543146652539,-0.24765625120157786,-114.00619273526415,-44.81606648541225,-33.44061674182814,-0.2618,-0.8387,-0.3812,-0.2877,0
1888141.0,1780.769316,1.0,2.83,6.55,-6.88,1.0,-32.25,22.25,0.5,-0.44,-1.31,0.05503786854501003,-0.0033264439434601556,-0.1050985726685365,-113.98515404910734,-44.878048779944685,-33.40472333858408,-0.2617,-0.8386,-0.3817,-0.2874,0
1888141.0,1780.769316,1.0,2.83,6.55,-6.88,1.0,-32.25,22.25,0.5,-0.44,-1.31,0.05503786854501003,-0.0033264439434601556,-0.1050985726685365,-113.98515404910734,-44.878048779944685,-33.40472333858408,-0.2617,-0.8386,-0.3817,-0.2874,0
1888174.0,1780.777529,1.0,2.71,6.54,-6.86,1.0,-32.25,22.25,1.56,-0.31,-0.12,0.0011046363256873581,0.0870596374025725,-0.0507187868169936,-113.98515404910734,-44.878048779944685,-33.38079627736779,-0.2618,-0.8386,-0.3817,-0.2872,0
1888174.0,1780.777529,1.0,2.71,6.54,-6.86,1.0,-32.25,22.25,1.56,-0.31,-0.12,0.0011046363256873581,0.0870596374025725,-0.0507187868169936,-113.98515404910734,-44.878048779944685,-33.38079627736779,-0.2618,-0.8386,-0.3817,-0.2872,0
1888210.0,1780.820076,1.0,2.75,6.55,-7.06,1.37,-31.5,23.56,2.0,0.63,-0.88,-0.10521417188300597,0.021124258255545314,-0.20819317120084158,-113.98515404910734,-44.902845573736435,-33.38079627736779,-0.2615,-0.8386,-0.3819,-0.2872,0
1888210.0,1780.820076,1.0,2.75,6.55,-7.06,1.37,-31.5,23.56,2.0,0.63,-0.88,-0.10521417188300597,0.021124258255545314,-0.20819317120084158,-113.98515404910734,-44.902845573736435,-33.38079627736779,-0.2615,-0.8386,-0.3819,-0.2872,0
1888245.0,1780.883553,1.0,2.81,6.46,-7.0,1.0,-31.19,22.75,0.0,0.94,0.31,-0.07642172781597878,-0.05862716867399076,-0.12403087165280446,-113.98515404910734,-44.915244802076664,-33.40472333858408,-0.2612,-0.8386,-0.382,-0.2874,0
1888245.0,1780.883553,1.0,2.81,6.46,-7.0,1.0,-31.19,22.75,0.0,0.94,0.31,-0.07642172781597878,-0.05862716867399076,-0.12403087165280446,-113.98515404910734,-44.915244802076664,-33.40472333858408,-0.2612,-0.8386,-0.382,-0.2874,0
1888280.0,1780.900716,1.0,2.85,6.53,-6.96,-0.06,-31.87,22.25,1.5,-0.31,0.19,0.013609030364138408,-0.03806502730204908,-0.15343864659291384,-114.00619273526415,-44.927644585005865,-33.38079627736779,-0.2609,-0.8387,-0.3821,-0.2872,0
1888280.0,1780.900716,1.0,2.85,6.53,-6.96,-0.06,-31.87,22.25,1.5,-0.31,0.19,0.013609030364138408,-0.03806502730204908,-0.15343864659291384,-114.00619273526415,-44.927644585005865,-33.38079627736779,-0.2609,-0.8387,-0.3821,-0.2872,0
1888315.0,1780.9039,1.0,2.81,6.4,-7.02,-0.06,-31.87,22.25,1.63,0.06,-0.63,-0.10940185519197132,-0.09405787536800769,-0.09868615533374125,-114.00619273526415,-44.952445815509726,-33.368833308546726,-0.2608,-0.8387,-0.3823,-0.2871,0
1888315.0,1780.9039,1.0,2.81,6.4,-7.02,-0.06,-31.87,22.25,1.63,0.06,-0.63,-0.10940185519197132,-0.09405787536800769,-0.09868615533374125,-114.00619273526415,-44.952445815509726,-33.368833308546726,-0.2608,-0.8387,-0.3823,-0.2871,0
1888352.0,1780.957573,1.0,2.84,6.63,-7.1,1.0,-31.87,22.0,-0.25,-0.19,0.25,-0.032075519974422706,-0.0028166225719541416,-0.31419300973271724,-114.00619273526415,-44.952445815509726,-33.356870714029654,-0.2607,-0.8387,-0.3823,-0.287,0
1888352.0,1780.957573,1.0,2.84,6.63,-7.1,1.0,-31.87,22.0,-0.25,-0.19,0.25,-0.032075519974422706,-0.0028166225719541416,-0.31419300973271724,-114.00619273526415,-44.952445815509726,-33.356870714029654,-0.2607,-0.8387,-0.3823,-0.287,0
1888387.0,1780.992667,1.0,2.75,6.43,-6.9,1.0,-31.19,22.0,0.25,-1.37,-0.25,-0.040898362377286945,-0.0026410417333506686,-0.017591464299085757,-114.02723737175657,-44.952445815509726,-33.3449084936511,-0.2607,-0.8388,-0.3823,-0.2869,0
1888387.0,1780.992667,1.0,2.75,6.43,-6.9,1.0,-31.19,22.0,0.25,-1.37,-0.25,-0.040898362377286945,-0.0026410417333506686,-0.017591464299085757,-114.02723737175657,-44.952445815509726,-33.3449084936511,-0.2607,-0.8388,-0.3823,-0.2869,0
1888419.0,1781.045938,1.0,2.79,6.5,-6.94,1.0,-31.19,22.0,1.06,0.88,0.5,-0.011829911148089733,-0.0070577291734919,-0.10281568900973426,-114.02723737175657,-44.952445815509726,-33.33294664724561,-0.2609,-0.8388,-0.3823,-0.2868,0
