TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1062039.0,1018.908422,1.0,-1.25,5.07,-8.36,15.75,14.38,18.25,0.25,-1.25,-0.37,-0.009000142419597346,-0.08139905998265196,-0.04983482931264582,-23.42489188862897,-140.23768007093892,-28.210041571444723,-0.1224,-0.203,-0.9404,-0.2437,0
1062039.0,1018.908422,1.0,-1.25,5.07,-8.36,15.75,14.38,18.25,0.25,-1.25,-0.37,-0.009000142419597346,-0.08139905998265196,-0.04983482931264582,-23.42489188862897,-140.23768007093892,-28.210041571444723,-0.1224,-0.203,-0.9404,-0.2437,0
1062074.0,1019.00581,1.0,-1.27,4.97,-8.44,15.75,14.38,18.25,-1.25,-0.63,0.0,-0.051658099132452784,0.039600895878433295,-0.06974424131295187,-23.42489188862897,-140.23768007093892,-28.210041571444723,-0.1225,-0.203,-0.9404,-0.2437,0
1062074.0,1019.00581,1.0,-1.27,4.97,-8.44,15.75,14.38,18.25,-1.25,-0.63,0.0,-0.051658099132452784,0.039600895878433295,-0.06974424131295187,-23.42489188862897,-140.23768007093892,-28.210041571444723,-0.1225,-0.203,-0.9404,-0.2437,0
1062107.0,1019.018657,1.0,-1.26,4.94,-8.48,17.19,14.75,17.87,0.19,-1.31,0.12,-0.08956060961015638,0.07037125948287581,-0.08721814057297905,-23.43659483600267,-140.23768007093892,-28.18641141984425,-0.1229,-0.2031,-0.9404,-0.2435,0
1062107.0,1019.018657,1.0,-1.26,4.94,-8.48,17.19,14.75,17.87,0.19,-1.31,0.12,-0.08956060961015638,0.07037125948287581,-0.08721814057297905,-23.43659483600267,-140.23768007093892,-28.18641141984425,-0.1229,-0.2031,-0.9404,-0.2435,0
1062144.0,1019.06715,1.0,-1.3,5.15,-8.41,16.06,15.19,18.25,-0.37,-0.5,0.56,0.03305173670362371,-0.10697495274072288,-0.1396087912333659,-23.448298031292182,-140.23768007093892,-28.19822634265853,-0.1231,-0.2032,-0.9404,-0.2436,0
1062144.0,1019.06715,1.0,-1.3,5.15,-8.41,16.06,15.19,18.25,-0.37,-0.5,0.56,0.03305173670362371,-0.10697495274072288,-0.1396087912333659,-23.448298031292182,-140.23768007093892,-28.19822634265853,-0.1231,-0.2032,-0.9404,-0.2436,0
1062180.0,1019.080296,1.0,-1.21,5.29,-8.38,17.19,14.75,17.5,-0.37,0.88,-1.06,0.0023667126720029463,-0.26789679632819663,-0.17337132789245047,-23.42489188862897,-140.20399733163396,-28.22185710635222,-0.1233,-0.203,-0.9403,-0.2438,0
1062180.0,1019.080296,1.0,-1.21,5.29,-8.38,17.19,14.75,17.5,-0.37,0.88,-1.06,0.0023667126720029463,-0.26789679632819663,-0.17337132789245047,-23.42489188862897,-140.20399733163396,-28.22185710635222,-0.1233,-0.203,-0.9403,-0.2438,0
1062213.0,1019.083394,1.0,-1.42,4.61,-8.14,17.19,14.75,17.5,1.06,-0.69,-1.5,0.04651327877152989,0.2584509633995995,0.34836582080472134,-23.37808257553645,-140.27139021079807,-28.162782491534042,-0.1235,-0.2026,-0.9405,-0.2433,0
