TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
2283948.0,2226.643772,1.0,3.76,-1.32,-9.07,-11.75,-13.88,28.06,-0.25,2.38,-0.69,0.09152667544856437,-0.17106155210846874,-0.09826094422719223,-154.3228637180319,-11.685663847129462,-20.797769475573418,0.0797,-0.975,-0.1018,-0.1805,0
2283948.0,2226.643772,1.0,3.76,-1.32,-9.07,-11.75,-13.88,28.06,-0.25,2.38,-0.69,0.09152667544856437,-0.17106155210846874,-0.09826094422719223,-154.3228637180319,-11.685663847129462,-20.797769475573418,0.0797,-0.975,-0.1018,-0.1805,0
2283980.0,2226.653258,1.0,3.72,-1.18,-9.18,-11.75,-13.88,28.06,-1.25,-3.0,0.0,0.05150511999778348,-0.015577729920897898,-0.168333937678522,-154.37448496866148,-11.674144907935558,-20.786119068432164,0.0793,-0.9751,-0.1017,-0.1804,0
2283980.0,2226.653258,1.0,3.72,-1.18,-9.18,-11.75,-13.88,28.06,-1.25,-3.0,0.0,0.05150511999778348,-0.015577729920897898,-0.168333937678522,-154.37448496866148,-11.674144907935558,-20.786119068432164,0.0793,-0.9751,-0.1017,-0.1804,0
2284015.0,2226.672491,1.0,3.58,-1.15,-9.21,-12.5,-14.56,28.5,-2.31,0.19,0.63,-0.0740300322212297,0.036679166617376135,-0.14102179761503741,-154.42620867150097,-11.662626087112967,-20.751169149926106,0.079,-0.9752,-0.1016,-0.1801,0
2284015.0,2226.672491,1.0,3.58,-1.15,-9.21,-12.5,-14.56,28.5,-2.31,0.19,0.63,-0.0740300322212297,0.036679166617376135,-0.14102179761503741,-154.42620867150097,-11.662626087112967,-20.751169149926106,0.079,-0.9752,-0.1016,-0.1801,0
2284052.0,2226.771309,1.0,3.59,-1.1,-9.02,-11.75,-13.56,27.56,-1.63,-1.31,-0.69,0.011192418148558564,0.03531407017250143,0.03643364383757408,-154.47803544959177,-11.662626087112967,-20.73951961095484,0.0784,-0.9753,-0.1016,-0.18,0
2284052.0,2226.771309,1.0,3.59,-1.1,-9.02,-11.75,-13.56,27.56,-1.63,-1.31,-0.69,0.011192418148558564,0.03531407017250143,0.03643364383757408,-154.47803544959177,-11.662626087112967,-20.73951961095484,0.0784,-0.9753,-0.1016,-0.18,0
2284087.0,2226.885684,1.0,3.47,-1.0,-9.08,-11.75,-13.56,27.56,-1.12,-0.12,-1.31,-0.09558721786647933,0.1514652121883837,0.03653119963338014,-154.47803544959177,-11.685663847129462,-20.727870288694774,0.0778,-0.9753,-0.1018,-0.1799,0
2284087.0,2226.885684,1.0,3.47,-1.0,-9.08,-11.75,-13.56,27.56,-1.12,-0.12,-1.31,-0.09558721786647933,0.1514652121883837,0.03653119963338014,-154.47803544959177,-11.685663847129462,-20.727870288694774,0.0778,-0.9753,-0.1018,-0.1799,0
