TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
671832.0,639.232112,1.0,9.33,2.53,-0.85,-29.5,14.75,-7.0,2.25,-2.06,-0.19,-0.037358069559341206,0.08933426866078542,0.10289177119598314,-30.37753644795623,87.57727090479605,-6.971466463000761,-0.6699,-0.262,0.692,-0.0608,0
671832.0,639.232112,1.0,9.33,2.53,-0.85,-29.5,14.75,-7.0,2.25,-2.06,-0.19,-0.037358069559341206,0.08933426866078542,0.10289177119598314,-30.37753644795623,87.57727090479605,-6.971466463000761,-0.6699,-0.262,0.692,-0.0608,0
671866.0,639.245827,1.0,9.31,2.89,-0.93,-29.5,14.75,-7.0,-0.19,1.0,-0.44,-0.124642615805832,-0.26218014988128546,0.01845170882642222,-30.341916136964517,87.57727090479605,-6.959986103018455,-0.67,-0.2617,0.692,-0.0607,0
671866.0,639.245827,1.0,9.31,2.89,-0.93,-29.5,14.75,-7.0,-0.19,1.0,-0.44,-0.124642615805832,-0.26218014988128546,0.01845170882642222,-30.341916136964517,87.57727090479605,-6.959986103018455,-0.67,-0.2617,0.692,-0.0607,0
671901.0,639.326596,1.0,9.42,2.65,-1.01,-29.5,14.0,-6.19,2.81,0.12,-0.94,0.0580382498976581,-0.05158739139342927,-0.030675363257941513,-30.258813745298948,87.6407824219454,-6.81074774568607,-0.67,-0.261,0.6924,-0.0594,0
671901.0,639.326596,1.0,9.42,2.65,-1.01,-29.5,14.0,-6.19,2.81,0.12,-0.94,0.0580382498976581,-0.05158739139342927,-0.030675363257941513,-30.258813745298948,87.6407824219454,-6.81074774568607,-0.67,-0.261,0.6924,-0.0594,0
671936.0,639.417955,1.0,9.39,2.48,-0.86,-30.19,14.75,-7.38,0.12,-0.06,-0.12,-0.005044003818194948,0.15518592003408438,0.05790690725985215,-30.258813745298948,87.67255085031938,-6.776309776380446,-0.6699,-0.261,0.6926,-0.0591,0
671936.0,639.417955,1.0,9.39,2.48,-0.86,-30.19,14.75,-7.38,0.12,-0.06,-0.12,-0.005044003818194948,0.15518592003408438,0.05790690725985215,-30.258813745298948,87.67255085031938,-6.776309776380446,-0.6699,-0.261,0.6926,-0.0591,0
671971.0,639.423952,1.0,9.35,2.83,-1.05,-30.19,14.75,-7.38,-0.37,-0.37,-0.06,0.011842272407404528,-0.24233144687704544,-0.0155205966878178,-30.19946487135094,87.67255085031938,-6.7533514707706495,-0.67,-0.2605,0.6926,-0.0589,0
671971.0,639.423952,1.0,9.35,2.83,-1.05,-30.19,14.75,-7.38,-0.37,-0.37,-0.06,0.011842272407404528,-0.24233144687704544,-0.0155205966878178,-30.19946487135094,87.67255085031938,-6.7533514707706495,-0.67,-0.2605,0.6926,-0.0589,0
