TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
105637.0,33.657295,1.0,-0.79,-3.53,-9.12,12.56,-5.06,39.19,0.75,0.0,-0.31,-0.06792132238551207,-0.08039488336280165,-0.003972985146988961,-146.83107004149565,-25.347589124808927,8.993207204284674,0.1647,-0.9584,-0.2194,0.0784,0
105637.0,33.657295,1.0,-0.79,-3.53,-9.12,12.56,-5.06,39.19,0.75,0.0,-0.31,-0.06792132238551207,-0.08039488336280165,-0.003972985146988961,-146.83107004149565,-25.347589124808927,8.993207204284674,0.1647,-0.9584,-0.2194,0.0784,0
105672.0,33.65981,1.0,-0.86,-3.35,-9.07,12.25,-5.38,39.19,-1.19,0.63,-0.19,-0.07512727216001952,0.08649656226722624,0.10026683026608652,-146.871240884656,-25.347589124808927,8.97021831291304,0.1645,-0.9585,-0.2194,0.0782,0
105672.0,33.65981,1.0,-0.86,-3.35,-9.07,12.25,-5.38,39.19,-1.19,0.63,-0.19,-0.07512727216001952,0.08649656226722624,0.10026683026608652,-146.871240884656,-25.347589124808927,8.97021831291304,0.1645,-0.9585,-0.2194,0.0782,0
105707.0,33.721263,1.0,-0.73,-3.37,-9.2,12.25,-5.38,39.19,0.0,1.5,-0.5,0.05479059047448187,0.05117090709521288,-0.018021980756534717,-146.9114591288739,-25.335843929176026,8.92424161449454,0.1646,-0.9586,-0.2193,0.0778,0
105707.0,33.721263,1.0,-0.73,-3.37,-9.2,12.25,-5.38,39.19,0.0,1.5,-0.5,0.05479059047448187,0.05117090709521288,-0.018021980756534717,-146.9114591288739,-25.335843929176026,8.92424161449454,0.1646,-0.9586,-0.2193,0.0778,0
105742.0,33.73641,1.0,-0.81,-3.49,-9.02,12.56,-5.75,38.88,0.69,-1.12,-0.19,-0.10165595415227535,-0.0638301466809097,0.1018990099250825,-146.871240884656,-25.347589124808927,8.935735653853005,0.1647,-0.9585,-0.2194,0.0779,0
105742.0,33.73641,1.0,-0.81,-3.49,-9.02,12.56,-5.75,38.88,0.69,-1.12,-0.19,-0.10165595415227535,-0.0638301466809097,0.1018990099250825,-146.871240884656,-25.347589124808927,8.935735653853005,0.1647,-0.9585,-0.2194,0.0779,0
105777.0,33.770854,1.0,-0.79,-3.44,-9.05,12.25,-5.38,38.88,-1.06,0.94,-0.12,-0.059292137973140646,-0.021410250059211933,0.09293670159722289,-146.871240884656,-25.347589124808927,8.92424161449454,0.1647,-0.9585,-0.2194,0.0778,0
105777.0,33.770854,1.0,-0.79,-3.44,-9.05,12.25,-5.38,38.88,-1.06,0.94,-0.12,-0.059292137973140646,-0.021410250059211933,0.09293670159722289,-146.871240884656,-25.347589124808927,8.92424161449454,0.1647,-0.9585,-0.2194,0.0778,0
105814.0,33.814455,1.0,-0.65,-3.47,-9.12,11.88,-5.06,38.88,0.12,0.5,0.25,0.06390950049076544,-0.08849760769339943,0.027801205321788203,-146.871240884656,-25.335843929176026,8.889760035755181,0.1647,-0.9585,-0.2193,0.0775,0
105814.0,33.814455,1.0,-0.65,-3.47,-9.12,11.88,-5.06,38.88,0.12,0.5,0.25,0.06390950049076544,-0.08849760769339943,0.027801205321788203,-146.871240884656,-25.335843929176026,8.889760035755181,0.1647,-0.9585,-0.2193,0.0775,0
105848.0,33.869534,1.0,-0.93,-3.35,-9.0,11.88,-5.06,38.88,-1.44,0.44,-0.75,-0.16948313958751127,0.1033497308524669,0.16051117150866112,-146.9114591288739,-25.347589124808927,8.866772764864926,0.1646,-0.9586,-0.2194,0.0773,0
105848.0,33.869534,1.0,-0.93,-3.35,-9.0,11.88,-5.06,38.88,-1.44,0.44,-0.75,-0.16948313958751127,0.1033497308524669,0.16051117150866112,-146.9114591288739,-25.347589124808927,8.866772764864926,0.1646,-0.9586,-0.2194,0.0773,0
105883.0,33.883893,1.0,-0.93,-3.43,-9.03,11.88,-3.88,39.19,0.37,2.06,-1.06,-0.20239779246464334,0.04621443555987237,0.10471208226669226,-146.871240884656,-25.37108032838959,8.820799294692952,0.1646,-0.9585,-0.2196,0.0769,0
