TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1933465.0,1864.84946,1.0,6.71,3.76,-6.16,-24.87,-30.56,13.88,2.69,3.0,-5.0,-0.17893094734133475,0.08471069936333175,-0.04566484543084037,-127.61080606533372,7.040350098228412,-43.59162801664085,-0.231,-0.8973,0.0614,-0.3713,0
1933465.0,1864.84946,1.0,6.71,3.76,-6.16,-24.87,-30.56,13.88,2.69,3.0,-5.0,-0.17893094734133475,0.08471069936333175,-0.04566484543084037,-127.61080606533372,7.040350098228412,-43.59162801664085,-0.231,-0.8973,0.0614,-0.3713,0
1933500.0,1864.857997,1.0,6.6,3.76,-6.13,-24.87,-30.56,13.88,2.31,1.94,-5.38,-0.23114063489020092,0.09434239591773963,0.04897745378104723,-127.61080606533372,6.856665996646211,-43.59162801664085,-0.231,-0.8973,0.0598,-0.3713,0
1933500.0,1864.857997,1.0,6.6,3.76,-6.13,-24.87,-30.56,13.88,2.31,1.94,-5.38,-0.23114063489020092,0.09434239591773963,0.04897745378104723,-127.61080606533372,6.856665996646211,-43.59162801664085,-0.231,-0.8973,0.0598,-0.3713,0
1933533.0,1864.926251,1.0,6.63,3.83,-6.08,-24.5,-31.0,14.25,1.81,2.25,-6.56,-0.18608228156456813,0.15868455569440432,0.032582648263987934,-127.63677172962699,6.569694717687417,-43.603969689006306,-0.2311,-0.8974,0.0573,-0.3714,0
1933533.0,1864.926251,1.0,6.63,3.83,-6.08,-24.5,-31.0,14.25,1.81,2.25,-6.56,-0.18608228156456813,0.15868455569440432,0.032582648263987934,-127.63677172962699,6.569694717687417,-43.603969689006306,-0.2311,-0.8974,0.0573,-0.3714,0
1933568.0,1864.945576,1.0,6.63,3.85,-5.98,-23.75,-31.69,15.5,2.63,1.69,-9.44,-0.11476287301780025,0.19878299832207347,0.08620171802479071,-127.6627493662712,6.294241112432485,-43.603969689006306,-0.2315,-0.8975,0.0549,-0.3714,0
1933568.0,1864.945576,1.0,6.63,3.85,-5.98,-23.75,-31.69,15.5,2.63,1.69,-9.44,-0.11476287301780025,0.19878299832207347,0.08620171802479071,-127.6627493662712,6.294241112432485,-43.603969689006306,-0.2315,-0.8975,0.0549,-0.3714,0
1933602.0,1864.989679,1.0,6.25,3.83,-5.89,-24.87,-30.56,13.38,1.5,4.25,-12.25,-0.30414965846269926,0.20661398060617198,0.41046440965137876,-127.6627493662712,5.823757869537402,-43.603969689006306,-0.2325,-0.8975,0.0508,-0.3714,0
1933602.0,1864.989679,1.0,6.25,3.83,-5.89,-24.87,-30.56,13.38,1.5,4.25,-12.25,-0.30414965846269926,0.20661398060617198,0.41046440965137876,-127.6627493662712,5.823757869537402,-43.603969689006306,-0.2325,-0.8975,0.0508,-0.3714,0
1933637.0,1865.015071,1.0,5.63,4.25,-5.96,-24.87,-30.56,13.38,-0.31,8.19,-18.0,-0.8927355566360875,0.5267994288513818,0.630239722136464,-127.50706277493767,5.15836210329675,-43.715068693348314,-0.2347,-0.8969,0.045,-0.3723,0
1933637.0,1865.015071,1.0,5.63,4.25,-5.96,-24.87,-30.56,13.38,-0.31,8.19,-18.0,-0.8927355566360875,0.5267994288513818,0.630239722136464,-127.50706277493767,5.15836210329675,-43.715068693348314,-0.2347,-0.8969,0.045,-0.3723,0
1933674.0,1865.055774,1.0,5.01,4.89,-6.11,-23.75,-30.56,13.5,3.19,12.69,-27.87,-1.579394441584716,1.0201988644474131,0.7067045345111271,-127.32596885361228,4.412865642375664,-43.83856273356188,-0.2367,-0.8962,0.0385,-0.3733,0
1933674.0,1865.055774,1.0,5.01,4.89,-6.11,-23.75,-30.56,13.5,3.19,12.69,-27.87,-1.579394441584716,1.0201988644474131,0.7067045345111271,-127.32596885361228,4.412865642375664,-43.83856273356188,-0.2367,-0.8962,0.0385,-0.3733,0
1933711.0,1865.062805,1.0,4.49,4.74,-5.86,-24.06,-32.06,13.88,8.94,20.87,-37.38,-1.729363527062605,0.9624995608391189,1.2597092381454917,-126.93984342653314,2.87655022805785,-44.2093671676142,-0.2394,-0.8947,0.0251,-0.3763,0
1933711.0,1865.062805,1.0,4.49,4.74,-5.86,-24.06,-32.06,13.88,8.94,20.87,-37.38,-1.729363527062605,0.9624995608391189,1.2597092381454917,-126.93984342653314,2.87655022805785,-44.2093671676142,-0.2394,-0.8947,0.0251,-0.3763,0
1933746.0,1865.130562,1.0,2.84,3.02,-5.01,-24.06,-32.06,13.88,7.88,38.56,-50.94,-1.9824636599211718,-0.006107605023019103,3.613435928594681,-126.32740410450675,1.3178319771025526,-44.7912774389752,-0.2419,-0.8923,0.0115,-0.381,0
1933746.0,1865.130562,1.0,2.84,3.02,-5.01,-24.06,-32.06,13.88,7.88,38.56,-50.94,-1.9824636599211718,-0.006107605023019103,3.613435928594681,-126.32740410450675,1.3178319771025526,-44.7912774389752,-0.2419,-0.8923,0.0115,-0.381,0
1933778.0,1865.15119,1.0,1.68,1.98,-4.04,-23.37,-32.0,13.88,-5.19,65.25,-48.63,-2.047385039099336,-0.3765403367495035,5.478736891298211,-124.25742213626366,-0.9167422509706517,-46.569371208551814,-0.2493,-0.884,-0.008,-0.3953,0
1933778.0,1865.15119,1.0,1.68,1.98,-4.04,-23.37,-32.0,13.88,-5.19,65.25,-48.63,-2.047385039099336,-0.3765403367495035,5.478736891298211,-124.25742213626366,-0.9167422509706517,-46.569371208551814,-0.2493,-0.884,-0.008,-0.3953,0
1933815.0,1865.196464,1.0,3.0,2.79,-2.83,-21.87,-33.88,12.19,-38.69,130.25,-39.5,-0.6403746975918567,0.42319210776473093,4.886911319276217,-121.03358960360974,-2.4295230620087382,-49.37892761089463,-0.2594,-0.8705,-0.0212,-0.4177,0
1933815.0,1865.196464,1.0,3.0,2.79,-2.83,-21.87,-33.88,12.19,-38.69,130.25,-39.5,-0.6403746975918567,0.42319210776473093,4.886911319276217,-121.03358960360974,-2.4295230620087382,-49.37892761089463,-0.2594,-0.8705,-0.0212,-0.4177,0
1933852.0,1865.262036,1.0,5.35,4.64,-4.14,-21.87,-33.88,12.19,-54.44,153.13,-61.38,-1.0409808148264708,0.31480824381980854,1.6759086615495953,-114.87396927454428,-4.9518964029981625,-54.31009785710634,-0.2819,-0.8428,-0.0432,-0.4564,0
1933852.0,1865.262036,1.0,5.35,4.64,-4.14,-21.87,-33.88,12.19,-54.44,153.13,-61.38,-1.0409808148264708,0.31480824381980854,1.6759086615495953,-114.87396927454428,-4.9518964029981625,-54.31009785710634,-0.2819,-0.8428,-0.0432,-0.4564,0
1933885.0,1865.279969,1.0,5.03,2.95,-2.13,-21.25,-35.0,9.75,-55.75,141.25,-67.19,0.3465067161305772,-0.49513959883130365,3.6280522728983566,-110.4101987714497,-7.1781250358345785,-57.55375640336801,-0.3,-0.8212,-0.0626,-0.4814,0
1933885.0,1865.279969,1.0,5.03,2.95,-2.13,-21.25,-35.0,9.75,-55.75,141.25,-67.19,0.3465067161305772,-0.49513959883130365,3.6280522728983566,-110.4101987714497,-7.1781250358345785,-57.55375640336801,-0.3,-0.8212,-0.0626,-0.4814,0
1933924.0,1865.283054,1.0,5.5,3.91,-1.03,-20.87,-36.5,6.19,-86.62,166.0,-54.06,0.7357230162503997,0.031399270761941045,3.020139429083966,-103.58945826629655,-9.292096140833056,-62.63767369990508,-0.3253,-0.7858,-0.081,-0.5198,0
1933924.0,1865.283054,1.0,5.5,3.91,-1.03,-20.87,-36.5,6.19,-86.62,166.0,-54.06,0.7357230162503997,0.031399270761941045,3.020139429083966,-103.58945826629655,-9.292096140833056,-62.63767369990508,-0.3253,-0.7858,-0.081,-0.5198,0
1933959.0,1865.325231,1.0,9.43,6.81,-1.88,-19.75,-38.75,0.88,-97.5,172.5,-74.44,0.22343013857825572,-0.7505382268820631,-1.9501425618836858,-97.58001140346656,-10.92566228171013,-66.76146977168455,-0.3497,-0.7523,-0.0952,-0.5502,0
1933959.0,1865.325231,1.0,9.43,6.81,-1.88,-19.75,-38.75,0.88,-97.5,172.5,-74.44,0.22343013857825572,-0.7505382268820631,-1.9501425618836858,-97.58001140346656,-10.92566228171013,-66.76146977168455,-0.3497,-0.7523,-0.0952,-0.5502,0
1933993.0,1865.387419,1.0,9.37,4.33,-0.9,-19.75,-38.75,0.88,-77.37,116.62,-18.06,0.8056255067037267,-2.9080796443385455,-0.10545574626462617,-91.2208545945492,-12.711338126294772,-70.98550903019819,-0.3742,-0.7146,-0.1107,-0.5806,0
1933993.0,1865.387419,1.0,9.37,4.33,-0.9,-19.75,-38.75,0.88,-77.37,116.62,-18.06,0.8056255067037267,-2.9080796443385455,-0.10545574626462617,-91.2208545945492,-12.711338126294772,-70.98550903019819,-0.3742,-0.7146,-0.1107,-0.5806,0
1934028.0,1865.400742,1.0,7.67,6.12,1.17,-16.06,-39.75,-5.19,-92.81,105.31,20.81,0.8004407101887443,-0.10670784681370149,-0.04221328998940521,-85.98458949996679,-11.789339646395064,-75.30921462142838,-0.389,-0.6819,-0.1027,-0.6109,0
1934028.0,1865.400742,1.0,7.67,6.12,1.17,-16.06,-39.75,-5.19,-92.81,105.31,20.81,0.8004407101887443,-0.10670784681370149,-0.04221328998940521,-85.98458949996679,-11.789339646395064,-75.30921462142838,-0.389,-0.6819,-0.1027,-0.6109,0
1934065.0,1865.450264,1.0,6.53,5.66,3.94,-14.75,-39.75,-9.69,-103.25,139.0,-14.06,2.5678696595401043,1.0264588194040716,0.7208078429030049,-81.21898486479368,-11.628070333672753,-78.51400980443368,-0.407,-0.6509,-0.1013,-0.6328,0
1934065.0,1865.450264,1.0,6.53,5.66,3.94,-14.75,-39.75,-9.69,-103.25,139.0,-14.06,2.5678696595401043,1.0264588194040716,0.7208078429030049,-81.21898486479368,-11.628070333672753,-78.51400980443368,-0.407,-0.6509,-0.1013,-0.6328,0
1934102.0,1865.50607,1.0,8.32,5.74,3.98,-14.19,-38.75,-15.38,-113.44,151.13,35.63,1.6140980578020467,-0.4813427225348228,-0.9252369097313178,-74.24196019139418,-10.68394626499923,-84.42775523713395,-0.4191,-0.6035,-0.0931,-0.6719,0
1934102.0,1865.50607,1.0,8.32,5.74,3.98,-14.19,-38.75,-15.38,-113.44,151.13,35.63,1.6140980578020467,-0.4813427225348228,-0.9252369097313178,-74.24196019139418,-10.68394626499923,-84.42775523713395,-0.4191,-0.6035,-0.0931,-0.6719,0
1934137.0,1865.524113,1.0,7.36,4.62,4.29,-14.19,-38.75,-15.38,-74.69,118.06,19.06,1.5839803595892943,-0.6532304999565923,0.2681807237292073,-69.77961983723269,-10.005090889774307,-88.11820122886442,-0.4261,-0.572,-0.0872,-0.6954,0
1934137.0,1865.524113,1.0,7.36,4.62,4.29,-14.19,-38.75,-15.38,-74.69,118.06,19.06,1.5839803595892943,-0.6532304999565923,0.2681807237292073,-69.77961983723269,-10.005090889774307,-88.11820122886442,-0.4261,-0.572,-0.0872,-0.6954,0
1934174.0,1865.527418,1.0,6.05,2.65,7.48,-12.0,-36.5,-18.56,-59.31,97.12,83.75,4.582015478869655,0.06792467706104732,0.94234402662312,-65.51710409627202,-8.797813093528106,-92.83791553872564,-0.4202,-0.5411,-0.0767,-0.7244,0
1934174.0,1865.527418,1.0,6.05,2.65,7.48,-12.0,-36.5,-18.56,-59.31,97.12,83.75,4.582015478869655,0.06792467706104732,0.94234402662312,-65.51710409627202,-8.797813093528106,-92.83791553872564,-0.4202,-0.5411,-0.0767,-0.7244,0
1934209.0,1865.566651,1.0,5.81,3.72,9.26,-10.88,-35.75,-22.69,-74.75,106.44,72.37,4.843554588361405,1.53455376109881,-0.562883437134996,-62.16877688957837,-7.212570385921346,-96.76581595045094,-0.413,-0.5163,-0.0629,-0.7476,0
1934209.0,1865.566651,1.0,5.81,3.72,9.26,-10.88,-35.75,-22.69,-74.75,106.44,72.37,4.843554588361405,1.53455376109881,-0.562883437134996,-62.16877688957837,-7.212570385921346,-96.76581595045094,-0.413,-0.5163,-0.0629,-0.7476,0
1934243.0,1865.626374,1.0,6.55,2.44,10.19,-10.88,-35.75,-22.69,-73.19,129.25,24.37,5.174550807477435,0.19333207584466794,-1.412924263281301,-56.744745610801054,-6.282764679968378,-101.61006514803412,-0.4129,-0.4752,-0.0548,-0.775,0
1934243.0,1865.626374,1.0,6.55,2.44,10.19,-10.88,-35.75,-22.69,-73.19,129.25,24.37,5.174550807477435,0.19333207584466794,-1.412924263281301,-56.744745610801054,-6.282764679968378,-101.61006514803412,-0.4129,-0.4752,-0.0548,-0.775,0
1934278.0,1865.643151,1.0,8.04,2.45,12.29,-10.19,-33.88,-25.56,-104.19,132.25,38.19,4.960079949165563,-0.5144080834576521,-4.22264760257295,-50.503960586262394,-4.75691579950709,-106.56632775318518,-0.4169,-0.4266,-0.0415,-0.8016,0
1934278.0,1865.643151,1.0,8.04,2.45,12.29,-10.19,-33.88,-25.56,-104.19,132.25,38.19,4.960079949165563,-0.5144080834576521,-4.22264760257295,-50.503960586262394,-4.75691579950709,-106.56632775318518,-0.4169,-0.4266,-0.0415,-0.8016,0
1934315.0,1865.688307,1.0,9.34,9.91,13.2,-8.38,-32.0,-27.69,-192.63,166.88,33.13,-1.7260688877154795,3.4787447705773724,-8.756828149744498,-44.258844501305305,-2.0742204847835874,-110.65153929836842,-0.426,-0.3767,-0.0181,-0.8224,0
1934315.0,1865.688307,1.0,9.34,9.91,13.2,-8.38,-32.0,-27.69,-192.63,166.88,33.13,-1.7260688877154795,3.4787447705773724,-8.756828149744498,-44.258844501305305,-2.0742204847835874,-110.65153929836842,-0.426,-0.3767,-0.0181,-0.8224,0
1934354.0,1865.746769,1.0,13.25,15.39,8.84,-5.0,-27.75,-33.0,-107.06,207.31,24.56,-12.817455563561628,2.1317605421871395,-8.130145417991953,-34.73506381234489,0.3552344019497601,-116.29293986048516,-0.4352,-0.2985,0.0031,-0.8494,0
1934354.0,1865.746769,1.0,13.25,15.39,8.84,-5.0,-27.75,-33.0,-107.06,207.31,24.56,-12.817455563561628,2.1317605421871395,-8.130145417991953,-34.73506381234489,0.3552344019497601,-116.29293986048516,-0.4352,-0.2985,0.0031,-0.8494,0
1934389.0,1865.753604,1.0,14.84,6.92,1.49,-5.0,-27.75,-33.0,49.69,113.81,-36.38,-11.46149701433912,-6.846483562719778,0.21020018688143693,-30.674489682178663,-2.8536247508829486,-118.27481372474283,-0.4388,-0.2645,-0.0249,-0.8584,0
1934389.0,1865.753604,1.0,14.84,6.92,1.49,-5.0,-27.75,-33.0,49.69,113.81,-36.38,-11.46149701433912,-6.846483562719778,0.21020018688143693,-30.674489682178663,-2.8536247508829486,-118.27481372474283,-0.4388,-0.2645,-0.0249,-0.8584,0
1934426.0,1865.812622,1.0,7.27,2.08,7.44,-0.06,-23.0,-35.06,103.56,-188.63,3.94,-0.620172561182599,-2.7575549920623077,-0.41803466311350057,-35.227664546585345,-4.424333322525306,-115.98960027739393,-0.4335,-0.3026,-0.0386,-0.848,0
