TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1131759.0,1039.072689,1.0,3.73,5.73,7.06,-13.5,-38.25,-15.88,-8.44,-6.44,0.06,-0.4084508254928233,-0.010391236535047366,-0.012843874195221261,-18.193261198253683,-38.87762497174376,-135.91325060474233,0.0717,-0.1581,-0.3328,-0.9269,0
1131759.0,1039.072689,1.0,3.73,5.73,7.06,-13.5,-38.25,-15.88,-8.44,-6.44,0.06,-0.4084508254928233,-0.010391236535047366,-0.012843874195221261,-18.193261198253683,-38.87762497174376,-135.91325060474233,0.0717,-0.1581,-0.3328,-0.9269,0
1131794.0,1039.076942,1.0,3.89,5.76,6.84,-13.5,-38.25,-15.88,-1.19,-23.0,-2.56,-0.5329784029947289,0.15392436945587784,0.07076065642029761,-18.72729753587516,-38.78042477210455,-135.7912803367973,0.0699,-0.1627,-0.332,-0.9265,0
1131794.0,1039.076942,1.0,3.89,5.76,6.84,-13.5,-38.25,-15.88,-1.19,-23.0,-2.56,-0.5329784029947289,0.15392436945587784,0.07076065642029761,-18.72729753587516,-38.78042477210455,-135.7912803367973,0.0699,-0.1627,-0.332,-0.9265,0
1131829.0,1039.154941,1.0,4.17,5.36,6.9,-12.69,-38.25,-14.56,0.56,-52.63,-6.44,-0.658693810664363,-0.2931310382010919,0.15218488492316418,-20.343563363128435,-39.01132279075521,-134.97619058332575,0.0632,-0.1766,-0.3339,-0.9238,0
1131829.0,1039.154941,1.0,4.17,5.36,6.9,-12.69,-38.25,-14.56,0.56,-52.63,-6.44,-0.658693810664363,-0.2931310382010919,0.15218488492316418,-20.343563363128435,-39.01132279075521,-134.97619058332575,0.0632,-0.1766,-0.3339,-0.9238,0
1131864.0,1039.172001,1.0,5.35,4.59,5.33,-12.38,-37.88,-15.5,-1.69,-73.06,-9.94,-2.100121008712596,-0.06755706690255492,1.2226865919072392,-22.886821927709892,-39.13291422544671,-133.7645266360233,0.0505,-0.1984,-0.3349,-0.9197,0
1131864.0,1039.172001,1.0,5.35,4.59,5.33,-12.38,-37.88,-15.5,-1.69,-73.06,-9.94,-2.100121008712596,-0.06755706690255492,1.2226865919072392,-22.886821927709892,-39.13291422544671,-133.7645266360233,0.0505,-0.1984,-0.3349,-0.9197,0
1131900.0,1039.181049,1.0,5.42,5.93,6.01,-13.5,-38.69,-13.75,-25.81,-189.56,-11.69,-1.0804782888955602,0.344372987519169,-0.16206977300457837,-27.136090647491404,-38.87762497174376,-131.76235907719015,0.0338,-0.2346,-0.3328,-0.9127,0
1131900.0,1039.181049,1.0,5.42,5.93,6.01,-13.5,-38.69,-13.75,-25.81,-189.56,-11.69,-1.0804782888955602,0.344372987519169,-0.16206977300457837,-27.136090647491404,-38.87762497174376,-131.76235907719015,0.0338,-0.2346,-0.3328,-0.9127,0
1131935.0,1039.228419,1.0,6.41,5.16,6.77,-13.5,-38.69,-13.75,21.69,-195.19,-16.5,-0.6927264608722343,-1.323320231538984,-0.7439686366111768,-34.14721243955784,-39.473614895385275,-126.83731618493427,0.0072,-0.2936,-0.3377,-0.8943,0
1131935.0,1039.228419,1.0,6.41,5.16,6.77,-13.5,-38.69,-13.75,21.69,-195.19,-16.5,-0.6927264608722343,-1.323320231538984,-0.7439686366111768,-34.14721243955784,-39.473614895385275,-126.83731618493427,0.0072,-0.2936,-0.3377,-0.8943,0
1131970.0,1039.250154,1.0,9.19,5.31,4.45,-15.38,-38.25,-12.06,11.13,-254.5,-14.25,-3.1663124014100683,-0.9448476151968235,-1.2177061608256121,-40.290347694231635,-39.98534936807033,-121.92447762133865,-0.0144,-0.3444,-0.3419,-0.8743,0
1131970.0,1039.250154,1.0,9.19,5.31,4.45,-15.38,-38.25,-12.06,11.13,-254.5,-14.25,-3.1663124014100683,-0.9448476151968235,-1.2177061608256121,-40.290347694231635,-39.98534936807033,-121.92447762133865,-0.0144,-0.3444,-0.3419,-0.8743,0
1132009.0,1039.296416,1.0,8.64,6.43,4.22,-17.19,-39.75,-8.75,-1.37,-296.25,-21.19,-0.973053180973886,-0.5983556628465347,-1.7041292094078564,-50.46595390336726,-40.02193352838936,-113.39846355737876,-0.0511,-0.4263,-0.3422,-0.8358,0
1132009.0,1039.296416,1.0,8.64,6.43,4.22,-17.19,-39.75,-8.75,-1.37,-296.25,-21.19,-0.973053180973886,-0.5983556628465347,-1.7041292094078564,-50.46595390336726,-40.02193352838936,-113.39846355737876,-0.0511,-0.4263,-0.3422,-0.8358,0
1132044.0,1039.365778,1.0,9.12,7.38,3.21,-17.19,-39.75,-8.75,87.0,-293.5,-27.87,-0.4671482008109771,-0.303526783668957,-2.3437633283635524,-57.946339040005654,-41.133699099479514,-105.78405748823397,-0.0763,-0.4844,-0.3513,-0.7975,0
1132044.0,1039.365778,1.0,9.12,7.38,3.21,-17.19,-39.75,-8.75,87.0,-293.5,-27.87,-0.4671482008109771,-0.303526783668957,-2.3437633283635524,-57.946339040005654,-41.133699099479514,-105.78405748823397,-0.0763,-0.4844,-0.3513,-0.7975,0
1132077.0,1039.37167,1.0,8.68,6.67,2.25,-18.37,-39.75,-3.88,61.81,-276.63,-25.62,0.6803840568335313,-1.1334520968324413,-1.2904741265200297,-68.05627918144376,-43.049117635330035,-94.7158793222747,-0.1054,-0.5596,-0.3669,-0.7356,0
1132077.0,1039.37167,1.0,8.68,6.67,2.25,-18.37,-39.75,-3.88,61.81,-276.63,-25.62,0.6803840568335313,-1.1334520968324413,-1.2904741265200297,-68.05627918144376,-43.049117635330035,-94.7158793222747,-0.1054,-0.5596,-0.3669,-0.7356,0
1132113.0,1039.435918,1.0,7.45,5.85,0.86,-18.5,-39.38,2.25,68.94,-211.56,-17.19,0.9092322386434861,-1.0336290664371282,0.3955125719720929,-75.71504118189102,-44.37020029186166,-86.01592640293836,-0.1249,-0.6137,-0.3776,-0.6821,0
1132113.0,1039.435918,1.0,7.45,5.85,0.86,-18.5,-39.38,2.25,68.94,-211.56,-17.19,0.9092322386434861,-1.0336290664371282,0.3955125719720929,-75.71504118189102,-44.37020029186166,-86.01592640293836,-0.1249,-0.6137,-0.3776,-0.6821,0
1132150.0,1039.450458,1.0,7.5,4.98,-0.84,-16.56,-40.19,8.88,30.56,-256.06,19.06,0.008711132722836523,-1.3982413919337215,0.8735181233259564,-81.83929990977303,-44.28358642561688,-79.61346922485379,-0.1379,-0.655,-0.3769,-0.6402,0
1132150.0,1039.450458,1.0,7.5,4.98,-0.84,-16.56,-40.19,8.88,30.56,-256.06,19.06,0.008711132722836523,-1.3982413919337215,0.8735181233259564,-81.83929990977303,-44.28358642561688,-79.61346922485379,-0.1379,-0.655,-0.3769,-0.6402,0
1132185.0,1039.460886,1.0,6.96,7.1,-1.71,-16.56,-40.19,8.88,-2.06,-270.13,33.19,1.1708904052646578,0.3483060490823138,-0.2075099026094982,-91.18809708858042,-41.78307317970489,-70.80264683442815,-0.1641,-0.7144,-0.3566,-0.5793,0
1132185.0,1039.460886,1.0,6.96,7.1,-1.71,-16.56,-40.19,8.88,-2.06,-270.13,33.19,1.1708904052646578,0.3483060490823138,-0.2075099026094982,-91.18809708858042,-41.78307317970489,-70.80264683442815,-0.1641,-0.7144,-0.3566,-0.5793,0
1132222.0,1039.508066,1.0,5.98,5.65,-0.82,-14.25,-39.38,13.69,26.0,-162.13,30.31,2.1135129472434353,-0.15485664383541087,1.8151305924220864,-96.33537777908647,-40.5589927006499,-65.78983934086463,-0.1725,-0.7451,-0.3466,-0.5431,0
