TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
510887.0,470.862608,1.0,2.6,1.62,-9.15,10.25,-20.25,37.69,-2.0,-6.19,4.88,-0.2242411453691106,0.044220761884916526,0.16016564387616405,-117.21082255070307,-58.91791832368788,-19.784982749875187,-0.0094,-0.8536,-0.4918,-0.1718,0
510887.0,470.862608,1.0,2.6,1.62,-9.15,10.25,-20.25,37.69,-2.0,-6.19,4.88,-0.2242411453691106,0.044220761884916526,0.16016564387616405,-117.21082255070307,-58.91791832368788,-19.784982749875187,-0.0094,-0.8536,-0.4918,-0.1718,0
510922.0,470.929022,1.0,2.66,1.84,-9.32,10.25,-20.25,37.69,-8.94,-3.38,7.63,-0.08670058850664614,0.104323888697472,-0.057689792109741234,-117.49737794257481,-58.60230588655673,-19.808247369439115,-0.0117,-0.8549,-0.4894,-0.172,0
510922.0,470.929022,1.0,2.66,1.84,-9.32,10.25,-20.25,37.69,-8.94,-3.38,7.63,-0.08670058850664614,0.104323888697472,-0.057689792109741234,-117.49737794257481,-58.60230588655673,-19.808247369439115,-0.0117,-0.8549,-0.4894,-0.172,0
510957.0,470.939363,1.0,2.75,2.09,-9.54,9.19,-20.56,38.56,-5.44,1.88,4.75,0.07211967267939634,0.18195418626756588,-0.33750553049697274,-117.65216707446253,-58.39216848405749,-19.8896800394181,-0.013,-0.8556,-0.4878,-0.1727,0
510957.0,470.939363,1.0,2.75,2.09,-9.54,9.19,-20.56,38.56,-5.44,1.88,4.75,0.07211967267939634,0.18195418626756588,-0.33750553049697274,-117.65216707446253,-58.39216848405749,-19.8896800394181,-0.013,-0.8556,-0.4878,-0.1727,0
510994.0,470.9639,1.0,2.58,2.11,-9.05,9.56,-21.0,38.56,0.88,-0.5,-3.19,0.14436145962502311,0.26251543052740134,0.16708333869670433,-117.65216707446253,-58.36591646165882,-19.971122857066124,-0.0135,-0.8556,-0.4876,-0.1734,0
510994.0,470.9639,1.0,2.58,2.11,-9.05,9.56,-21.0,38.56,0.88,-0.5,-3.19,0.14436145962502311,0.26251543052740134,0.16708333869670433,-117.65216707446253,-58.36591646165882,-19.971122857066124,-0.0135,-0.8556,-0.4876,-0.1734,0
511029.0,471.013456,1.0,2.82,2.51,-9.27,9.56,-21.0,38.56,4.19,6.19,-5.63,0.5311709472130641,0.32253852543755546,-0.18330627239905972,-117.4752933334574,-58.54975129457163,-19.98275837630303,-0.012,-0.8548,-0.489,-0.1735,0
511029.0,471.013456,1.0,2.82,2.51,-9.27,9.56,-21.0,38.56,4.19,6.19,-5.63,0.5311709472130641,0.32253852543755546,-0.18330627239905972,-117.4752933334574,-58.54975129457163,-19.98275837630303,-0.012,-0.8548,-0.489,-0.1735,0
511062.0,471.036486,1.0,2.39,2.81,-8.98,7.69,-20.25,38.56,27.75,11.06,-26.69,0.708506234558087,0.8398234310117095,0.16085736692333796,-116.77224597329428,-59.28675468925917,-20.017666183400287,-0.0078,-0.8516,-0.4946,-0.1738,0
511062.0,471.036486,1.0,2.39,2.81,-8.98,7.69,-20.25,38.56,27.75,11.06,-26.69,0.708506234558087,0.8398234310117095,0.16085736692333796,-116.77224597329428,-59.28675468925917,-20.017666183400287,-0.0078,-0.8516,-0.4946,-0.1738,0
511098.0,471.089128,1.0,2.98,3.11,-8.98,8.06,-20.56,38.56,42.5,33.63,-46.88,1.3096661531232672,0.6065597192979206,-0.047778439756847035,-115.60146959454927,-60.46365910623083,-20.087487431641748,0.0022,-0.8462,-0.5035,-0.1744,0
511098.0,471.089128,1.0,2.98,3.11,-8.98,8.06,-20.56,38.56,42.5,33.63,-46.88,1.3096661531232672,0.6065597192979206,-0.047778439756847035,-115.60146959454927,-60.46365910623083,-20.087487431641748,0.0022,-0.8462,-0.5035,-0.1744,0
511133.0,471.103442,1.0,3.47,2.56,-9.85,9.19,-18.37,39.75,82.06,46.44,-90.06,0.9212622812227407,0.298252519401772,-0.902193132844312,-112.4444101174335,-63.59247721166836,-20.30863790096007,0.0211,-0.8312,-0.5269,-0.1763,0
511133.0,471.103442,1.0,3.47,2.56,-9.85,9.19,-18.37,39.75,82.06,46.44,-90.06,0.9212622812227407,0.298252519401772,-0.902193132844312,-112.4444101174335,-63.59247721166836,-20.30863790096007,0.0211,-0.8312,-0.5269,-0.1763,0
511168.0,471.160781,1.0,3.46,-1.25,-9.36,9.19,-18.37,39.75,125.81,27.44,-94.12,-1.9751177824148343,-0.9715558452374629,-0.006539541895822509,-108.27006185000633,-68.04245292301711,-18.98285063278348,0.0551,-0.8104,-0.5595,-0.1649,0
511168.0,471.160781,1.0,3.46,-1.25,-9.36,9.19,-18.37,39.75,125.81,27.44,-94.12,-1.9751177824148343,-0.9715558452374629,-0.006539541895822509,-108.27006185000633,-68.04245292301711,-18.98285063278348,0.0551,-0.8104,-0.5595,-0.1649,0
511205.0,471.181707,1.0,3.22,-0.45,-9.39,8.5,-16.06,39.38,52.94,21.87,-68.62,-1.1891958891948882,-0.295322277113573,-0.054465448556642926,-105.99323879892165,-70.36742462258441,-18.483448143006754,0.0672,-0.7986,-0.5762,-0.1606,0
511205.0,471.181707,1.0,3.22,-0.45,-9.39,8.5,-16.06,39.38,52.94,21.87,-68.62,-1.1891958891948882,-0.295322277113573,-0.054465448556642926,-105.99323879892165,-70.36742462258441,-18.483448143006754,0.0672,-0.7986,-0.5762,-0.1606,0
511240.0,471.234838,1.0,3.39,-0.8,-9.07,9.56,-12.0,41.38,52.75,15.38,-48.69,-1.2800658056597471,-0.47789143233538034,0.18739580271001088,-104.12837981117883,-72.18633490403623,-18.042410594385768,0.0801,-0.7887,-0.5891,-0.1568,0
511240.0,471.234838,1.0,3.39,-0.8,-9.07,9.56,-12.0,41.38,52.75,15.38,-48.69,-1.2800658056597471,-0.47789143233538034,0.18739580271001088,-104.12837981117883,-72.18633490403623,-18.042410594385768,0.0801,-0.7887,-0.5891,-0.1568,0
