TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1635207.0,1597.261197,1.0,6.42,1.35,-6.26,-12.0,-15.38,38.75,16.94,50.44,-2.13,0.4490954902092174,0.008884733340422168,0.74989924146705,-105.86006493054606,-55.8609742090792,-41.29285086382844,0.1402,-0.7979,-0.4684,-0.3526,0
1635207.0,1597.261197,1.0,6.42,1.35,-6.26,-12.0,-15.38,38.75,16.94,50.44,-2.13,0.4490954902092174,0.008884733340422168,0.74989924146705,-105.86006493054606,-55.8609742090792,-41.29285086382844,0.1402,-0.7979,-0.4684,-0.3526,0
1635244.0,1597.332551,1.0,7.01,1.09,-6.21,-12.75,-15.38,38.5,29.5,91.37,-4.19,0.26286804574725586,-0.09126997728094488,0.38248583643768264,-103.79349620326417,-55.822067891041215,-43.36956859779123,0.1583,-0.7869,-0.4681,-0.3695,0
1635244.0,1597.332551,1.0,7.01,1.09,-6.21,-12.75,-15.38,38.5,29.5,91.37,-4.19,0.26286804574725586,-0.09126997728094488,0.38248583643768264,-103.79349620326417,-55.822067891041215,-43.36956859779123,0.1583,-0.7869,-0.4681,-0.3695,0
1635278.0,1597.340164,1.0,7.41,0.79,-5.82,-13.5,-14.56,38.5,30.0,127.0,-5.19,0.06774939374987554,-0.2196804731988269,0.35404451212832555,-101.37463662093218,-55.70539088046684,-45.8343416064403,0.1776,-0.7737,-0.4672,-0.3894,0
1635278.0,1597.340164,1.0,7.41,0.79,-5.82,-13.5,-14.56,38.5,30.0,127.0,-5.19,0.06774939374987554,-0.2196804731988269,0.35404451212832555,-101.37463662093218,-55.70539088046684,-45.8343416064403,0.1776,-0.7737,-0.4672,-0.3894,0
1635313.0,1597.358994,1.0,7.91,0.7,-5.35,-13.5,-14.56,38.5,22.44,156.75,-5.25,-0.08550901168708647,-0.012069245569215958,0.2320407368377868,-97.33679783559198,-55.11001684998347,-50.12416021166318,0.2067,-0.7509,-0.4626,-0.4236,0
1635313.0,1597.358994,1.0,7.91,0.7,-5.35,-13.5,-14.56,38.5,22.44,156.75,-5.25,-0.08550901168708647,-0.012069245569215958,0.2320407368377868,-97.33679783559198,-55.11001684998347,-50.12416021166318,0.2067,-0.7509,-0.4626,-0.4236,0
1635348.0,1597.401261,1.0,8.55,0.56,-4.64,-18.0,-14.19,37.06,22.5,167.38,-3.44,-0.23825006934427106,0.05794862504357079,0.065727104231188,-92.75483512396401,-54.03980807797137,-55.01955829122679,0.2373,-0.7239,-0.4543,-0.4619,0
1635348.0,1597.401261,1.0,8.55,0.56,-4.64,-18.0,-14.19,37.06,22.5,167.38,-3.44,-0.23825006934427106,0.05794862504357079,0.065727104231188,-92.75483512396401,-54.03980807797137,-55.01955829122679,0.2373,-0.7239,-0.4543,-0.4619,0
1635385.0,1597.40967,1.0,9.0,0.8,-3.45,-22.87,-14.19,33.75,4.75,189.44,-5.25,0.1631479782357632,-0.1473467422595478,0.13741157731421616,-88.99851159744894,-52.718753581326524,-59.23402251666461,0.2595,-0.7009,-0.444,-0.4942,0
1635385.0,1597.40967,1.0,9.0,0.8,-3.45,-22.87,-14.19,33.75,4.75,189.44,-5.25,0.1631479782357632,-0.1473467422595478,0.13741157731421616,-88.99851159744894,-52.718753581326524,-59.23402251666461,0.2595,-0.7009,-0.444,-0.4942,0
1635420.0,1597.47069,1.0,9.58,1.14,-3.14,-22.87,-14.19,33.75,3.63,183.94,-2.56,0.06611301220198196,0.6558677304775187,-0.31763104063374215,-83.77959386115333,-50.71944432115219,-64.94571342127749,0.2871,-0.6677,-0.4283,-0.5369,0
1635420.0,1597.47069,1.0,9.58,1.14,-3.14,-22.87,-14.19,33.75,3.63,183.94,-2.56,0.06611301220198196,0.6558677304775187,-0.31763104063374215,-83.77959386115333,-50.71944432115219,-64.94571342127749,0.2871,-0.6677,-0.4283,-0.5369,0
1635454.0,1597.477962,1.0,9.66,1.32,-2.05,-27.75,-12.38,31.5,14.0,141.56,-5.88,0.38385878078181856,0.46919246096521716,-0.1378465116887675,-80.34634707870403,-49.542938796600474,-68.30534493133662,0.3051,-0.6451,-0.419,-0.5614,0
1635454.0,1597.477962,1.0,9.66,1.32,-2.05,-27.75,-12.38,31.5,14.0,141.56,-5.88,0.38385878078181856,0.46919246096521716,-0.1378465116887675,-80.34634707870403,-49.542938796600474,-68.30534493133662,0.3051,-0.6451,-0.419,-0.5614,0
1635489.0,1597.53547,1.0,9.22,1.37,0.6,-33.25,-12.69,26.5,2.25,157.44,-31.81,1.0672502734925684,-0.9672953728141647,0.5778572016182757,-75.29474135486807,-48.30917991037589,-73.19644946904658,0.3224,-0.6108,-0.4092,-0.5962,0
1635489.0,1597.53547,1.0,9.22,1.37,0.6,-33.25,-12.69,26.5,2.25,157.44,-31.81,1.0672502734925684,-0.9672953728141647,0.5778572016182757,-75.29474135486807,-48.30917991037589,-73.19644946904658,0.3224,-0.6108,-0.4092,-0.5962,0
1635526.0,1597.595232,1.0,8.4,2.95,2.17,-36.0,-13.06,22.25,5.94,308.06,-45.5,2.5155272737046928,-0.6438624099775199,1.018648877317677,-68.76292273675115,-46.36984205375653,-79.47928409235018,0.3427,-0.5647,-0.3937,-0.6393,0
1635526.0,1597.595232,1.0,8.4,2.95,2.17,-36.0,-13.06,22.25,5.94,308.06,-45.5,2.5155272737046928,-0.6438624099775199,1.018648877317677,-68.76292273675115,-46.36984205375653,-79.47928409235018,0.3427,-0.5647,-0.3937,-0.6393,0
1635559.0,1597.602627,1.0,10.5,1.23,0.02,-36.0,-13.06,22.25,103.94,307.13,-30.25,-1.355423259427689,2.284509238742025,-0.4260009432260379,-57.35774212215938,-44.67975404839125,-86.92820940034245,0.3899,-0.4799,-0.3801,-0.6879,0
