TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
2144477.0,2053.606294,1.0,11.2,12.23,1.94,-9.38,-36.0,-22.0,183.19,-261.13,1.81,-6.798838154276155,1.8463427652615945,-5.330830574558137,-51.90170335182159,-25.14795750167836,-111.99230089793315,-0.2717,-0.4376,-0.2177,-0.829,0
2144477.0,2053.606294,1.0,11.2,12.23,1.94,-9.38,-36.0,-22.0,183.19,-261.13,1.81,-6.798838154276155,1.8463427652615945,-5.330830574558137,-51.90170335182159,-25.14795750167836,-111.99230089793315,-0.2717,-0.4376,-0.2177,-0.829,0
2144514.0,2053.624663,1.0,10.34,14.0,4.53,-11.56,-38.25,-17.87,305.25,-489.81,-38.38,1.1607069593653316,2.7903752549321297,-7.9219445661562045,-70.52172446832354,-29.724970780047894,-93.40455194632293,-0.2668,-0.5773,-0.2565,-0.7278,0
2144514.0,2053.624663,1.0,10.34,14.0,4.53,-11.56,-38.25,-17.87,305.25,-489.81,-38.38,1.1607069593653316,2.7903752549321297,-7.9219445661562045,-70.52172446832354,-29.724970780047894,-93.40455194632293,-0.2668,-0.5773,-0.2565,-0.7278,0
2144548.0,2053.671915,1.0,7.08,12.82,3.7,-11.56,-38.25,-17.87,323.06,-460.06,-161.63,5.010951959359733,3.3818117902039484,-4.036128242702093,-84.7685979550931,-35.07140174532199,-76.4571139486868,-0.2681,-0.6741,-0.3013,-0.6188,0
2144548.0,2053.671915,1.0,7.08,12.82,3.7,-11.56,-38.25,-17.87,323.06,-460.06,-161.63,5.010951959359733,3.3818117902039484,-4.036128242702093,-84.7685979550931,-35.07140174532199,-76.4571139486868,-0.2681,-0.6741,-0.3013,-0.6188,0
2144583.0,2053.685798,1.0,8.18,13.65,-1.47,-13.88,-42.06,-3.0,293.06,-358.63,-239.94,4.932021431318638,0.7718642999452694,-5.374759358273812,-96.52454726797548,-44.27121519182588,-56.31540097731903,-0.2804,-0.7462,-0.3768,-0.4719,0
2144583.0,2053.685798,1.0,8.18,13.65,-1.47,-13.88,-42.06,-3.0,293.06,-358.63,-239.94,4.932021431318638,0.7718642999452694,-5.374759358273812,-96.52454726797548,-44.27121519182588,-56.31540097731903,-0.2804,-0.7462,-0.3768,-0.4719,0
2144620.0,2053.729449,1.0,4.69,10.23,-1.83,-7.56,-42.38,10.69,207.19,-307.56,-400.94,4.855149146610687,-0.2144419582970558,-0.5073909835663972,-99.17554944715711,-53.10273871771934,-41.99165970563765,-0.3035,-0.7614,-0.447,-0.3583,0
2144620.0,2053.729449,1.0,4.69,10.23,-1.83,-7.56,-42.38,10.69,207.19,-307.56,-400.94,4.855149146610687,-0.2144419582970558,-0.5073909835663972,-99.17554944715711,-53.10273871771934,-41.99165970563765,-0.3035,-0.7614,-0.447,-0.3583,0
