TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
961828.0,548.030295,1.0,-7.34,1.58,-6.88,24.06,-15.56,19.19,-8.06,-1.37,-12.94,-0.060903787445618696,-0.259887895469911,-0.3734850192648729,-124.70026179828331,-25.453308085157087,42.31095678024124,-0.1911,-0.8858,-0.2203,0.3609,0
961828.0,548.030295,1.0,-7.34,1.58,-6.88,24.06,-15.56,19.19,-8.06,-1.37,-12.94,-0.060903787445618696,-0.259887895469911,-0.3734850192648729,-124.70026179828331,-25.453308085157087,42.31095678024124,-0.1911,-0.8858,-0.2203,0.3609,0
961863.0,548.033796,1.0,-7.51,1.16,-6.47,25.0,-15.88,19.56,-6.63,3.13,-10.38,-0.6032629726242748,-0.35559945430108564,-0.14906307410781494,-124.70026179828331,-25.39457261600438,42.4092712076169,-0.1903,-0.8858,-0.2198,0.3617,0
961863.0,548.033796,1.0,-7.51,1.16,-6.47,25.0,-15.88,19.56,-6.63,3.13,-10.38,-0.6032629726242748,-0.35559945430108564,-0.14906307410781494,-124.70026179828331,-25.39457261600438,42.4092712076169,-0.1903,-0.8858,-0.2198,0.3617,0
961900.0,548.059705,1.0,-7.04,0.61,-6.63,24.19,-15.5,20.0,6.25,-0.56,-0.75,-0.49074979010588665,-0.9696002124338747,0.17806546895083386,-125.07180537967443,-24.960139762282665,42.47073434166396,-0.1863,-0.8873,-0.2161,0.3622,0
961900.0,548.059705,1.0,-7.04,0.61,-6.63,24.19,-15.5,20.0,6.25,-0.56,-0.75,-0.49074979010588665,-0.9696002124338747,0.17806546895083386,-125.07180537967443,-24.960139762282665,42.47073434166396,-0.1863,-0.8873,-0.2161,0.3622,0
961935.0,548.104632,1.0,-7.23,1.06,-6.14,24.19,-15.5,20.0,-10.44,-1.25,-0.63,-0.651962133339109,-0.3240096778713032,0.29002963847786845,-124.99731160468365,-24.983613243143306,42.50761837071937,-0.1873,-0.887,-0.2163,0.3625,0
961935.0,548.104632,1.0,-7.23,1.06,-6.14,24.19,-15.5,20.0,-10.44,-1.25,-0.63,-0.651962133339109,-0.3240096778713032,0.29002963847786845,-124.99731160468365,-24.983613243143306,42.50761837071937,-0.1873,-0.887,-0.2163,0.3625,0
961968.0,548.156355,1.0,-7.27,1.85,-6.18,25.0,-15.5,21.06,-9.38,3.94,1.0,-0.27960146947299325,0.2830972360907521,0.09534324070203581,-125.14639244127781,-24.64335146895964,42.42156281061413,-0.1889,-0.8876,-0.2134,0.3618,0
961968.0,548.156355,1.0,-7.27,1.85,-6.18,25.0,-15.5,21.06,-9.38,3.94,1.0,-0.27960146947299325,0.2830972360907521,0.09534324070203581,-125.14639244127781,-24.64335146895964,42.42156281061413,-0.1889,-0.8876,-0.2134,0.3618,0
962002.0,548.209881,1.0,-7.23,1.76,-6.13,25.25,-16.25,19.5,-1.94,13.31,3.38,-0.38493779096704084,0.22592287088694196,0.17606425698853734,-125.62096841990898,-24.209544126742898,42.18810962075827,-0.1879,-0.8895,-0.2097,0.3599,0
962002.0,548.209881,1.0,-7.23,1.76,-6.13,25.25,-16.25,19.5,-1.94,13.31,3.38,-0.38493779096704084,0.22592287088694196,0.17606425698853734,-125.62096841990898,-24.209544126742898,42.18810962075827,-0.1879,-0.8895,-0.2097,0.3599,0
962039.0,548.221134,1.0,-6.93,1.65,-6.55,25.0,-16.25,21.19,-7.13,14.81,0.19,-0.0992257430146985,-0.11925625779247151,0.1306057567722707,-126.27665951200247,-23.79950985538602,41.72175180713575,-0.1866,-0.8921,-0.2062,0.3561,0
962039.0,548.221134,1.0,-6.93,1.65,-6.55,25.0,-16.25,21.19,-7.13,14.81,0.19,-0.0992257430146985,-0.11925625779247151,0.1306057567722707,-126.27665951200247,-23.79950985538602,41.72175180713575,-0.1866,-0.8921,-0.2062,0.3561,0
962072.0,548.240228,1.0,-7.22,1.81,-6.52,25.0,-16.25,21.19,-12.63,10.25,-4.19,-0.27031967287798675,0.09585638463011026,-0.0843883088925903,-126.30202625936262,-24.080642561887807,41.41533197987328,-0.1884,-0.8922,-0.2086,0.3536,0
962072.0,548.240228,1.0,-7.22,1.81,-6.52,25.0,-16.25,21.19,-12.63,10.25,-4.19,-0.27031967287798675,0.09585638463011026,-0.0843883088925903,-126.30202625936262,-24.080642561887807,41.41533197987328,-0.1884,-0.8922,-0.2086,0.3536,0
962109.0,548.280387,1.0,-7.17,1.75,-6.52,24.19,-15.5,19.56,-10.25,16.69,-8.44,-0.3373101526541775,0.05117718004247884,-0.03537229001536524,-126.55630673438098,-24.221263990434835,40.962397583514125,-0.189,-0.8932,-0.2098,0.3499,0
962109.0,548.280387,1.0,-7.17,1.75,-6.52,24.19,-15.5,19.56,-10.25,16.69,-8.44,-0.3373101526541775,0.05117718004247884,-0.03537229001536524,-126.55630673438098,-24.221263990434835,40.962397583514125,-0.189,-0.8932,-0.2098,0.3499,0
962144.0,548.345038,1.0,-6.91,1.54,-6.95,23.87,-16.25,18.75,-2.31,18.19,-5.94,-0.09391662386567162,-0.3520567113918994,-0.10745287114903945,-126.96550395698281,-24.186105170420962,40.595644110417574,-0.1874,-0.8948,-0.2095,0.3469,0
962144.0,548.345038,1.0,-6.91,1.54,-6.95,23.87,-16.25,18.75,-2.31,18.19,-5.94,-0.09391662386567162,-0.3520567113918994,-0.10745287114903945,-126.96550395698281,-24.186105170420962,40.595644110417574,-0.1874,-0.8948,-0.2095,0.3469,0
962179.0,548.362951,1.0,-6.44,1.91,-7.62,23.87,-16.25,18.75,-3.94,5.88,-7.19,0.705570900825075,-0.4285767272047539,-0.31780513066295235,-127.22274573469288,-24.526071134585152,40.11951210127083,-0.1867,-0.8958,-0.2124,0.343,0
962179.0,548.362951,1.0,-6.44,1.91,-7.62,23.87,-16.25,18.75,-3.94,5.88,-7.19,0.705570900825075,-0.4285767272047539,-0.31780513066295235,-127.22274573469288,-24.526071134585152,40.11951210127083,-0.1867,-0.8958,-0.2124,0.343,0
962213.0,548.407611,1.0,-6.53,1.6,-7.48,24.56,-15.5,21.19,4.06,-0.06,-3.94,0.4270883006718939,-0.5658351087007262,-0.22573387489189045,-127.42938014555915,-24.221263990434835,40.217121024588515,-0.184,-0.8966,-0.2098,0.3438,0
962213.0,548.407611,1.0,-6.53,1.6,-7.48,24.56,-15.5,21.19,4.06,-0.06,-3.94,0.4270883006718939,-0.5658351087007262,-0.22573387489189045,-127.42938014555915,-24.221263990434835,40.217121024588515,-0.184,-0.8966,-0.2098,0.3438,0
962250.0,548.423913,1.0,-6.56,1.79,-7.12,23.87,-15.06,20.25,4.25,-10.88,-4.5,0.3186968658578123,-0.18686600959752198,-0.03182617276931232,-127.6627493662712,-23.98691540045918,40.290347694231635,-0.1811,-0.8975,-0.2078,0.3444,0
962250.0,548.423913,1.0,-6.56,1.79,-7.12,23.87,-15.06,20.25,4.25,-10.88,-4.5,0.3186968658578123,-0.18686600959752198,-0.03182617276931232,-127.6627493662712,-23.98691540045918,40.290347694231635,-0.1811,-0.8975,-0.2078,0.3444,0
962283.0,548.467221,1.0,-6.98,1.48,-6.63,23.87,-15.06,20.25,9.0,-7.19,-3.63,-0.3249429202008732,-0.09988543263675331,0.07257916612179649,-127.48115670522917,-23.975200651636385,40.632299856561154,-0.1793,-0.8968,-0.2077,0.3472,0
962283.0,548.467221,1.0,-6.98,1.48,-6.63,23.87,-15.06,20.25,9.0,-7.19,-3.63,-0.3249429202008732,-0.09988543263675331,0.07257916612179649,-127.48115670522917,-23.975200651636385,40.632299856561154,-0.1793,-0.8968,-0.2077,0.3472,0
962318.0,548.523896,1.0,-7.15,1.35,-6.4,24.56,-15.5,20.25,10.81,-4.19,-3.13,-0.576873999419343,-0.030656735322370565,0.13342527639446544,-127.53298072808482,-23.65899809735879,40.974630229445324,-0.1756,-0.897,-0.205,0.35,0
962318.0,548.523896,1.0,-7.15,1.35,-6.4,24.56,-15.5,20.25,10.81,-4.19,-3.13,-0.576873999419343,-0.030656735322370565,0.13342527639446544,-127.53298072808482,-23.65899809735879,40.974630229445324,-0.1756,-0.897,-0.205,0.35,0
962353.0,548.54013,1.0,-6.83,1.28,-6.62,24.19,-15.5,20.75,3.0,6.63,-0.06,-0.2838981842385209,-0.23836716985486683,0.2163276428880394,-127.9231881746902,-23.22597958095469,40.962397583514125,-0.1725,-0.8985,-0.2013,0.3499,0
962353.0,548.54013,1.0,-6.83,1.28,-6.62,24.19,-15.5,20.75,3.0,6.63,-0.06,-0.2838981842385209,-0.23836716985486683,0.2163276428880394,-127.9231881746902,-23.22597958095469,40.962397583514125,-0.1725,-0.8985,-0.2013,0.3499,0
962390.0,548.543957,1.0,-6.84,1.38,-6.62,25.0,-15.5,20.25,3.94,2.5,-1.69,-0.24605186684967495,-0.1225866765955671,0.19213852070262405,-128.1324147334415,-23.038832805407417,40.9501654253067,-0.1704,-0.8993,-0.1997,0.3498,0
962390.0,548.543957,1.0,-6.84,1.38,-6.62,25.0,-15.5,20.25,3.94,2.5,-1.69,-0.24605186684967495,-0.1225866765955671,0.19213852070262405,-128.1324147334415,-23.038832805407417,40.9501654253067,-0.1704,-0.8993,-0.1997,0.3498,0
962422.0,548.578721,1.0,-7.0,1.4,-6.7,25.0,-15.5,20.25,-3.25,-0.75,-0.37,-0.2934168271981401,-0.09733726390334219,0.02123064145573572,-128.10621848828742,-23.08561363949995,40.974630229445324,-0.1702,-0.8992,-0.2001,0.35,0
962422.0,548.578721,1.0,-7.0,1.4,-6.7,25.0,-15.5,20.25,-3.25,-0.75,-0.37,-0.2934168271981401,-0.09733726390334219,0.02123064145573572,-128.10621848828742,-23.08561363949995,40.974630229445324,-0.1702,-0.8992,-0.2001,0.35,0
962459.0,548.635182,1.0,-7.08,1.43,-6.54,25.25,-14.38,18.75,-5.63,0.19,-1.25,-0.41140583146843374,0.008055189321944267,0.07147766686902557,-127.97542141388575,-23.15579220715163,41.03580078188174,-0.1709,-0.8987,-0.2007,0.3505,0
962459.0,548.635182,1.0,-7.08,1.43,-6.54,25.25,-14.38,18.75,-5.63,0.19,-1.25,-0.41140583146843374,0.008055189321944267,0.07147766686902557,-127.97542141388575,-23.15579220715163,41.03580078188174,-0.1709,-0.8987,-0.2007,0.3505,0
962494.0,548.651407,1.0,-7.09,1.64,-6.65,25.0,-15.06,20.0,1.0,-5.63,0.37,-0.23962215611355536,0.12919341195274936,-0.04759224811870055,-127.97542141388575,-22.94528280418134,41.182660023882,-0.1706,-0.8987,-0.1989,0.3517,0
962494.0,548.651407,1.0,-7.09,1.64,-6.65,25.0,-15.06,20.0,1.0,-5.63,0.37,-0.23962215611355536,0.12919341195274936,-0.04759224811870055,-127.97542141388575,-22.94528280418134,41.182660023882,-0.1706,-0.8987,-0.1989,0.3517,0
962527.0,548.693248,1.0,-7.04,1.36,-6.75,25.0,-15.06,20.0,3.44,0.25,-1.56,-0.2583173938476633,-0.15925690026900763,-0.03619559280254414,-127.89708982203929,-22.933590145135863,41.31734313597096,-0.1697,-0.8984,-0.1988,0.3528,0
962527.0,548.693248,1.0,-7.04,1.36,-6.75,25.0,-15.06,20.0,3.44,0.25,-1.56,-0.2583173938476633,-0.15925690026900763,-0.03619559280254414,-127.89708982203929,-22.933590145135863,41.31734313597096,-0.1697,-0.8984,-0.1988,0.3528,0
962564.0,548.755021,1.0,-6.95,1.64,-6.88,25.25,-15.06,20.75,-7.75,2.38,-5.31,0.0021266654540200713,0.003699360428894516,-0.10932104634873774,-127.97542141388575,-22.851748300506443,41.29285086382844,-0.1695,-0.8987,-0.1981,0.3526,0
962564.0,548.755021,1.0,-6.95,1.64,-6.88,25.25,-15.06,20.75,-7.75,2.38,-5.31,0.0021266654540200713,0.003699360428894516,-0.10932104634873774,-127.97542141388575,-22.851748300506443,41.29285086382844,-0.1695,-0.8987,-0.1981,0.3526,0
