TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1714784.0,1302.345491,1.0,2.84,4.08,-8.55,-3.19,-26.25,24.06,2.88,-0.37,-0.88,-0.13571017640258282,-0.22174875786532589,-0.08005370934650458,-141.78287468010964,-21.030823443414317,-21.987276416568136,-0.1937,-0.9449,-0.1825,-0.1907,0
1714784.0,1302.345491,1.0,2.84,4.08,-8.55,-3.19,-26.25,24.06,2.88,-0.37,-0.88,-0.13571017640258282,-0.22174875786532589,-0.08005370934650458,-141.78287468010964,-21.030823443414317,-21.987276416568136,-0.1937,-0.9449,-0.1825,-0.1907,0
1714819.0,1302.387351,1.0,2.89,4.11,-8.66,-3.56,-26.25,24.87,1.44,-1.06,0.5,-0.12334596924146657,-0.23851211941747108,-0.20173137466608004,-141.85294621850556,-21.030823443414317,-21.95225731085251,-0.1931,-0.9451,-0.1825,-0.1904,0
1714819.0,1302.387351,1.0,2.89,4.11,-8.66,-3.56,-26.25,24.87,1.44,-1.06,0.5,-0.12334596924146657,-0.23851211941747108,-0.20173137466608004,-141.85294621850556,-21.030823443414317,-21.95225731085251,-0.1931,-0.9451,-0.1825,-0.1904,0
1714855.0,1302.394716,1.0,2.81,4.25,-8.48,-4.0,-26.25,24.5,0.19,-2.44,-0.75,-0.0602974652316145,-0.032254501583246054,-0.08598988340899005,-141.92314189948746,-21.042478443283557,-21.858883165817783,-0.193,-0.9453,-0.1826,-0.1896,0
1714855.0,1302.394716,1.0,2.81,4.25,-8.48,-4.0,-26.25,24.5,0.19,-2.44,-0.75,-0.0602974652316145,-0.032254501583246054,-0.08598988340899005,-141.92314189948746,-21.042478443283557,-21.858883165817783,-0.193,-0.9453,-0.1826,-0.1896,0
1714888.0,1302.451156,1.0,2.62,4.36,-8.46,-4.0,-26.25,24.5,2.63,-3.06,-2.25,-0.16677218068142435,0.1455362317429052,-0.06232189402223476,-141.95828650840244,-21.07744476440248,-21.753854808314237,-0.1929,-0.9454,-0.1829,-0.1887,0
1714888.0,1302.451156,1.0,2.62,4.36,-8.46,-4.0,-26.25,24.5,2.63,-3.06,-2.25,-0.16677218068142435,0.1455362317429052,-0.06232189402223476,-141.95828650840244,-21.07744476440248,-21.753854808314237,-0.1929,-0.9454,-0.1829,-0.1887,0
1714923.0,1302.458945,1.0,2.53,4.27,-8.51,-4.0,-26.56,24.19,3.63,-1.81,-3.81,-0.2535598289321081,0.09494604811330198,-0.041222494153222655,-142.02866969644373,-21.24064723466595,-21.57884859507936,-0.1922,-0.9456,-0.1843,-0.1872,0
1714923.0,1302.458945,1.0,2.53,4.27,-8.51,-4.0,-26.56,24.19,3.63,-1.81,-3.81,-0.2535598289321081,0.09494604811330198,-0.041222494153222655,-142.02866969644373,-21.24064723466595,-21.57884859507936,-0.1922,-0.9456,-0.1843,-0.1872,0
