TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1704613.0,484.198189,1.0,4.78,2.92,-8.1,-15.38,-29.06,24.87,3.06,2.25,0.69,-0.04009599958914421,-0.04336436115521969,-0.04125900866770671,-144.38898361895096,-6.512305468988995,-30.710138215163173,-0.1422,-0.9521,-0.0568,-0.2648,0
1704613.0,484.198189,1.0,4.78,2.92,-8.1,-15.38,-29.06,24.87,3.06,2.25,0.69,-0.04009599958914421,-0.04336436115521969,-0.04125900866770671,-144.38898361895096,-6.512305468988995,-30.710138215163173,-0.1422,-0.9521,-0.0568,-0.2648,0
1704646.0,484.292535,1.0,4.89,2.87,-8.29,-15.38,-29.06,24.87,7.0,1.88,2.81,-0.05460144712227852,-0.10970998819267641,-0.23616247462397233,-144.46400874868328,-6.512305468988995,-30.78144442214906,-0.1398,-0.9523,-0.0568,-0.2654,0
1704646.0,484.292535,1.0,4.89,2.87,-8.29,-15.38,-29.06,24.87,7.0,1.88,2.81,-0.05460144712227852,-0.10970998819267641,-0.23616247462397233,-144.46400874868328,-6.512305468988995,-30.78144442214906,-0.1398,-0.9523,-0.0568,-0.2654,0
1704683.0,484.297946,1.0,4.74,2.84,-8.09,-15.38,-29.06,27.37,3.94,1.31,2.88,-0.08148136772960587,-0.03607886034346497,0.010050635804830677,-144.50157885257724,-6.48935022815341,-30.805215870860085,-0.1384,-0.9524,-0.0566,-0.2656,0
1704683.0,484.297946,1.0,4.74,2.84,-8.09,-15.38,-29.06,27.37,3.94,1.31,2.88,-0.08148136772960587,-0.03607886034346497,0.010050635804830677,-144.50157885257724,-6.48935022815341,-30.805215870860085,-0.1384,-0.9524,-0.0566,-0.2656,0
1704718.0,484.348367,1.0,4.72,2.47,-7.78,-15.75,-29.87,25.75,13.0,5.63,10.69,0.03244447865646447,-0.25524334990779685,0.3810731906937086,-144.5768347492103,-6.386054856968827,-30.935983157745667,-0.1355,-0.9526,-0.0557,-0.2667,0
1704718.0,484.348367,1.0,4.72,2.47,-7.78,-15.75,-29.87,25.75,13.0,5.63,10.69,0.03244447865646447,-0.25524334990779685,0.3810731906937086,-144.5768347492103,-6.386054856968827,-30.935983157745667,-0.1355,-0.9526,-0.0557,-0.2667,0
1704753.0,484.355526,1.0,5.92,1.49,-8.11,-15.75,-29.87,25.75,24.75,13.69,35.0,0.7598560357457509,-1.2494576138230777,-0.23825291024260054,-144.690009668053,-5.697547703194251,-31.507090202315183,-0.1255,-0.9529,-0.0497,-0.2715,0
1704753.0,484.355526,1.0,5.92,1.49,-8.11,-15.75,-29.87,25.75,24.75,13.69,35.0,0.7598560357457509,-1.2494576138230777,-0.23825291024260054,-144.690009668053,-5.697547703194251,-31.507090202315183,-0.1255,-0.9529,-0.0497,-0.2715,0
1704787.0,484.37363,1.0,6.34,1.07,-8.44,-15.75,-29.06,26.19,-9.63,-1.75,25.12,0.9051044602824153,-1.6896428539105521,-0.6288659403934531,-144.7656551188059,-4.642227799866185,-31.697637029521523,-0.1238,-0.9531,-0.0405,-0.2731,0
1704787.0,484.37363,1.0,6.34,1.07,-8.44,-15.75,-29.06,26.19,-9.63,-1.75,25.12,0.9051044602824153,-1.6896428539105521,-0.6288659403934531,-144.7656551188059,-4.642227799866185,-31.697637029521523,-0.1238,-0.9531,-0.0405,-0.2731,0
1704824.0,484.41498,1.0,5.27,2.46,-7.33,-17.69,-27.56,27.0,-27.0,-5.31,28.44,0.5889619779981604,0.007512559136161112,0.4682096939356253,-144.72781275910324,-3.6904861286986015,-31.614261757826505,-0.1289,-0.953,-0.0322,-0.2724,0
1704824.0,484.41498,1.0,5.27,2.46,-7.33,-17.69,-27.56,27.0,-27.0,-5.31,28.44,0.5889619779981604,0.007512559136161112,0.4682096939356253,-144.72781275910324,-3.6904861286986015,-31.614261757826505,-0.1289,-0.953,-0.0322,-0.2724,0
1704859.0,484.470299,1.0,5.35,2.81,-7.42,-17.69,-27.56,27.0,-15.06,7.31,36.75,0.49727682489851244,0.34938717639010153,0.25648537522033266,-144.35152835071236,-2.0742204847835874,-31.99554685526558,-0.1318,-0.952,-0.0181,-0.2756,0
1704859.0,484.470299,1.0,5.35,2.81,-7.42,-17.69,-27.56,27.0,-15.06,7.31,36.75,0.49727682489851244,0.34938717639010153,0.25648537522033266,-144.35152835071236,-2.0742204847835874,-31.99554685526558,-0.1318,-0.952,-0.0181,-0.2756,0
1704894.0,484.526273,1.0,5.17,2.91,-7.21,-17.69,-28.37,26.19,-21.87,13.19,34.69,0.3443892263366768,0.537530014687041,0.49141744551732636,-143.9049982588089,-0.9625804159917916,-32.44879621422149,-0.1337,-0.9508,-0.0084,-0.2794,0
1704894.0,484.526273,1.0,5.17,2.91,-7.21,-17.69,-28.37,26.19,-21.87,13.19,34.69,0.3443892263366768,0.537530014687041,0.49141744551732636,-143.9049982588089,-0.9625804159917916,-32.44879621422149,-0.1337,-0.9508,-0.0084,-0.2794,0
1704929.0,484.533403,1.0,4.89,2.96,-7.2,-19.5,-28.37,25.37,-26.19,23.62,27.69,-0.1068857177171968,0.5417076600412676,0.6301131666188642,-142.56060519917665,0.5271230305187238,-33.476513522752754,-0.1412,-0.9471,0.0046,-0.288,0
1704929.0,484.533403,1.0,4.89,2.96,-7.2,-19.5,-28.37,25.37,-26.19,23.62,27.69,-0.1068857177171968,0.5417076600412676,0.6301131666188642,-142.56060519917665,0.5271230305187238,-33.476513522752754,-0.1412,-0.9471,0.0046,-0.288,0
1704966.0,484.593986,1.0,5.02,3.37,-6.86,-20.69,-28.0,25.37,-29.94,35.94,25.37,-0.058556506951630824,0.9569152999372734,0.7128177910663211,-141.29579335128196,1.581413711340907,-34.50701040671306,-0.147,-0.9435,0.0138,-0.2966,0
1704966.0,484.593986,1.0,5.02,3.37,-6.86,-20.69,-28.0,25.37,-29.94,35.94,25.37,-0.058556506951630824,0.9569152999372734,0.7128177910663211,-141.29579335128196,1.581413711340907,-34.50701040671306,-0.147,-0.9435,0.0138,-0.2966,0
1705000.0,484.613878,1.0,4.7,3.27,-6.45,-20.69,-28.0,25.37,-24.06,51.81,18.31,-0.406995023366581,0.9011738983535114,1.238824099814984,-139.1073977684417,2.3263684457528235,-36.48023552286196,-0.1536,-0.937,0.0203,-0.313,0
