TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1192392.0,961.870517,1.0,2.26,-7.63,-8.05,-22.5,-3.56,41.25,-63.25,-21.75,51.75,1.2792782349559446,-1.1756426682378485,-1.3785326768357518,-126.55630673438098,38.13720165916782,-22.501130743263232,0.2396,-0.8932,0.3267,-0.1951,0
1192392.0,961.870517,1.0,2.26,-7.63,-8.05,-22.5,-3.56,41.25,-63.25,-21.75,51.75,1.2792782349559446,-1.1756426682378485,-1.3785326768357518,-126.55630673438098,38.13720165916782,-22.501130743263232,0.2396,-0.8932,0.3267,-0.1951,0
1192425.0,961.935619,1.0,1.23,-5.48,-7.92,-22.5,-3.56,41.25,-86.81,-23.81,46.75,0.13733799072469688,-0.610918358234946,0.11760376025713981,-127.17120439382435,40.290347694231635,-20.122400879873982,0.2209,-0.8956,0.3444,-0.1747,0
1192425.0,961.935619,1.0,1.23,-5.48,-7.92,-22.5,-3.56,41.25,-86.81,-23.81,46.75,0.13733799072469688,-0.610918358234946,0.11760376025713981,-127.17120439382435,40.290347694231635,-20.122400879873982,0.2209,-0.8956,0.3444,-0.1747,0
1192462.0,961.955075,1.0,0.22,-3.46,-7.8,-21.0,-4.0,41.25,-70.5,-19.5,52.88,-1.2543054283008765,-0.10691786781078982,1.3641807840609967,-127.30014547607834,41.979385883293695,-18.4137924426918,0.2078,-0.8961,0.3582,-0.16,0
1192462.0,961.955075,1.0,0.22,-3.46,-7.8,-21.0,-4.0,41.25,-70.5,-19.5,52.88,-1.2543054283008765,-0.10691786781078982,1.3641807840609967,-127.30014547607834,41.979385883293695,-18.4137924426918,0.2078,-0.8961,0.3582,-0.16,0
1192499.0,962.012086,1.0,0.13,-2.91,-7.6,-20.56,-5.06,41.25,-55.19,-7.5,44.94,-1.2101925890078489,0.024887433054458175,1.758059159785395,-126.93984342653314,44.07334918943469,-16.767216307875252,0.1937,-0.8947,0.3752,-0.1458,0
1192499.0,962.012086,1.0,0.13,-2.91,-7.6,-20.56,-5.06,41.25,-55.19,-7.5,44.94,-1.2101925890078489,0.024887433054458175,1.758059159785395,-126.93984342653314,44.07334918943469,-16.767216307875252,0.1937,-0.8947,0.3752,-0.1458,0
1192534.0,962.020648,1.0,0.22,-2.45,-7.78,-20.56,-5.06,41.25,-40.06,-6.44,39.5,-1.3167862355979747,0.3591201427787363,1.7619991851547514,-126.58179643384616,45.361988090099786,-15.82955387412607,0.1853,-0.8933,0.3856,-0.1377,0
1192534.0,962.020648,1.0,0.22,-2.45,-7.78,-20.56,-5.06,41.25,-40.06,-6.44,39.5,-1.3167862355979747,0.3591201427787363,1.7619991851547514,-126.58179643384616,45.361988090099786,-15.82955387412607,0.1853,-0.8933,0.3856,-0.1377,0
1192568.0,962.069149,1.0,0.15,-2.3,-7.97,-20.25,-5.88,42.38,-21.44,0.31,31.56,-1.3735752851697454,0.3932271726141292,1.6340088524462484,-125.87228808096124,46.84396830154976,-15.054764601110485,0.1787,-0.8905,0.3975,-0.131,0
1192568.0,962.069149,1.0,0.15,-2.3,-7.97,-20.25,-5.88,42.38,-21.44,0.31,31.56,-1.3735752851697454,0.3932271726141292,1.6340088524462484,-125.87228808096124,46.84396830154976,-15.054764601110485,0.1787,-0.8905,0.3975,-0.131,0
1192603.0,962.145002,1.0,0.65,-2.23,-8.25,-20.0,-6.56,41.56,-10.06,5.06,22.69,-1.113392493602913,0.8316293209652277,1.349307046820222,-125.27091255577453,47.88253794953186,-14.673408500442049,0.174,-0.8881,0.4058,-0.1277,0
1192603.0,962.145002,1.0,0.65,-2.23,-8.25,-20.0,-6.56,41.56,-10.06,5.06,22.69,-1.113392493602913,0.8316293209652277,1.349307046820222,-125.27091255577453,47.88253794953186,-14.673408500442049,0.174,-0.8881,0.4058,-0.1277,0
1192640.0,962.198514,1.0,1.14,-2.94,-8.27,-20.0,-6.5,43.25,9.0,8.31,15.25,-0.3537254701232549,0.7892388542438546,0.9982403635935544,-124.74966789127244,48.38454346943903,-14.835175731606341,0.1746,-0.886,0.4098,-0.1291,0
1192640.0,962.198514,1.0,1.14,-2.94,-8.27,-20.0,-6.5,43.25,9.0,8.31,15.25,-0.3537254701232549,0.7892388542438546,0.9982403635935544,-124.74966789127244,48.38454346943903,-14.835175731606341,0.1746,-0.886,0.4098,-0.1291,0
1192675.0,962.214229,1.0,1.4,-3.37,-8.51,-20.0,-6.5,43.25,14.0,7.31,9.25,-0.07179431808791481,0.8236362850233823,0.5842062432789454,-124.11052663351353,48.761696420190965,-15.239724647140953,0.178,-0.8834,0.4128,-0.1326,0
1192675.0,962.214229,1.0,1.4,-3.37,-8.51,-20.0,-6.5,43.25,14.0,7.31,9.25,-0.07179431808791481,0.8236362850233823,0.5842062432789454,-124.11052663351353,48.761696420190965,-15.239724647140953,0.178,-0.8834,0.4128,-0.1326,0
1192712.0,962.256633,1.0,1.27,-4.19,-8.63,-20.37,-6.06,41.56,18.06,6.56,3.06,0.27556911662323746,0.30043454510302947,0.1381599035023946,-123.74483108000663,48.8371944099726,-15.609765091037287,0.1815,-0.8819,0.4134,-0.1358,0
