TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1331867.0,1041.645395,1.0,8.6,1.54,4.48,-19.06,-24.19,-16.75,-3.06,7.31,2.38,-0.20468225436312346,0.024134214426175582,-0.009638642579886891,-61.687686660703456,1.8908465277120163,-114.51291967073887,-0.1716,-0.5127,0.0165,-0.8411,0
1331867.0,1041.645395,1.0,8.6,1.54,4.48,-19.06,-24.19,-16.75,-3.06,7.31,2.38,-0.20468225436312346,0.024134214426175582,-0.009638642579886891,-61.687686660703456,1.8908465277120163,-114.51291967073887,-0.1716,-0.5127,0.0165,-0.8411,0
1331902.0,1041.706231,1.0,8.55,1.49,4.47,-19.06,-24.19,-16.75,-4.0,6.81,2.0,-0.2243950177270371,-0.002122039212090865,0.04687836471216755,-61.420935291391,2.0054546535892377,-114.74633713830113,-0.1716,-0.5107,0.0175,-0.8422,0
1331902.0,1041.706231,1.0,8.55,1.49,4.47,-19.06,-24.19,-16.75,-4.0,6.81,2.0,-0.2243950177270371,-0.002122039212090865,0.04687836471216755,-61.420935291391,2.0054546535892377,-114.74633713830113,-0.1716,-0.5107,0.0175,-0.8422,0
1331937.0,1041.774384,1.0,8.57,1.38,4.5,-19.06,-24.19,-16.37,-0.81,6.44,5.25,-0.2087136711439507,-0.0938922739207887,0.031839370408466294,-61.234428672679336,2.0742204847835874,-114.95918116675217,-0.171,-0.5093,0.0181,-0.8432,0
1331937.0,1041.774384,1.0,8.57,1.38,4.5,-19.06,-24.19,-16.37,-0.81,6.44,5.25,-0.2087136711439507,-0.0938922739207887,0.031839370408466294,-61.234428672679336,2.0742204847835874,-114.95918116675217,-0.171,-0.5093,0.0181,-0.8432,0
1331972.0,1041.783027,1.0,8.52,1.47,4.6,-19.87,-24.19,-16.0,-1.81,6.5,7.94,-0.17722495479368447,0.06097347854208368,0.015012059884318418,-61.00819753273681,2.2346770389286066,-115.25820896831395,-0.1691,-0.5076,0.0195,-0.8446,0
1331972.0,1041.783027,1.0,8.52,1.47,4.6,-19.87,-24.19,-16.0,-1.81,6.5,7.94,-0.17722495479368447,0.06097347854208368,0.015012059884318418,-61.00819753273681,2.2346770389286066,-115.25820896831395,-0.1691,-0.5076,0.0195,-0.8446,0
1332006.0,1041.872701,1.0,8.68,1.65,4.47,-18.69,-23.87,-16.37,2.0,4.06,8.75,-0.4294665826113641,0.18453260185070952,-0.08411873520326374,-60.92841409128426,2.269061145645111,-115.40818530642285,-0.1672,-0.507,0.0198,-0.8453,0
1332006.0,1041.872701,1.0,8.68,1.65,4.47,-18.69,-23.87,-16.37,2.0,4.06,8.75,-0.4294665826113641,0.18453260185070952,-0.08411873520326374,-60.92841409128426,2.269061145645111,-115.40818530642285,-0.1672,-0.507,0.0198,-0.8453,0
1332041.0,1041.930321,1.0,8.65,1.51,4.53,-18.69,-23.87,-16.37,3.88,1.0,6.44,-0.31434968237761146,0.0921836651383543,-0.06837842776013403,-61.00819753273681,2.2232157148923686,-115.45109275023191,-0.1649,-0.5076,0.0194,-0.8455,0
1332041.0,1041.930321,1.0,8.65,1.51,4.53,-18.69,-23.87,-16.37,3.88,1.0,6.44,-0.31434968237761146,0.0921836651383543,-0.06837842776013403,-61.00819753273681,2.2232157148923686,-115.45109275023191,-0.1649,-0.5076,0.0194,-0.8455,0
1332078.0,1042.04683,1.0,8.52,1.34,4.56,-19.06,-23.87,-16.75,4.63,-1.88,3.25,-0.17185549971522376,-0.02098290622180532,0.052183053781764244,-61.07470873985765,2.165909426065293,-115.42963584973434,-0.1635,-0.5081,0.0189,-0.8454,0
1332078.0,1042.04683,1.0,8.52,1.34,4.56,-19.06,-23.87,-16.75,4.63,-1.88,3.25,-0.17185549971522376,-0.02098290622180532,0.052183053781764244,-61.07470873985765,2.165909426065293,-115.42963584973434,-0.1635,-0.5081,0.0189,-0.8454,0
1332113.0,1042.056339,1.0,8.45,1.24,4.81,-19.87,-23.87,-16.75,3.81,-3.19,1.44,0.12495172398923923,-0.044303008322638227,0.005699826158402033,-61.22111365086855,2.085681528609333,-115.34387175567547,-0.1623,-0.5092,0.0182,-0.845,0
1332113.0,1042.056339,1.0,8.45,1.24,4.81,-19.87,-23.87,-16.75,3.81,-3.19,1.44,0.12495172398923923,-0.044303008322638227,0.005699826158402033,-61.22111365086855,2.085681528609333,-115.34387175567547,-0.1623,-0.5092,0.0182,-0.845,0
1332148.0,1042.059183,1.0,8.37,1.17,4.78,-19.87,-23.87,-16.75,1.44,-3.25,-1.19,0.17201043696011029,-0.09636048954469068,0.09916180450722756,-61.32765948477194,2.051298459271143,-115.25820896831395,-0.1621,-0.51,0.0179,-0.8446,0
1332148.0,1042.059183,1.0,8.37,1.17,4.78,-19.87,-23.87,-16.75,1.44,-3.25,-1.19,0.17201043696011029,-0.09636048954469068,0.09916180450722756,-61.32765948477194,2.051298459271143,-115.25820896831395,-0.1621,-0.51,0.0179,-0.8446,0
1332180.0,1042.062119,1.0,8.37,1.25,4.55,-19.5,-23.5,-16.75,-0.19,-2.81,-1.69,-0.031396793789910386,-0.06881560200663073,0.19851913836722623,-61.420935291391,2.039837477354927,-115.1512723286105,-0.1625,-0.5107,0.0178,-0.8441,0
1332180.0,1042.062119,1.0,8.37,1.25,4.55,-19.5,-23.5,-16.75,-0.19,-2.81,-1.69,-0.031396793789910386,-0.06881560200663073,0.19851913836722623,-61.420935291391,2.039837477354927,-115.1512723286105,-0.1625,-0.5107,0.0178,-0.8441,0
1332217.0,1042.107265,1.0,8.49,1.37,4.46,-19.5,-23.5,-16.75,-0.81,-2.06,-2.06,-0.18392636559037476,-0.008359806808465264,0.12085105486021952,-61.47425600283563,2.039837477354927,-115.06583600138663,-0.1631,-0.5111,0.0178,-0.8437,0
1332217.0,1042.107265,1.0,8.49,1.37,4.46,-19.5,-23.5,-16.75,-0.81,-2.06,-2.06,-0.18392636559037476,-0.008359806808465264,0.12085105486021952,-61.47425600283563,2.039837477354927,-115.06583600138663,-0.1631,-0.5111,0.0178,-0.8437,0
1332252.0,1042.162175,1.0,8.52,1.44,4.47,-19.5,-23.5,-16.75,-1.25,-2.63,-2.63,-0.19366005556786328,0.04800736857935728,0.08013515266441473,-61.55426474750001,2.039837477354927,-114.95918116675217,-0.1637,-0.5117,0.0178,-0.8432,0
1332252.0,1042.162175,1.0,8.52,1.44,4.47,-19.5,-23.5,-16.75,-1.25,-2.63,-2.63,-0.19366005556786328,0.04800736857935728,0.08013515266441473,-61.55426474750001,2.039837477354927,-114.95918116675217,-0.1637,-0.5117,0.0178,-0.8432,0
1332287.0,1042.213826,1.0,8.49,1.5,4.4,-19.5,-24.19,-17.56,-0.81,-2.88,-2.19,-0.23262357356654703,0.09308062426475827,0.1305287590063937,-61.70103395154206,2.039837477354927,-114.7888564887898,-0.1646,-0.5128,0.0178,-0.8424,0
1332287.0,1042.213826,1.0,8.49,1.5,4.4,-19.5,-24.19,-17.56,-0.81,-2.88,-2.19,-0.23262357356654703,0.09308062426475827,0.1305287590063937,-61.70103395154206,2.039837477354927,-114.7888564887898,-0.1646,-0.5128,0.0178,-0.8424,0
1332322.0,1042.220303,1.0,8.5,1.49,4.44,-19.06,-23.87,-17.56,1.06,-2.38,-1.31,-0.17452490436697635,0.0802055862233646,0.10372218816432266,-61.83455799942884,1.982532871583725,-114.64014641159567,-0.165,-0.5138,0.0173,-0.8417,0
1332322.0,1042.220303,1.0,8.5,1.49,4.44,-19.06,-23.87,-17.56,1.06,-2.38,-1.31,-0.17452490436697635,0.0802055862233646,0.10372218816432266,-61.83455799942884,1.982532871583725,-114.64014641159567,-0.165,-0.5138,0.0173,-0.8417,0
1332357.0,1042.236612,1.0,8.43,1.42,4.47,-18.37,-23.87,-17.19,1.81,-2.31,-0.25,-0.0825891152422391,0.03774031381237963,0.16020222339555446,-61.92808029086676,1.94815034703792,-114.55530415588285,-0.1648,-0.5145,0.017,-0.8413,0
1332357.0,1042.236612,1.0,8.43,1.42,4.47,-18.37,-23.87,-17.19,1.81,-2.31,-0.25,-0.0825891152422391,0.03774031381237963,0.16020222339555446,-61.92808029086676,1.94815034703792,-114.55530415588285,-0.1648,-0.5145,0.017,-0.8413,0
1332391.0,1042.239529,1.0,8.38,1.39,4.44,-18.37,-23.87,-17.19,1.81,-1.44,0.0,-0.0655932203118674,0.013358375119081667,0.22199460279017913,-62.00827871831106,1.8908465277120163,-114.51291967073887,-0.1645,-0.5151,0.0165,-0.8411,0
1332391.0,1042.239529,1.0,8.38,1.39,4.44,-18.37,-23.87,-17.19,1.81,-1.44,0.0,-0.0655932203118674,0.013358375119081667,0.22199460279017913,-62.00827871831106,1.8908465277120163,-114.51291967073887,-0.1645,-0.5151,0.0165,-0.8411,0
1332428.0,1042.263896,1.0,8.34,1.26,4.5,-19.06,-23.87,-16.37,2.75,-0.44,0.69,0.04640000264000021,-0.09080713028071308,0.24721481245648214,-62.03501902225592,1.8335431812694831,-114.49173656786448,-0.1641,-0.5153,0.016,-0.841,0
1332428.0,1042.263896,1.0,8.34,1.26,4.5,-19.06,-23.87,-16.37,2.75,-0.44,0.69,0.04640000264000021,-0.09080713028071308,0.24721481245648214,-62.03501902225592,1.8335431812694831,-114.49173656786448,-0.1641,-0.5153,0.016,-0.841,0
1332463.0,1042.281051,1.0,8.37,1.12,4.6,-19.06,-23.5,-17.19,2.5,1.12,3.0,0.15333259475257993,-0.20221392219087875,0.19379929664157558,-62.00827871831106,1.8220825674649566,-114.5765055501271,-0.1629,-0.5151,0.0159,-0.8414,0
1332463.0,1042.281051,1.0,8.37,1.12,4.6,-19.06,-23.5,-17.19,2.5,1.12,3.0,0.15333259475257993,-0.20221392219087875,0.19379929664157558,-62.00827871831106,1.8220825674649566,-114.5765055501271,-0.1629,-0.5151,0.0159,-0.8414,0
1332498.0,1042.297727,1.0,8.35,1.3,4.66,-19.06,-23.5,-17.19,-1.06,1.44,2.5,0.15145171578770206,-0.002073331773604137,0.15754858696259966,-61.96817529160684,1.8793858210517667,-114.64014641159567,-0.1623,-0.5148,0.0164,-0.8417,0
1332498.0,1042.297727,1.0,8.35,1.3,4.66,-19.06,-23.5,-17.19,-1.06,1.44,2.5,0.15145171578770206,-0.002073331773604137,0.15754858696259966,-61.96817529160684,1.8793858210517667,-114.64014641159567,-0.1623,-0.5148,0.0164,-0.8417,0
1332531.0,1042.300645,1.0,8.44,1.21,4.48,-19.06,-23.87,-16.75,-0.44,3.19,3.19,-0.0375690076089448,-0.1313387580596087,0.17599899914347894,-61.84791552643628,1.9366895446536667,-114.76759373176696,-0.1614,-0.5139,0.0169,-0.8423,0
1332531.0,1042.300645,1.0,8.44,1.21,4.48,-19.06,-23.87,-16.75,-0.44,3.19,3.19,-0.0375690076089448,-0.1313387580596087,0.17599899914347894,-61.84791552643628,1.9366895446536667,-114.76759373176696,-0.1614,-0.5139,0.0169,-0.8423,0
1332568.0,1042.338191,1.0,8.53,1.27,4.51,-19.87,-24.19,-17.19,-2.5,1.63,4.44,-0.08590804312239612,-0.06984452854666323,0.07517315678864023,-61.7677843434822,2.039837477354927,-114.8952629410071,-0.1605,-0.5133,0.0178,-0.8429,0
1332568.0,1042.338191,1.0,8.53,1.27,4.51,-19.87,-24.19,-17.19,-2.5,1.63,4.44,-0.08590804312239612,-0.06984452854666323,0.07517315678864023,-61.7677843434822,2.039837477354927,-114.8952629410071,-0.1605,-0.5133,0.0178,-0.8429,0
1332602.0,1042.344699,1.0,8.57,1.05,4.53,-19.87,-24.19,-17.19,-1.94,2.63,4.25,-0.04357513479209576,-0.25327511278148684,0.05974008326878,-61.67434029817293,2.2117544130994498,-115.0018244008949,-0.1596,-0.5126,0.0193,-0.8434,0
1332602.0,1042.344699,1.0,8.57,1.05,4.53,-19.87,-24.19,-17.19,-1.94,2.63,4.25,-0.04357513479209576,-0.25327511278148684,0.05974008326878,-61.67434029817293,2.2117544130994498,-115.0018244008949,-0.1596,-0.5126,0.0193,-0.8434,0
1332637.0,1042.361169,1.0,8.64,1.23,4.47,-19.06,-22.69,-16.37,-4.81,1.19,9.25,-0.19392757683953754,-0.06304238163555553,0.0034965403698343778,-61.634306776683935,2.452446574526375,-115.10854164041076,-0.1581,-0.5123,0.0214,-0.8439,0
1332637.0,1042.361169,1.0,8.64,1.23,4.47,-19.06,-22.69,-16.37,-4.81,1.19,9.25,-0.19392757683953754,-0.06304238163555553,0.0034965403698343778,-61.634306776683935,2.452446574526375,-115.10854164041076,-0.1581,-0.5123,0.0214,-0.8439,0
1332670.0,1042.364062,1.0,9.27,0.25,4.11,-19.87,-24.56,-16.37,6.31,5.38,19.56,-0.5379375241936737,-1.1258115169842968,-0.2596637070275083,-61.5009218910809,2.704611892754087,-115.42963584973434,-0.1527,-0.5113,0.0236,-0.8454,0
1332670.0,1042.364062,1.0,9.27,0.25,4.11,-19.87,-24.56,-16.37,6.31,5.38,19.56,-0.5379375241936737,-1.1258115169842968,-0.2596637070275083,-61.5009218910809,2.704611892754087,-115.42963584973434,-0.1527,-0.5113,0.0236,-0.8454,0
1332707.0,1042.372103,1.0,10.1,0.35,4.02,-20.19,-23.5,-16.0,-16.44,-5.44,34.56,-1.047530288804849,-1.0654947170458988,-0.9664786682181461,-61.447593803930225,3.40386984812725,-115.66601281547125,-0.1469,-0.5109,0.0297,-0.8465,0
1332707.0,1042.372103,1.0,10.1,0.35,4.02,-20.19,-23.5,-16.0,-16.44,-5.44,34.56,-1.047530288804849,-1.0654947170458988,-0.9664786682181461,-61.447593803930225,3.40386984812725,-115.66601281547125,-0.1469,-0.5109,0.0297,-0.8465,0
1332742.0,1042.404732,1.0,10.34,0.92,3.67,-20.19,-23.5,-16.0,-43.0,-6.25,30.62,-1.6575589986931647,-0.3275323083754564,-1.0734290784268463,-61.434264087050586,5.3992599817249625,-115.57996801372805,-0.1451,-0.5108,0.0471,-0.8461,0
1332742.0,1042.404732,1.0,10.34,0.92,3.67,-20.19,-23.5,-16.0,-43.0,-6.25,30.62,-1.6575589986931647,-0.3275323083754564,-1.0734290784268463,-61.434264087050586,5.3992599817249625,-115.57996801372805,-0.1451,-0.5108,0.0471,-0.8461,0
1332779.0,1042.51046,1.0,11.36,0.73,2.62,-21.25,-23.5,-17.19,-41.19,-35.31,17.06,-2.8645409100815766,-0.7495250513804073,-1.4928861662247943,-61.9013549664198,6.856665996646211,-114.91656280775709,-0.1462,-0.5143,0.0598,-0.843,0
