TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1368307.0,1078.041133,1.0,8.86,0.65,4.18,-22.69,-24.69,-14.38,-0.25,1.0,0.81,-0.030422706388803497,0.06837871356252317,-0.011134821968116881,-64.5657923959142,3.724881599063971,-113.88004967231203,-0.106,-0.5341,0.0325,-0.8381,0
1368307.0,1078.041133,1.0,8.86,0.65,4.18,-22.69,-24.69,-14.38,-0.25,1.0,0.81,-0.030422706388803497,0.06837871356252317,-0.011134821968116881,-64.5657923959142,3.724881599063971,-113.88004967231203,-0.106,-0.5341,0.0325,-0.8381,0
1368344.0,1078.066214,1.0,8.78,0.59,4.22,-22.37,-23.19,-15.25,-0.94,-0.37,1.37,0.04982076458007165,0.034384488620146425,0.047488376255929055,-64.5657923959142,3.7478120989556993,-113.88004967231203,-0.1057,-0.5341,0.0327,-0.8381,0
1368344.0,1078.066214,1.0,8.78,0.59,4.22,-22.37,-23.19,-15.25,-0.94,-0.37,1.37,0.04982076458007165,0.034384488620146425,0.047488376255929055,-64.5657923959142,3.7478120989556993,-113.88004967231203,-0.1057,-0.5341,0.0327,-0.8381,0
1368379.0,1078.199536,1.0,8.81,0.6,4.14,-22.37,-23.19,-15.25,-0.56,0.75,2.56,-0.04227866008721257,0.03930952649580727,0.05409303907801366,-64.53868567478605,3.805139007503523,-113.92207363516447,-0.1052,-0.5339,0.0332,-0.8383,0
1368379.0,1078.199536,1.0,8.81,0.6,4.14,-22.37,-23.19,-15.25,-0.56,0.75,2.56,-0.04227866008721257,0.03930952649580727,0.05409303907801366,-64.53868567478605,3.805139007503523,-113.92207363516447,-0.1052,-0.5339,0.0332,-0.8383,0
1368416.0,1078.297868,1.0,8.86,0.64,4.05,-22.0,-23.87,-14.0,-0.19,0.69,2.06,-0.15455362862774347,0.06396606719196485,0.04531189920019685,-64.52513383249247,3.839535608999618,-113.94309450479719,-0.1049,-0.5338,0.0335,-0.8384,0
1368416.0,1078.297868,1.0,8.86,0.64,4.05,-22.0,-23.87,-14.0,-0.19,0.69,2.06,-0.15455362862774347,0.06396606719196485,0.04531189920019685,-64.52513383249247,3.839535608999618,-113.94309450479719,-0.1049,-0.5338,0.0335,-0.8384,0
1368451.0,1078.361039,1.0,8.82,0.54,4.2,-21.56,-23.19,-14.38,-0.06,0.25,1.63,0.014159253551232785,0.007292069350308905,0.02279869587320782,-64.52513383249247,3.873932556571698,-113.96412130753305,-0.1044,-0.5338,0.0338,-0.8385,0
1368451.0,1078.361039,1.0,8.82,0.54,4.2,-21.56,-23.19,-14.38,-0.06,0.25,1.63,0.014159253551232785,0.007292069350308905,0.02279869587320782,-64.52513383249247,3.873932556571698,-113.96412130753305,-0.1044,-0.5338,0.0338,-0.8385,0
1368485.0,1078.378634,1.0,8.84,0.62,4.15,-21.56,-23.19,-14.38,-1.0,0.56,2.25,-0.05942253630720841,0.08688012054564381,0.021895490722172894,-64.5115830018242,3.9427275023832014,-113.98515404910734,-0.1041,-0.5337,0.0344,-0.8386,0
1368485.0,1078.378634,1.0,8.84,0.62,4.15,-21.56,-23.19,-14.38,-1.0,0.56,2.25,-0.05942253630720841,0.08688012054564381,0.021895490722172894,-64.5115830018242,3.9427275023832014,-113.98515404910734,-0.1041,-0.5337,0.0344,-0.8386,0
1368518.0,1078.383151,1.0,8.86,0.53,4.09,-21.56,-23.87,-15.25,0.37,-0.44,2.31,-0.1029400095781795,-0.0015357907192865006,0.034342135642935645,-64.5115830018242,3.9771255068430276,-113.98515404910734,-0.1034,-0.5337,0.0347,-0.8386,0
1368518.0,1078.383151,1.0,8.86,0.53,4.09,-21.56,-23.87,-15.25,0.37,-0.44,2.31,-0.1029400095781795,-0.0015357907192865006,0.034342135642935645,-64.5115830018242,3.9771255068430276,-113.98515404910734,-0.1034,-0.5337,0.0347,-0.8386,0
1368555.0,1078.386022,1.0,8.87,0.42,4.06,-22.37,-22.5,-14.75,0.88,-0.44,4.0,-0.11273460260275223,-0.10310303934497994,0.043783583180919905,-64.5115830018242,4.011523869819651,-114.00619273526415,-0.1027,-0.5337,0.035,-0.8387,0
1368555.0,1078.386022,1.0,8.87,0.42,4.06,-22.37,-22.5,-14.75,0.88,-0.44,4.0,-0.11273460260275223,-0.10310303934497994,0.043783583180919905,-64.5115830018242,4.011523869819651,-114.00619273526415,-0.1027,-0.5337,0.035,-0.8387,0
1368590.0,1078.429469,1.0,9.01,0.32,4.09,-22.37,-22.5,-14.75,0.75,-2.31,6.88,-0.1160697907622528,-0.18417466915820452,-0.09098646002988353,-64.57934727558172,4.103254614165427,-113.98515404910734,-0.1012,-0.5342,0.0358,-0.8386,0
1368590.0,1078.429469,1.0,9.01,0.32,4.09,-22.37,-22.5,-14.75,0.75,-2.31,6.88,-0.1160697907622528,-0.18417466915820452,-0.09098646002988353,-64.57934727558172,4.103254614165427,-113.98515404910734,-0.1012,-0.5342,0.0358,-0.8386,0
1368625.0,1078.446212,1.0,9.16,0.01,3.86,-22.0,-23.19,-14.38,-0.69,-4.38,9.19,-0.2950577029799176,-0.48088301446789516,-0.11741128952801638,-64.7556530727814,4.355527902560735,-113.83804937327126,-0.0989,-0.5355,0.038,-0.8379,0
1368625.0,1078.446212,1.0,9.16,0.01,3.86,-22.0,-23.19,-14.38,-0.69,-4.38,9.19,-0.2950577029799176,-0.48088301446789516,-0.11741128952801638,-64.7556530727814,4.355527902560735,-113.83804937327126,-0.0989,-0.5355,0.038,-0.8379,0
1368659.0,1078.449097,1.0,9.45,-0.14,3.61,-22.37,-22.75,-14.38,-2.88,-8.75,20.5,-0.5769342252098112,-0.5784920748302159,-0.27733204178984927,-65.01364072680406,4.825730880475589,-113.64933964888505,-0.0941,-0.5374,0.0421,-0.837,0
1368659.0,1078.449097,1.0,9.45,-0.14,3.61,-22.37,-22.75,-14.38,-2.88,-8.75,20.5,-0.5769342252098112,-0.5784920748302159,-0.27733204178984927,-65.01364072680406,4.825730880475589,-113.64933964888505,-0.0941,-0.5374,0.0421,-0.837,0
1368696.0,1078.47376,1.0,9.12,0.3,3.92,-23.06,-23.5,-14.0,-16.19,-20.87,19.12,-0.18512152762257011,0.0857378432728172,-0.12255837943497028,-65.50347830987022,5.582817194583069,-113.14842081555733,-0.0917,-0.541,0.0487,-0.8346,0
1368696.0,1078.47376,1.0,9.12,0.3,3.92,-23.06,-23.5,-14.0,-16.19,-20.87,19.12,-0.18512152762257011,0.0857378432728172,-0.12255837943497028,-65.50347830987022,5.582817194583069,-113.14842081555733,-0.0917,-0.541,0.0487,-0.8346,0
1368729.0,1078.491119,1.0,9.18,0.07,3.7,-23.06,-23.5,-14.0,-14.81,-20.25,15.69,-0.2542214331597296,-0.020635256327168894,-0.08790636444194355,-66.18605330414924,6.4778727055513645,-112.42380191368638,-0.0894,-0.546,0.0565,-0.8311,0
1368729.0,1078.491119,1.0,9.18,0.07,3.7,-23.06,-23.5,-14.0,-14.81,-20.25,15.69,-0.2542214331597296,-0.020635256327168894,-0.08790636444194355,-66.18605330414924,6.4778727055513645,-112.42380191368638,-0.0894,-0.546,0.0565,-0.8311,0
1368766.0,1078.54524,1.0,10.04,-0.3,3.36,-22.69,-22.06,-14.0,-16.44,-19.5,15.94,-0.7258146444791027,-0.3923503050960233,-0.7527275545697183,-66.70658643296115,7.201088530206642,-111.82855209706509,-0.0883,-0.5498,0.0628,-0.8282,0
1368766.0,1078.54524,1.0,10.04,-0.3,3.36,-22.69,-22.06,-14.0,-16.44,-19.5,15.94,-0.7258146444791027,-0.3923503050960233,-0.7527275545697183,-66.70658643296115,7.201088530206642,-111.82855209706509,-0.0883,-0.5498,0.0628,-0.8282,0
1368803.0,1078.560897,1.0,11.51,0.12,2.46,-25.5,-22.06,-14.38,-36.75,-32.0,2.81,-2.031318460068551,-0.09759290902415774,-1.7868965211423955,-67.49032089207272,8.395611151395808,-110.85321906669195,-0.0892,-0.5555,0.0732,-0.8234,0
1368803.0,1078.560897,1.0,11.51,0.12,2.46,-25.5,-22.06,-14.38,-36.75,-32.0,2.81,-2.031318460068551,-0.09759290902415774,-1.7868965211423955,-67.49032089207272,8.395611151395808,-110.85321906669195,-0.0892,-0.5555,0.0732,-0.8234,0
1368840.0,1078.602187,1.0,12.45,-0.27,1.21,-25.5,-22.06,-14.38,-51.31,-53.81,-34.06,-3.1070681804303923,-0.8397692666769911,-2.2838592903856547,-68.73515523864087,9.303593121383253,-109.25386439900599,-0.0992,-0.5645,0.0811,-0.8154,0
1368840.0,1078.602187,1.0,12.45,-0.27,1.21,-25.5,-22.06,-14.38,-51.31,-53.81,-34.06,-3.1070681804303923,-0.8397692666769911,-2.2838592903856547,-68.73515523864087,9.303593121383253,-109.25386439900599,-0.0992,-0.5645,0.0811,-0.8154,0
1368872.0,1078.61884,1.0,12.15,0.17,1.23,-24.56,-21.37,-14.06,-93.25,-95.44,-77.75,-2.3473524580519474,-0.6306966221822543,-2.16232899607337,-71.70491441526583,10.753003071870054,-105.25385814101203,-0.1292,-0.5857,0.0937,-0.7947,0
1368872.0,1078.61884,1.0,12.15,0.17,1.23,-24.56,-21.37,-14.06,-93.25,-95.44,-77.75,-2.3473524580519474,-0.6306966221822543,-2.16232899607337,-71.70491441526583,10.753003071870054,-105.25385814101203,-0.1292,-0.5857,0.0937,-0.7947,0
1368909.0,1078.653327,1.0,12.84,1.74,1.08,-24.56,-21.69,-14.88,-101.06,-113.06,-96.5,-2.165512651641732,0.3359070825164724,-3.0096412493238365,-75.55547651316968,12.296340166976416,-99.68951411614925,-0.1707,-0.6126,0.1071,-0.7643,0
1368909.0,1078.653327,1.0,12.84,1.74,1.08,-24.56,-21.69,-14.88,-101.06,-113.06,-96.5,-2.165512651641732,0.3359070825164724,-3.0096412493238365,-75.55547651316968,12.296340166976416,-99.68951411614925,-0.1707,-0.6126,0.1071,-0.7643,0
1368946.0,1078.714109,1.0,13.89,3.76,-0.08,-23.87,-23.19,-14.5,-75.19,-116.44,-118.25,-3.331912348164154,1.1433478083831043,-4.145669373251778,-78.61764169313197,12.815113562902273,-95.207589729786,-0.2021,-0.6335,0.1116,-0.7385,0
1368946.0,1078.714109,1.0,13.89,3.76,-0.08,-23.87,-23.19,-14.5,-75.19,-116.44,-118.25,-3.331912348164154,1.1433478083831043,-4.145669373251778,-78.61764169313197,12.815113562902273,-95.207589729786,-0.2021,-0.6335,0.1116,-0.7385,0
1368981.0,1078.729931,1.0,13.27,3.85,0.9,-23.87,-23.19,-14.5,-34.44,-146.25,-123.37,-0.929378061387246,1.2504247341743757,-3.9519144019707593,-83.96444589128726,12.0543331202622,-88.37361278323944,-0.236,-0.6689,0.105,-0.697,0
1368981.0,1078.729931,1.0,13.27,3.85,0.9,-23.87,-23.19,-14.5,-34.44,-146.25,-123.37,-0.929378061387246,1.2504247341743757,-3.9519144019707593,-83.96444589128726,12.0543331202622,-88.37361278323944,-0.236,-0.6689,0.105,-0.697,0
1369018.0,1078.735285,1.0,12.12,5.98,1.39,-22.37,-23.87,-14.75,2.63,-136.63,-121.12,-0.4010900169778181,3.2511066971886518,-3.3788091138031966,-88.21391588431884,10.971708923508501,-83.211307567833,-0.256,-0.696,0.0956,-0.664,0
1369018.0,1078.735285,1.0,12.12,5.98,1.39,-22.37,-23.87,-14.75,2.63,-136.63,-121.12,-0.4010900169778181,3.2511066971886518,-3.3788091138031966,-88.21391588431884,10.971708923508501,-83.211307567833,-0.256,-0.696,0.0956,-0.664,0
1369055.0,1078.908555,1.0,11.85,6.46,1.1,-19.37,-24.0,-14.75,50.31,-119.75,-142.25,0.6612627251620596,3.1096547219244144,-3.3560578946060513,-93.705742238603,7.580028689727107,-77.2616554788231,-0.2712,-0.7296,0.0661,-0.6243,0
1369055.0,1078.908555,1.0,11.85,6.46,1.1,-19.37,-24.0,-14.75,50.31,-119.75,-142.25,0.6612627251620596,3.1096547219244144,-3.3560578946060513,-93.705742238603,7.580028689727107,-77.2616554788231,-0.2712,-0.7296,0.0661,-0.6243,0
1369092.0,1079.001184,1.0,11.05,7.47,1.21,-19.37,-24.0,-14.75,80.62,-115.69,-152.63,1.4505718251880715,3.7667236264934205,-2.9634374899738596,-97.98086184027689,4.034456312516312,-72.65501018396799,-0.2798,-0.7546,0.0352,-0.5924,0
1369092.0,1079.001184,1.0,11.05,7.47,1.21,-19.37,-24.0,-14.75,80.62,-115.69,-152.63,1.4505718251880715,3.7667236264934205,-2.9634374899738596,-97.98086184027689,4.034456312516312,-72.65501018396799,-0.2798,-0.7546,0.0352,-0.5924,0
1369126.0,1079.01234,1.0,8.1,8.67,2.62,-15.5,-26.06,-12.38,135.88,-104.31,-167.81,3.0899157409293805,5.686885879658428,-0.4770774227635197,-103.96078153770134,-2.0054546535892377,-66.43242860811324,-0.2811,-0.7878,-0.0175,-0.5478,0
1369126.0,1079.01234,1.0,8.1,8.67,2.62,-15.5,-26.06,-12.38,135.88,-104.31,-167.81,3.0899157409293805,5.686885879658428,-0.4770774227635197,-103.96078153770134,-2.0054546535892377,-66.43242860811324,-0.2811,-0.7878,-0.0175,-0.5478,0
1369161.0,1079.015767,1.0,6.89,6.69,3.54,-8.88,-28.25,-10.56,209.0,-56.19,-177.06,5.5349057784561975,3.9427335187615875,2.1529273486592775,-108.97720765299682,-10.787532942523711,-61.47425600283563,-0.2597,-0.814,-0.094,-0.5111,0
1369161.0,1079.015767,1.0,6.89,6.69,3.54,-8.88,-28.25,-10.56,209.0,-56.19,-177.06,5.5349057784561975,3.9427335187615875,2.1529273486592775,-108.97720765299682,-10.787532942523711,-61.47425600283563,-0.2597,-0.814,-0.094,-0.5111,0
1369198.0,1079.019113,1.0,10.65,6.45,-1.66,1.0,-28.56,-9.19,205.13,38.44,-135.0,3.5001076554102823,-0.09314201462936023,-2.2565656146547077,-110.26975406580355,-17.78719661804402,-59.88094864187494,-0.2318,-0.8205,-0.1546,-0.4991,0
1369198.0,1079.019113,1.0,10.65,6.45,-1.66,1.0,-28.56,-9.19,205.13,38.44,-135.0,3.5001076554102823,-0.09314201462936023,-2.2565656146547077,-110.26975406580355,-17.78719661804402,-59.88094864187494,-0.2318,-0.8205,-0.1546,-0.4991,0
1369231.0,1079.02229,1.0,10.31,6.73,-3.45,1.0,-28.56,-9.19,192.56,-14.13,-123.5,2.7487326058147192,-0.6417384122087268,-2.664281836556036,-111.4817285033188,-25.523799625853457,-56.97929979586889,-0.2015,-0.8265,-0.2209,-0.477,0
1369231.0,1079.02229,1.0,10.31,6.73,-3.45,1.0,-28.56,-9.19,192.56,-14.13,-123.5,2.7487326058147192,-0.6417384122087268,-2.664281836556036,-111.4817285033188,-25.523799625853457,-56.97929979586889,-0.2015,-0.8265,-0.2209,-0.477,0
1369268.0,1079.064125,1.0,8.03,5.72,-3.36,11.0,-30.87,-7.75,162.94,-77.37,-163.88,2.487893609495829,-0.7170013063063143,-0.282214877407414,-112.96142996660548,-31.233335490801053,-52.68039020015169,-0.1885,-0.8337,-0.2692,-0.4437,0
1369268.0,1079.064125,1.0,8.03,5.72,-3.36,11.0,-30.87,-7.75,162.94,-77.37,-163.88,2.487893609495829,-0.7170013063063143,-0.282214877407414,-112.96142996660548,-31.233335490801053,-52.68039020015169,-0.1885,-0.8337,-0.2692,-0.4437,0
1369305.0,1079.080848,1.0,7.72,5.22,-5.42,22.06,-43.0,-11.0,169.25,-74.69,-132.38,1.6043990752098027,-1.621019971435309,-0.7300192013972691,-114.30136176070127,-38.586111307499074,-46.7191162156521,-0.1671,-0.8401,-0.3304,-0.3965,0
1369305.0,1079.080848,1.0,7.72,5.22,-5.42,22.06,-43.0,-11.0,169.25,-74.69,-132.38,1.6043990752098027,-1.621019971435309,-0.7300192013972691,-114.30136176070127,-38.586111307499074,-46.7191162156521,-0.1671,-0.8401,-0.3304,-0.3965,0
1369339.0,1079.083809,1.0,7.53,4.24,-6.04,22.06,-43.0,-11.0,196.44,-93.0,-99.62,1.4766500698717495,-2.4501074055014262,-0.34108759380162645,-115.5369840524082,-43.28325839954606,-41.844407080073346,-0.1444,-0.8459,-0.3688,-0.3571,0
