TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1059946.0,970.427239,1.0,7.63,4.28,4.4,-5.06,-15.25,-30.5,-0.31,0.69,0.31,-0.12103161669115081,-0.1646824791707826,0.0161683454124546,-58.86528222790042,18.100426311736804,-71.81805792972114,-0.6243,-0.4914,0.1573,-0.5865,0
1059946.0,970.427239,1.0,7.63,4.28,4.4,-5.06,-15.25,-30.5,-0.31,0.69,0.31,-0.12103161669115081,-0.1646824791707826,0.0161683454124546,-58.86528222790042,18.100426311736804,-71.81805792972114,-0.6243,-0.4914,0.1573,-0.5865,0
1059983.0,970.434222,1.0,7.56,4.22,4.49,-4.69,-15.69,-30.5,0.5,0.19,0.25,-0.04963488644486136,-0.06258839223735846,0.053921198725722874,-58.87843997243265,18.08882279446736,-71.81805792972114,-0.6243,-0.4915,0.1572,-0.5865,0
1059983.0,970.434222,1.0,7.56,4.22,4.49,-4.69,-15.69,-30.5,0.5,0.19,0.25,-0.04963488644486136,-0.06258839223735846,0.053921198725722874,-58.87843997243265,18.08882279446736,-71.81805792972114,-0.6243,-0.4915,0.1572,-0.5865,0
1060018.0,970.48924,1.0,7.58,4.25,4.56,-4.38,-14.88,-30.5,-0.69,1.0,-0.12,-0.0484249875872903,-0.017620261986555086,-0.0071079217619143265,-58.838969295629816,18.100426311736804,-71.81805792972114,-0.6245,-0.4912,0.1573,-0.5865,0
1060018.0,970.48924,1.0,7.58,4.25,4.56,-4.38,-14.88,-30.5,-0.69,1.0,-0.12,-0.0484249875872903,-0.017620261986555086,-0.0071079217619143265,-58.838969295629816,18.100426311736804,-71.81805792972114,-0.6245,-0.4912,0.1573,-0.5865,0
1060052.0,970.596233,1.0,7.59,4.23,4.52,-4.38,-14.88,-30.5,-0.5,-0.37,-0.12,-0.042998643750828736,-0.060178683381098,0.012471645349615201,-58.838969295629816,18.08882279446736,-71.83220655514127,-0.6245,-0.4912,0.1572,-0.5866,0
1060052.0,970.596233,1.0,7.59,4.23,4.52,-4.38,-14.88,-30.5,-0.5,-0.37,-0.12,-0.042998643750828736,-0.060178683381098,0.012471645349615201,-58.838969295629816,18.08882279446736,-71.83220655514127,-0.6245,-0.4912,0.1572,-0.5866,0
1060087.0,970.658644,1.0,7.61,4.23,4.35,-3.56,-15.25,-31.25,0.19,0.06,-0.19,-0.10368081727764278,-0.20717332826618629,0.076602235462369,-58.82581410721352,18.100426311736804,-71.81805792972114,-0.6245,-0.4911,0.1573,-0.5865,0
1060087.0,970.658644,1.0,7.61,4.23,4.35,-3.56,-15.25,-31.25,0.19,0.06,-0.19,-0.10368081727764278,-0.20717332826618629,0.076602235462369,-58.82581410721352,18.100426311736804,-71.81805792972114,-0.6245,-0.4911,0.1573,-0.5865,0
1060122.0,970.67513,1.0,7.54,4.22,4.6,-3.56,-15.25,-30.06,-0.31,0.31,0.56,-0.01827594261454768,0.031082017591671285,0.017947333246658204,-58.82581410721352,18.100426311736804,-71.81805792972114,-0.6245,-0.4911,0.1573,-0.5865,0
1060122.0,970.67513,1.0,7.54,4.22,4.6,-3.56,-15.25,-30.06,-0.31,0.31,0.56,-0.01827594261454768,0.031082017591671285,0.017947333246658204,-58.82581410721352,18.100426311736804,-71.81805792972114,-0.6245,-0.4911,0.1573,-0.5865,0
1060159.0,970.678151,1.0,7.58,4.26,4.55,-4.0,-14.19,-30.06,-0.88,0.69,0.5,-0.06731682645113024,-0.0303792189841543,-0.006659612354562583,-58.78635364877628,18.100426311736804,-71.84635644599051,-0.6246,-0.4908,0.1573,-0.5867,0
1060159.0,970.678151,1.0,7.58,4.26,4.55,-4.0,-14.19,-30.06,-0.88,0.69,0.5,-0.06731682645113024,-0.0303792189841543,-0.006659612354562583,-58.78635364877628,18.100426311736804,-71.84635644599051,-0.6246,-0.4908,0.1573,-0.5867,0
1060194.0,970.71284,1.0,7.58,4.27,4.46,-4.0,-14.19,-30.06,0.63,0.75,1.19,-0.11421143243711729,-0.09843273819337428,0.031264240616769357,-58.78635364877628,18.100426311736804,-71.88881371666841,-0.6243,-0.4908,0.1573,-0.587,0
1060194.0,970.71284,1.0,7.58,4.27,4.46,-4.0,-14.19,-30.06,0.63,0.75,1.19,-0.11421143243711729,-0.09843273819337428,0.031264240616769357,-58.78635364877628,18.100426311736804,-71.88881371666841,-0.6243,-0.4908,0.1573,-0.587,0
1060231.0,970.720136,1.0,7.62,4.21,4.4,-3.19,-16.0,-30.5,0.25,0.5,0.94,-0.0779308322188148,-0.17939559609717604,0.05420189680608267,-58.77320186377301,18.112030016161896,-71.91712490112356,-0.6242,-0.4907,0.1574,-0.5872,0
1060231.0,970.720136,1.0,7.62,4.21,4.4,-3.19,-16.0,-30.5,0.25,0.5,0.94,-0.0779308322188148,-0.17939559609717604,0.05420189680608267,-58.77320186377301,18.112030016161896,-71.91712490112356,-0.6242,-0.4907,0.1574,-0.5872,0
1060265.0,970.738009,1.0,7.58,4.22,4.56,-3.56,-15.25,-31.69,-0.37,0.25,0.81,-0.03897199685556629,-0.025138522944320396,0.0058209923024712396,-58.77320186377301,18.12363390787068,-71.93128239622219,-0.6241,-0.4907,0.1575,-0.5873,0
1060265.0,970.738009,1.0,7.58,4.22,4.56,-3.56,-15.25,-31.69,-0.37,0.25,0.81,-0.03897199685556629,-0.025138522944320396,0.0058209923024712396,-58.77320186377301,18.12363390787068,-71.93128239622219,-0.6241,-0.4907,0.1575,-0.5873,0
1060300.0,970.740836,1.0,7.55,4.22,4.58,-3.56,-15.25,-31.69,-0.94,0.44,0.06,-0.04278789435486052,0.009233944187370557,0.019649237234554917,-58.760050928777325,18.146842253651588,-71.93128239622219,-0.6241,-0.4906,0.1577,-0.5873,0
1060300.0,970.740836,1.0,7.55,4.22,4.58,-3.56,-15.25,-31.69,-0.94,0.44,0.06,-0.04278789435486052,0.009233944187370557,0.019649237234554917,-58.760050928777325,18.146842253651588,-71.93128239622219,-0.6241,-0.4906,0.1577,-0.5873,0
1060335.0,970.753151,1.0,7.56,4.24,4.38,-4.0,-16.37,-30.06,-0.31,1.0,0.31,-0.13353936037130865,-0.1564087140090864,0.09720596064256526,-58.74690084345127,18.12363390787068,-71.94544116064459,-0.6241,-0.4905,0.1575,-0.5874,0
1060335.0,970.753151,1.0,7.56,4.24,4.38,-4.0,-16.37,-30.06,-0.31,1.0,0.31,-0.13353936037130865,-0.1564087140090864,0.09720596064256526,-58.74690084345127,18.12363390787068,-71.94544116064459,-0.6241,-0.4905,0.1575,-0.5874,0
1060370.0,970.784911,1.0,7.7,4.17,4.5,-3.19,-15.69,-30.06,1.06,0.56,0.06,0.011814751763612796,-0.15490190193948328,-0.0373718311631297,-58.74690084345127,18.112030016161896,-71.94544116064459,-0.6241,-0.4905,0.1574,-0.5874,0
