TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
352479.0,311.418649,1.0,9.63,0.26,1.72,-26.19,-17.87,-22.37,3.0,2.38,0.63,-0.04924741092235441,-0.13561916519595774,0.021861696998804803,-71.94544116064459,28.446410631570995,-89.04671926027092,-0.3207,-0.5874,0.2457,-0.7012,0
352479.0,311.418649,1.0,9.63,0.26,1.72,-26.19,-17.87,-22.37,3.0,2.38,0.63,-0.04924741092235441,-0.13561916519595774,0.021861696998804803,-71.94544116064459,28.446410631570995,-89.04671926027092,-0.3207,-0.5874,0.2457,-0.7012,0
352514.0,311.479646,1.0,9.63,0.28,1.72,-26.19,-16.06,-22.37,-5.31,1.56,0.44,-0.07473465866120621,-0.12291346734161945,0.02130345476508566,-71.87466002619819,28.505522169511824,-89.07886878573439,-0.321,-0.5869,0.2462,-0.7014,0
352514.0,311.479646,1.0,9.63,0.28,1.72,-26.19,-16.06,-22.37,-5.31,1.56,0.44,-0.07473465866120621,-0.12291346734161945,0.02130345476508566,-71.87466002619819,28.505522169511824,-89.07886878573439,-0.321,-0.5869,0.2462,-0.7014,0
352550.0,311.482588,1.0,9.68,0.45,1.84,-26.19,-17.56,-21.56,0.25,1.5,-0.5,-0.1328227346595957,0.0632187198619032,-0.055847732046206744,-71.80391056917499,28.529168952703607,-89.09494687724344,-0.3215,-0.5864,0.2464,-0.7015,0
352550.0,311.482588,1.0,9.68,0.45,1.84,-26.19,-17.56,-21.56,0.25,1.5,-0.5,-0.1328227346595957,0.0632187198619032,-0.055847732046206744,-71.80391056917499,28.529168952703607,-89.09494687724344,-0.3215,-0.5864,0.2464,-0.7015,0
352585.0,311.498338,1.0,9.74,0.31,1.62,-26.19,-17.56,-21.56,-0.5,0.63,0.12,-0.18448835774714678,-0.20387677997166365,-0.06819168503192508,-71.77561964048604,28.517345406099263,-89.11102718958543,-0.3216,-0.5862,0.2463,-0.7016,0
352585.0,311.498338,1.0,9.74,0.31,1.62,-26.19,-17.56,-21.56,-0.5,0.63,0.12,-0.18448835774714678,-0.20387677997166365,-0.06819168503192508,-71.77561964048604,28.517345406099263,-89.11102718958543,-0.3216,-0.5862,0.2463,-0.7016,0
352620.0,311.550876,1.0,9.5,0.3,1.89,-26.56,-17.19,-22.37,-1.81,-0.44,0.44,0.03125957162290616,0.031666251155905156,0.1159265962638436,-71.80391056917499,28.564641454120974,-89.06279291382195,-0.3216,-0.5864,0.2467,-0.7013,0
352620.0,311.550876,1.0,9.5,0.3,1.89,-26.56,-17.19,-22.37,-1.81,-0.44,0.44,0.03125957162290616,0.031666251155905156,0.1159265962638436,-71.80391056917499,28.564641454120974,-89.06279291382195,-0.3216,-0.5864,0.2467,-0.7013,0
