TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1378521.0,1339.338388,1.0,-0.55,1.71,-9.77,20.69,-9.5,24.25,1.06,-0.06,-0.63,-0.02250238520700651,0.020755137847794702,-0.12705841463110623,-115.04449255970867,-63.902835946619696,-2.738999060214957,-0.0877,-0.8436,-0.5292,-0.0239,0
1378521.0,1339.338388,1.0,-0.55,1.71,-9.77,20.69,-9.5,24.25,1.06,-0.06,-0.63,-0.02250238520700651,0.020755137847794702,-0.12705841463110623,-115.04449255970867,-63.902835946619696,-2.738999060214957,-0.0877,-0.8436,-0.5292,-0.0239,0
1378555.0,1339.387532,1.0,-0.65,1.58,-9.65,21.87,-9.88,25.06,0.06,-0.19,-0.31,-0.16323934925793568,0.07061332233549189,0.008192638069877134,-115.04449255970867,-63.902835946619696,-2.7275366438036484,-0.0876,-0.8436,-0.5292,-0.0238,0
1378555.0,1339.387532,1.0,-0.65,1.58,-9.65,21.87,-9.88,25.06,0.06,-0.19,-0.31,-0.16323934925793568,0.07061332233549189,0.008192638069877134,-115.04449255970867,-63.902835946619696,-2.7275366438036484,-0.0876,-0.8436,-0.5292,-0.0238,0
1378592.0,1339.390864,1.0,-0.48,1.68,-9.72,21.87,-9.88,25.06,-0.94,1.19,0.69,-0.01137106214301517,-0.04426349206809532,-0.06903283422547268,-115.04449255970867,-63.902835946619696,-2.750461504037132,-0.0875,-0.8436,-0.5292,-0.024,0
1378592.0,1339.390864,1.0,-0.48,1.68,-9.72,21.87,-9.88,25.06,-0.94,1.19,0.69,-0.01137106214301517,-0.04426349206809532,-0.06903283422547268,-115.04449255970867,-63.902835946619696,-2.750461504037132,-0.0875,-0.8436,-0.5292,-0.024,0
1378625.0,1339.41976,1.0,-0.41,1.74,-9.81,21.06,-10.19,23.87,-0.31,0.12,0.31,0.0572123687645385,-0.09024244984134722,-0.1643270356323132,-115.06583600138663,-63.889331204462884,-2.7733864743736323,-0.0875,-0.8437,-0.5291,-0.0242,0
1378625.0,1339.41976,1.0,-0.41,1.74,-9.81,21.06,-10.19,23.87,-0.31,0.12,0.31,0.0572123687645385,-0.09024244984134722,-0.1643270356323132,-115.06583600138663,-63.889331204462884,-2.7733864743736323,-0.0875,-0.8437,-0.5291,-0.0242,0
1378662.0,1339.506553,1.0,-0.46,1.65,-9.66,21.06,-10.19,24.25,0.88,0.12,0.12,-0.022615145932968095,-0.06200717715892512,-0.00382112350651731,-115.06583600138663,-63.889331204462884,-2.7733864743736323,-0.0873,-0.8437,-0.5291,-0.0242,0
1378662.0,1339.506553,1.0,-0.46,1.65,-9.66,21.06,-10.19,24.25,0.88,0.12,0.12,-0.022615145932968095,-0.06200717715892512,-0.00382112350651731,-115.06583600138663,-63.889331204462884,-2.7733864743736323,-0.0873,-0.8437,-0.5291,-0.0242,0
