TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
39444.0,6.53888,1.0,6.14,4.93,-5.95,-20.37,-35.75,18.5,2.25,2.69,1.81,-0.08149616020398864,-0.031500786631699196,-0.06246171668015954,125.47069041747115,10.154638119587414,44.295958202894106,0.2449,0.8889,0.0885,0.377,0
39444.0,6.53888,1.0,6.14,4.93,-5.95,-20.37,-35.75,18.5,2.25,2.69,1.81,-0.08149616020398864,-0.031500786631699196,-0.06246171668015954,125.47069041747115,10.154638119587414,44.295958202894106,0.2449,0.8889,0.0885,0.377,0
39479.0,6.540928,1.0,6.14,4.91,-5.9,-20.37,-35.5,18.87,1.19,2.63,1.56,-0.061765073407248045,-0.016737906310750894,-0.022571989465866693,125.42068267085124,10.14313387414705,44.40732869091076,0.2442,0.8887,0.0884,0.3779,0
39479.0,6.540928,1.0,6.14,4.91,-5.9,-20.37,-35.5,18.87,1.19,2.63,1.56,-0.061765073407248045,-0.016737906310750894,-0.022571989465866693,125.42068267085124,10.14313387414705,44.40732869091076,0.2442,0.8887,0.0884,0.3779,0
39514.0,6.569841,1.0,6.13,4.99,-5.82,-20.0,-35.06,18.19,-0.06,4.38,1.19,-0.03092404277212929,0.0923841671525012,-0.008639545868636134,125.3457502614118,10.14313387414705,44.51874337646561,0.2438,0.8884,0.0884,0.3788,0
39514.0,6.569841,1.0,6.13,4.99,-5.82,-20.0,-35.06,18.19,-0.06,4.38,1.19,-0.03092404277212929,0.0923841671525012,-0.008639545868636134,125.3457502614118,10.14313387414705,44.51874337646561,0.2438,0.8884,0.0884,0.3788,0
39548.0,6.582096,1.0,6.15,4.87,-5.99,-20.0,-35.06,18.19,-0.69,3.25,0.81,-0.16007261753059854,-0.07901480249430559,-0.061867285697163155,125.22107317255427,10.14313387414705,44.6673653156106,0.2437,0.8879,0.0884,0.38,0
39548.0,6.582096,1.0,6.15,4.87,-5.99,-20.0,-35.06,18.19,-0.69,3.25,0.81,-0.16007261753059854,-0.07901480249430559,-0.061867285697163155,125.22107317255427,10.14313387414705,44.6673653156106,0.2437,0.8879,0.0884,0.38,0
39581.0,6.58437,1.0,6.15,4.96,-5.89,-20.37,-34.69,18.5,-0.81,1.44,0.44,-0.10123692590731867,0.03362711984808264,-0.04752780952036595,125.17127559163815,10.14313387414705,44.7293144859979,0.2438,0.8877,0.0884,0.3805,0
39581.0,6.58437,1.0,6.15,4.96,-5.89,-20.37,-34.69,18.5,-0.81,1.44,0.44,-0.10123692590731867,0.03362711984808264,-0.04752780952036595,125.17127559163815,10.14313387414705,44.7293144859979,0.2438,0.8877,0.0884,0.3805,0
39616.0,6.588667,1.0,6.19,4.94,-5.73,-20.0,-35.75,18.87,0.25,1.5,0.44,0.03369036312075738,0.060836565769200934,0.031796350369317494,125.1215196986378,10.14313387414705,44.77888374446125,0.2438,0.8875,0.0884,0.3809,0
39616.0,6.588667,1.0,6.19,4.94,-5.73,-20.0,-35.75,18.87,0.25,1.5,0.44,0.03369036312075738,0.060836565769200934,0.031796350369317494,125.1215196986378,10.14313387414705,44.77888374446125,0.2438,0.8875,0.0884,0.3809,0
39653.0,6.632264,1.0,6.23,4.85,-5.82,-20.37,-35.5,18.87,-1.63,0.88,-0.19,-0.007742858454616336,-0.06756793278294726,-0.0016717026463002327,125.07180537967443,10.14313387414705,44.81606648541225,0.244,0.8873,0.0884,0.3812,0
