TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
361789.0,126.995183,1.0,6.89,-0.26,-7.01,-24.56,-15.38,30.87,-2.31,-0.94,-1.06,-0.08955572956434253,0.16926781642472938,-0.024073685346110096,-131.6782993972313,-15.7832777083714,-44.34545075118365,0.0787,-0.9124,-0.1373,-0.3774,0
361789.0,126.995183,1.0,6.89,-0.26,-7.01,-24.56,-15.38,30.87,-2.31,-0.94,-1.06,-0.08955572956434253,0.16926781642472938,-0.024073685346110096,-131.6782993972313,-15.7832777083714,-44.34545075118365,0.0787,-0.9124,-0.1373,-0.3774,0
361824.0,127.005249,1.0,6.81,-0.44,-7.09,-25.0,-15.38,31.75,1.81,1.44,-1.12,-0.26022804706876873,0.03239216417411145,-0.030475195463299798,-131.62233589525562,-15.817984589415362,-44.38257587959071,0.0787,-0.9122,-0.1376,-0.3777,0
361824.0,127.005249,1.0,6.81,-0.44,-7.09,-25.0,-15.38,31.75,1.81,1.44,-1.12,-0.26022804706876873,0.03239216417411145,-0.030475195463299798,-131.62233589525562,-15.817984589415362,-44.38257587959071,0.0787,-0.9122,-0.1376,-0.3777,0
361861.0,127.066313,1.0,7.16,-0.42,-7.0,-23.75,-15.75,32.56,-0.63,3.94,-0.75,0.02597727766307345,-0.03497485565669589,-0.2153309389420155,-131.53850453910292,-15.841123321226055,-44.48160022735979,0.0788,-0.9119,-0.1378,-0.3785,0
361861.0,127.066313,1.0,7.16,-0.42,-7.0,-23.75,-15.75,32.56,-0.63,3.94,-0.75,0.02597727766307345,-0.03497485565669589,-0.2153309389420155,-131.53850453910292,-15.841123321226055,-44.48160022735979,0.0788,-0.9119,-0.1378,-0.3785,0
361895.0,127.098575,1.0,7.38,-0.36,-6.98,-23.75,-15.75,32.56,-1.31,3.31,0.0,0.18517221704939812,-0.020869488401784375,-0.35601085798827015,-131.42694090104067,-15.82955387412607,-44.60542990052726,0.0788,-0.9115,-0.1377,-0.3795,0
361895.0,127.098575,1.0,7.38,-0.36,-6.98,-23.75,-15.75,32.56,-1.31,3.31,0.0,0.18517221704939812,-0.020869488401784375,-0.35601085798827015,-131.42694090104067,-15.82955387412607,-44.60542990052726,0.0788,-0.9115,-0.1377,-0.3795,0
361930.0,127.112215,1.0,7.42,-0.4,-7.09,-23.75,-15.69,31.69,0.31,1.5,-0.75,0.11280804717802505,-0.040106276910133576,-0.463216884777248,-131.37124925693712,-15.817984589415362,-44.67975404839125,0.0786,-0.9113,-0.1376,-0.3801,0
361930.0,127.112215,1.0,7.42,-0.4,-7.09,-23.75,-15.69,31.69,0.31,1.5,-0.75,0.11280804717802505,-0.040106276910133576,-0.463216884777248,-131.37124925693712,-15.817984589415362,-44.67975404839125,0.0786,-0.9113,-0.1376,-0.3801,0
361963.0,127.182011,1.0,7.12,-0.27,-6.98,-24.56,-16.5,31.06,-1.56,-1.19,-0.19,0.028300830329926308,0.1054415369078977,-0.16710461625646467,-131.3990875860209,-15.817984589415362,-44.65497713304196,0.0782,-0.9114,-0.1376,-0.3799,0
361963.0,127.182011,1.0,7.12,-0.27,-6.98,-24.56,-16.5,31.06,-1.56,-1.19,-0.19,0.028300830329926308,0.1054415369078977,-0.16710461625646467,-131.3990875860209,-15.817984589415362,-44.65497713304196,0.0782,-0.9114,-0.1376,-0.3799,0
362000.0,127.198956,1.0,7.19,-0.36,-7.02,-23.75,-16.06,30.5,0.25,-0.69,0.88,0.02350851753533678,0.022420411083771352,-0.2484504308644322,-131.3990875860209,-15.806415466969177,-44.64258950046725,0.0785,-0.9114,-0.1375,-0.3798,0
362000.0,127.198956,1.0,7.19,-0.36,-7.02,-23.75,-16.06,30.5,0.25,-0.69,0.88,0.02350851753533678,0.022420411083771352,-0.2484504308644322,-131.3990875860209,-15.806415466969177,-44.64258950046725,0.0785,-0.9114,-0.1375,-0.3798,0
362035.0,127.234723,1.0,7.05,-0.57,-7.04,-23.75,-16.06,30.5,1.0,-0.63,-0.06,-0.14229623716215933,-0.1397469702022519,-0.17078567081285456,-131.42694090104067,-15.817984589415362,-44.60542990052726,0.0789,-0.9115,-0.1376,-0.3795,0
362035.0,127.234723,1.0,7.05,-0.57,-7.04,-23.75,-16.06,30.5,1.0,-0.63,-0.06,-0.14229623716215933,-0.1397469702022519,-0.17078567081285456,-131.42694090104067,-15.817984589415362,-44.60542990052726,0.0789,-0.9115,-0.1376,-0.3795,0
362072.0,127.294422,1.0,7.06,-0.28,-6.97,-24.19,-15.38,30.06,-1.37,-0.81,1.06,0.005396934111119592,0.11250435963233996,-0.11757357880786223,-131.45480922787246,-15.7832777083714,-44.58065957987578,0.0786,-0.9116,-0.1373,-0.3793,0
362072.0,127.294422,1.0,7.06,-0.28,-6.97,-24.19,-15.38,30.06,-1.37,-0.81,1.06,0.005396934111119592,0.11250435963233996,-0.11757357880786223,-131.45480922787246,-15.7832777083714,-44.58065957987578,0.0786,-0.9116,-0.1373,-0.3793,0
362106.0,127.30043,1.0,6.93,-0.41,-6.75,-24.19,-15.38,30.5,0.56,-0.81,0.69,0.03189873903420269,-0.04026264051563211,0.12404387405298145,-131.51059102084358,-15.760140597334962,-44.54350821350816,0.0786,-0.9118,-0.1371,-0.379,0
362106.0,127.30043,1.0,6.93,-0.41,-6.75,-24.19,-15.38,30.5,0.56,-0.81,0.69,0.03189873903420269,-0.04026264051563211,0.12404387405298145,-131.51059102084358,-15.760140597334962,-44.54350821350816,0.0786,-0.9118,-0.1371,-0.379,0
362141.0,127.356915,1.0,6.68,-0.38,-6.43,-24.19,-15.38,30.5,-0.56,-0.5,1.94,0.09392756711304709,-0.04072946329412935,0.527575761534397,-131.56643317341502,-15.702300646279072,-44.506361779453115,0.0786,-0.912,-0.1366,-0.3787,0
362141.0,127.356915,1.0,6.68,-0.38,-6.43,-24.19,-15.38,30.5,-0.56,-0.5,1.94,0.09392756711304709,-0.04072946329412935,0.527575761534397,-131.56643317341502,-15.702300646279072,-44.506361779453115,0.0786,-0.912,-0.1366,-0.3787,0
362176.0,127.376801,1.0,6.5,-0.25,-6.34,-24.56,-14.56,31.75,-1.44,1.37,-0.31,0.06340400915795283,0.09421576349869465,0.723962990005047,-131.53850453910292,-15.679165793853407,-44.56827524268951,0.0784,-0.9119,-0.1364,-0.3792,0
362176.0,127.376801,1.0,6.5,-0.25,-6.34,-24.56,-14.56,31.75,-1.44,1.37,-0.31,0.06340400915795283,0.09421576349869465,0.723962990005047,-131.53850453910292,-15.679165793853407,-44.56827524268951,0.0784,-0.9119,-0.1364,-0.3792,0
362211.0,127.418443,1.0,5.67,-0.7,-5.41,-23.75,-15.38,31.37,0.88,3.56,0.31,-0.022342484022854908,-0.3996002778829794,1.9487354909636778,-131.45480922787246,-15.679165793853407,-44.64258950046725,0.0787,-0.9116,-0.1364,-0.3798,0
362211.0,127.418443,1.0,5.67,-0.7,-5.41,-23.75,-15.38,31.37,0.88,3.56,0.31,-0.022342484022854908,-0.3996002778829794,1.9487354909636778,-131.45480922787246,-15.679165793853407,-44.64258950046725,0.0787,-0.9116,-0.1364,-0.3798,0
362248.0,127.435458,1.0,4.53,-1.44,-4.83,-23.75,-15.38,31.75,3.25,9.88,-2.75,-0.6707028835010383,-1.0172364766831088,3.140407610724858,-131.09368455172458,-15.760140597334962,-44.977249267005995,0.0795,-0.9103,-0.1371,-0.3825,0
362248.0,127.435458,1.0,4.53,-1.44,-4.83,-23.75,-15.38,31.75,3.25,9.88,-2.75,-0.6707028835010383,-1.0172364766831088,3.140407610724858,-131.09368455172458,-15.760140597334962,-44.977249267005995,0.0795,-0.9103,-0.1371,-0.3825,0
362280.0,127.477469,1.0,4.32,-1.56,-4.96,-23.75,-15.38,31.75,-9.63,33.31,-4.06,-1.0317816063714065,-1.0548855678696683,3.209662569706235,-130.3242488651211,-15.771709071970362,-45.80946044511175,0.0787,-0.9075,-0.1372,-0.3892,0
362280.0,127.477469,1.0,4.32,-1.56,-4.96,-23.75,-15.38,31.75,-9.63,33.31,-4.06,-1.0317816063714065,-1.0548855678696683,3.209662569706235,-130.3242488651211,-15.771709071970362,-45.80946044511175,0.0787,-0.9075,-0.1372,-0.3892,0
362317.0,127.53183,1.0,4.92,-0.87,-4.43,-25.0,-16.06,31.37,-16.31,53.38,2.69,-0.26491126442492013,-0.626650395216225,3.163959934660797,-128.76486449761617,-15.332219618835126,-47.682009473276445,0.0759,-0.9017,-0.1334,-0.4042,0
362317.0,127.53183,1.0,4.92,-0.87,-4.43,-25.0,-16.06,31.37,-16.31,53.38,2.69,-0.26491126442492013,-0.626650395216225,3.163959934660797,-128.76486449761617,-15.332219618835126,-47.682009473276445,0.0759,-0.9017,-0.1334,-0.4042,0
362352.0,127.538855,1.0,5.71,-0.33,-3.77,-25.0,-15.75,28.56,-22.56,65.37,3.81,0.6636422646869456,-0.37234145610590746,2.998798592647888,-127.24853393391233,-14.719624694799501,-49.53031871016276,0.0736,-0.8959,-0.1281,-0.4189,0
362352.0,127.538855,1.0,5.71,-0.33,-3.77,-25.0,-15.75,28.56,-22.56,65.37,3.81,0.6636422646869456,-0.37234145610590746,2.998798592647888,-127.24853393391233,-14.719624694799501,-49.53031871016276,0.0736,-0.8959,-0.1281,-0.4189,0
362387.0,127.607817,1.0,6.35,-0.77,-3.96,-25.0,-15.75,28.56,-19.62,83.06,-1.0,0.404165922460127,-0.7995151624684584,2.33708338525554,-124.5030425986932,-14.130545861300057,-52.654818145262986,0.0704,-0.885,-0.123,-0.4435,0
362387.0,127.607817,1.0,6.35,-0.77,-3.96,-25.0,-15.75,28.56,-19.62,83.06,-1.0,0.404165922460127,-0.7995151624684584,2.33708338525554,-124.5030425986932,-14.130545861300057,-52.654818145262986,0.0704,-0.885,-0.123,-0.4435,0
362422.0,127.612069,1.0,7.19,0.09,-3.59,-27.19,-16.06,28.25,-29.06,90.31,0.06,1.0499813070850108,-0.14776224014971628,1.839969036439454,-122.13730880568984,-13.564921674838885,-55.34279598100366,0.0662,-0.8752,-0.1181,-0.4644,0
362422.0,127.612069,1.0,7.19,0.09,-3.59,-27.19,-16.06,28.25,-29.06,90.31,0.06,1.0499813070850108,-0.14776224014971628,1.839969036439454,-122.13730880568984,-13.564921674838885,-55.34279598100366,0.0662,-0.8752,-0.1181,-0.4644,0
362459.0,127.653536,1.0,7.55,0.01,-2.77,-29.0,-16.75,26.06,-25.87,101.56,3.5,1.3731527652767397,-0.3637059438155489,1.8909902378799712,-118.72304914641387,-12.67674864442774,-59.16812669186737,0.0621,-0.8604,-0.1104,-0.4937,0
362459.0,127.653536,1.0,7.55,0.01,-2.77,-29.0,-16.75,26.06,-25.87,101.56,3.5,1.3731527652767397,-0.3637059438155489,1.8909902378799712,-118.72304914641387,-12.67674864442774,-59.16812669186737,0.0621,-0.8604,-0.1104,-0.4937,0
362493.0,127.710158,1.0,7.98,-0.02,-2.63,-29.0,-16.75,26.06,-28.87,110.37,0.88,1.2491684492413866,-0.3956084314394385,1.5072059129304396,-115.79527299684045,-12.019765115233206,-62.35619623181861,0.0593,-0.8471,-0.1047,-0.5177,0
362493.0,127.710158,1.0,7.98,-0.02,-2.63,-29.0,-16.75,26.06,-28.87,110.37,0.88,1.2491684492413866,-0.3956084314394385,1.5072059129304396,-115.79527299684045,-12.019765115233206,-62.35619623181861,0.0593,-0.8471,-0.1047,-0.5177,0
362528.0,127.716914,1.0,8.32,-0.39,-2.46,-30.5,-17.19,22.06,-26.69,117.94,-0.94,0.7951805747763945,-0.719928795452683,1.1883270550775773,-111.50208718714256,-11.063807546045702,-66.98117667091634,0.0547,-0.8266,-0.0964,-0.5518,0
362528.0,127.716914,1.0,8.32,-0.39,-2.46,-30.5,-17.19,22.06,-26.69,117.94,-0.94,0.7951805747763945,-0.719928795452683,1.1883270550775773,-111.50208718714256,-11.063807546045702,-66.98117667091634,0.0547,-0.8266,-0.0964,-0.5518,0
362563.0,127.778375,1.0,9.83,-1.44,-1.86,-33.88,-17.56,18.37,-34.69,126.06,-2.0,1.0803190145642128,-1.914859661504563,-0.05886181153384129,-108.05519160220845,-10.10862175233956,-70.7183188364016,0.0492,-0.8093,-0.0881,-0.5787,0
362563.0,127.778375,1.0,9.83,-1.44,-1.86,-33.88,-17.56,18.37,-34.69,126.06,-2.0,1.0803190145642128,-1.914859661504563,-0.05886181153384129,-108.05519160220845,-10.10862175233956,-70.7183188364016,0.0492,-0.8093,-0.0881,-0.5787,0
362600.0,127.795455,1.0,10.07,-1.44,-1.58,-35.75,-18.0,15.0,-63.44,111.69,2.0,0.6703416346547608,-1.9030309203316556,-0.28810187456879,-103.71924706500204,-8.464552559408572,-75.48300403742995,0.0367,-0.7865,-0.0738,-0.6121,0
362600.0,127.795455,1.0,10.07,-1.44,-1.58,-35.75,-18.0,15.0,-63.44,111.69,2.0,0.6703416346547608,-1.9030309203316556,-0.28810187456879,-103.71924706500204,-8.464552559408572,-75.48300403742995,0.0367,-0.7865,-0.0738,-0.6121,0
362635.0,127.8396,1.0,9.29,-0.1,-0.6,-35.75,-18.0,15.0,-65.25,112.25,2.25,0.9482936911442684,-0.5892101478764075,0.563940955732976,-99.52971641733649,-6.684478178549482,-80.01681335104665,0.0227,-0.7634,-0.0583,-0.6429,0
362635.0,127.8396,1.0,9.29,-0.1,-0.6,-35.75,-18.0,15.0,-65.25,112.25,2.25,0.9482936911442684,-0.5892101478764075,0.563940955732976,-99.52971641733649,-6.684478178549482,-80.01681335104665,0.0227,-0.7634,-0.0583,-0.6429,0
362672.0,127.85729,1.0,9.98,-0.31,-0.07,-36.19,-18.25,9.56,-76.56,115.94,-0.88,0.984095771938477,-0.8384614577992882,-0.09435691321029083,-96.18086186879079,-4.997776256010228,-83.57963882568777,0.0085,-0.7442,-0.0436,-0.6664,0
362672.0,127.85729,1.0,9.98,-0.31,-0.07,-36.19,-18.25,9.56,-76.56,115.94,-0.88,0.984095771938477,-0.8384614577992882,-0.09435691321029083,-96.18086186879079,-4.997776256010228,-83.57963882568777,0.0085,-0.7442,-0.0436,-0.6664,0
