TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
302858.0,260.467475,1.0,5.83,-2.49,-8.03,-29.87,-5.25,28.19,0.69,2.44,-1.37,-0.019687876689082368,-0.1692486608443755,-0.4227618735298684,-132.63918862221735,26.523499645829535,-38.14932632838656,0.0434,-0.9158,0.2294,-0.3268,0
302858.0,260.467475,1.0,5.83,-2.49,-8.03,-29.87,-5.25,28.19,0.69,2.44,-1.37,-0.019687876689082368,-0.1692486608443755,-0.4227618735298684,-132.63918862221735,26.523499645829535,-38.14932632838656,0.0434,-0.9158,0.2294,-0.3268,0
302893.0,260.504458,1.0,5.84,-2.43,-8.02,-28.37,-4.88,27.87,2.25,0.0,0.06,-0.037196913428958894,-0.10340823150550937,-0.40700865531486485,-132.61066542040177,26.499953978465857,-38.17357699786608,0.0439,-0.9157,0.2292,-0.327,0
302893.0,260.504458,1.0,5.84,-2.43,-8.02,-28.37,-4.88,27.87,2.25,0.0,0.06,-0.037196913428958894,-0.10340823150550937,-0.40700865531486485,-132.61066542040177,26.499953978465857,-38.17357699786608,0.0439,-0.9157,0.2292,-0.327,0
302927.0,260.544606,1.0,5.63,-2.7,-8.05,-28.37,-4.88,27.87,4.94,-1.19,0.0,-0.09745350585876773,-0.4168696151320521,-0.37205927663107374,-132.63918862221735,26.47640945025204,-38.16145144122449,0.0452,-0.9158,0.229,-0.3269,0
302927.0,260.544606,1.0,5.63,-2.7,-8.05,-28.37,-4.88,27.87,4.94,-1.19,0.0,-0.09745350585876773,-0.4168696151320521,-0.37205927663107374,-132.63918862221735,26.47640945025204,-38.16145144122449,0.0452,-0.9158,0.229,-0.3269,0
302962.0,260.550119,1.0,5.49,-2.7,-7.78,-29.06,-5.25,27.87,0.69,-1.12,2.38,-0.025316952598517545,-0.4397155769015959,-0.08094370440256426,-132.63918862221735,26.48818157203767,-38.12507743338386,0.0463,-0.9158,0.2291,-0.3266,0
302962.0,260.550119,1.0,5.49,-2.7,-7.78,-29.06,-5.25,27.87,0.69,-1.12,2.38,-0.025316952598517545,-0.4397155769015959,-0.08094370440256426,-132.63918862221735,26.48818157203767,-38.12507743338386,0.0463,-0.9158,0.2291,-0.3266,0
302997.0,260.622742,1.0,5.55,-2.18,-7.77,-29.06,-5.25,28.69,0.44,-1.12,3.56,-0.17709862994991998,0.06461819119405887,0.014190627368593667,-132.61066542040177,26.582368805630423,-38.08870741479733,0.0467,-0.9157,0.2299,-0.3263,0
302997.0,260.622742,1.0,5.55,-2.18,-7.77,-29.06,-5.25,28.69,0.44,-1.12,3.56,-0.17709862994991998,0.06461819119405887,0.014190627368593667,-132.61066542040177,26.582368805630423,-38.08870741479733,0.0467,-0.9157,0.2299,-0.3263,0
303032.0,260.627071,1.0,5.53,-2.15,-7.81,-29.06,-5.25,28.69,2.13,-0.75,1.81,-0.22795957116325727,0.09938075544425762,0.0016687200911800204,-132.58215838722379,26.629469277048536,-38.06446294953504,0.0476,-0.9156,0.2303,-0.3261,0
