TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
2511851.0,762.74737,1.0,3.8,1.76,-9.02,-13.75,-23.0,34.38,2.81,4.0,0.37,-0.1375612044989924,0.09639518530711044,-0.13667866213655877,-153.41052586239525,-7.407773121999346,-24.057209241108925,-0.0729,-0.9732,-0.0646,-0.2084,0
2511851.0,762.74737,1.0,3.8,1.76,-9.02,-13.75,-23.0,34.38,2.81,4.0,0.37,-0.1375612044989924,0.09639518530711044,-0.13667866213655877,-153.41052586239525,-7.407773121999346,-24.057209241108925,-0.0729,-0.9732,-0.0646,-0.2084,0
2511886.0,762.776594,1.0,3.94,1.47,-8.93,-12.56,-22.19,34.38,5.25,4.31,-0.75,-0.017357048936959843,-0.17774266224931512,-0.06236749308758327,-153.3110465719337,-7.4651897628112485,-24.162667241251793,-0.0717,-0.973,-0.0651,-0.2093,0
2511886.0,762.776594,1.0,3.94,1.47,-8.93,-12.56,-22.19,34.38,5.25,4.31,-0.75,-0.017357048936959843,-0.17774266224931512,-0.06236749308758327,-153.3110465719337,-7.4651897628112485,-24.162667241251793,-0.0717,-0.973,-0.0651,-0.2093,0
2511921.0,762.824275,1.0,3.92,1.47,-8.98,-12.56,-22.19,34.38,-2.63,3.75,-0.94,-0.08129399338573902,-0.17503017197831683,-0.0994317544343275,-153.21193002249612,-7.52260828051994,-24.315032171134934,-0.0714,-0.9728,-0.0656,-0.2106,0
2511921.0,762.824275,1.0,3.92,1.47,-8.98,-12.56,-22.19,34.38,-2.63,3.75,-0.94,-0.08129399338573902,-0.17503017197831683,-0.0994317544343275,-153.21193002249612,-7.52260828051994,-24.315032171134934,-0.0714,-0.9728,-0.0656,-0.2106,0
2511955.0,762.843723,1.0,4.04,1.9,-9.23,-13.38,-22.56,35.56,-1.69,4.81,0.63,-0.06637483881811321,0.1967299517154899,-0.4442715052535604,-153.01476916887475,-7.4881569438495115,-24.479166312304468,-0.0717,-0.9724,-0.0653,-0.212,0
2511955.0,762.843723,1.0,4.04,1.9,-9.23,-13.38,-22.56,35.56,-1.69,4.81,0.63,-0.06637483881811321,0.1967299517154899,-0.4442715052535604,-153.01476916887475,-7.4881569438495115,-24.479166312304468,-0.0717,-0.9724,-0.0653,-0.212,0
2511992.0,762.882648,1.0,3.54,1.63,-8.56,-14.06,-22.19,34.75,2.56,3.31,1.63,-0.2724073962039888,0.10721322383984988,0.4057777247732375,-153.01476916887475,-7.4651897628112485,-24.56125248965988,-0.0706,-0.9724,-0.0651,-0.2127,0
2511992.0,762.882648,1.0,3.54,1.63,-8.56,-14.06,-22.19,34.75,2.56,3.31,1.63,-0.2724073962039888,0.10721322383984988,0.4057777247732375,-153.01476916887475,-7.4651897628112485,-24.56125248965988,-0.0706,-0.9724,-0.0651,-0.2127,0
2512027.0,762.890441,1.0,3.64,1.4,-8.58,-14.06,-22.19,34.75,2.56,16.75,0.56,-0.26730741045398965,-0.11984782023059781,0.3864491927824396,-152.72165046658662,-7.499640647274436,-24.901460713527143,-0.0698,-0.9718,-0.0654,-0.2156,0
2512027.0,762.890441,1.0,3.64,1.4,-8.58,-14.06,-22.19,34.75,2.56,16.75,0.56,-0.26730741045398965,-0.11984782023059781,0.3864491927824396,-152.72165046658662,-7.499640647274436,-24.901460713527143,-0.0698,-0.9718,-0.0654,-0.2156,0
