TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
2684798.0,935.999796,1.0,6.58,1.57,-7.2,-22.87,-23.06,31.19,-0.25,-4.44,-0.75,-0.11870505230300882,-0.0525543732022854,-0.07183405112925634,-132.69628364910096,-16.848301053200124,-43.715068693348314,-0.0316,-0.916,-0.1465,-0.3723,0
2684798.0,935.999796,1.0,6.58,1.57,-7.2,-22.87,-23.06,31.19,-0.25,-4.44,-0.75,-0.11870505230300882,-0.0525543732022854,-0.07183405112925634,-132.69628364910096,-16.848301053200124,-43.715068693348314,-0.0316,-0.916,-0.1465,-0.3723,0
2684833.0,936.017901,1.0,6.34,1.58,-7.08,-23.19,-23.75,30.75,-0.37,-2.56,-0.69,-0.1780438530793301,0.008662407929828642,0.1740685521704748,-132.7820481898819,-16.859885280956842,-43.59162801664085,-0.0321,-0.9163,-0.1466,-0.3713,0
2684833.0,936.017901,1.0,6.34,1.58,-7.08,-23.19,-23.75,30.75,-0.37,-2.56,-0.69,-0.1780438530793301,0.008662407929828642,0.1740685521704748,-132.7820481898819,-16.859885280956842,-43.59162801664085,-0.0321,-0.9163,-0.1466,-0.3713,0
2684868.0,936.087594,1.0,6.54,1.8,-7.26,-23.19,-23.75,30.75,-1.31,-1.25,0.06,-0.10536538715585707,0.1586776398266987,-0.1272776996467293,-132.83930623013015,-16.83671699887327,-43.54226664018886,-0.0327,-0.9165,-0.1464,-0.3709,0
2684868.0,936.087594,1.0,6.54,1.8,-7.26,-23.19,-23.75,30.75,-1.31,-1.25,0.06,-0.10536538715585707,0.1586776398266987,-0.1272776996467293,-132.83930623013015,-16.83671699887327,-43.54226664018886,-0.0327,-0.9165,-0.1464,-0.3709,0
2684905.0,936.095767,1.0,6.58,1.48,-7.39,-23.19,-23.75,31.19,0.0,-2.88,-0.31,-0.23140813973305704,-0.15563991131616917,-0.19440626875835854,-132.89662989290295,-16.859885280956842,-43.455904653903154,-0.0327,-0.9167,-0.1466,-0.3702,0
2684905.0,936.095767,1.0,6.58,1.48,-7.39,-23.19,-23.75,31.19,0.0,-2.88,-0.31,-0.23140813973305704,-0.15563991131616917,-0.19440626875835854,-132.89662989290295,-16.859885280956842,-43.455904653903154,-0.0327,-0.9167,-0.1466,-0.3702,0
2684940.0,936.158762,1.0,6.43,1.79,-6.96,-22.87,-23.06,30.75,-3.25,-3.31,-0.94,0.051226374346030126,0.1416967905580555,0.16466380014901283,-133.01147504963205,-16.83671699887327,-43.35723698802017,-0.0339,-0.9171,-0.1464,-0.3694,0
2684940.0,936.158762,1.0,6.43,1.79,-6.96,-22.87,-23.06,30.75,-3.25,-3.31,-0.94,0.051226374346030126,0.1416967905580555,0.16466380014901283,-133.01147504963205,-16.83671699887327,-43.35723698802017,-0.0339,-0.9171,-0.1464,-0.3694,0
2684975.0,936.166253,1.0,6.59,1.64,-7.26,-22.87,-23.06,30.75,1.75,-0.06,-3.5,-0.08769056668259809,-0.04189453267194598,-0.133966440274067,-132.92531640784813,-16.929394296591497,-43.38190073527359,-0.034,-0.9168,-0.1472,-0.3696,0
2684975.0,936.166253,1.0,6.59,1.64,-7.26,-22.87,-23.06,30.75,1.75,-0.06,-3.5,-0.08769056668259809,-0.04189453267194598,-0.133966440274067,-132.92531640784813,-16.929394296591497,-43.38190073527359,-0.034,-0.9168,-0.1472,-0.3696,0
2685007.0,936.240419,1.0,6.31,1.51,-7.23,-22.87,-23.06,31.56,-0.88,-5.25,-2.81,-0.26577051730403656,-0.10619001760404456,0.09649090180324471,-133.04022773049576,-17.02208275037734,-43.221624049321754,-0.0347,-0.9172,-0.148,-0.3683,0
2685007.0,936.240419,1.0,6.31,1.51,-7.23,-22.87,-23.06,31.56,-0.88,-5.25,-2.81,-0.26577051730403656,-0.10619001760404456,0.09649090180324471,-133.04022773049576,-17.02208275037734,-43.221624049321754,-0.0347,-0.9172,-0.148,-0.3683,0
2685044.0,936.244063,1.0,6.27,1.72,-7.12,-22.87,-24.56,31.19,-0.37,1.56,0.5,-0.16616090186193208,0.10167632201720833,0.16674582619030787,-133.04022773049576,-17.010496081346123,-43.221624049321754,-0.0347,-0.9172,-0.1479,-0.3683,0
2685044.0,936.244063,1.0,6.27,1.72,-7.12,-22.87,-24.56,31.19,-0.37,1.56,0.5,-0.16616090186193208,0.10167632201720833,0.16674582619030787,-133.04022773049576,-17.010496081346123,-43.221624049321754,-0.0347,-0.9172,-0.1479,-0.3683,0
2685081.0,936.286517,1.0,6.35,1.68,-7.07,-22.87,-24.56,31.19,1.75,3.5,-1.44,-0.10706021949017752,0.04330215435041751,0.15696280129603046,-132.89662989290295,-17.045256614539127,-43.34490590574987,-0.0344,-0.9167,-0.1482,-0.3693,0
2685081.0,936.286517,1.0,6.35,1.68,-7.07,-22.87,-24.56,31.19,1.75,3.5,-1.44,-0.10706021949017752,0.04330215435041751,0.15696280129603046,-132.89662989290295,-17.045256614539127,-43.34490590574987,-0.0344,-0.9167,-0.1482,-0.3693,0
2685114.0,936.308467,1.0,6.44,1.85,-6.68,-23.19,-23.75,29.06,6.56,19.12,0.94,0.22005097941645135,0.18194963726003643,0.3495377612688326,-132.61066542040177,-17.126370676427076,-43.640997897298035,-0.0332,-0.9157,-0.1489,-0.3717,0
2685114.0,936.308467,1.0,6.44,1.85,-6.68,-23.19,-23.75,29.06,6.56,19.12,0.94,0.22005097941645135,0.18194963726003643,0.3495377612688326,-132.61066542040177,-17.126370676427076,-43.640997897298035,-0.0332,-0.9157,-0.1489,-0.3717,0
2685151.0,936.359465,1.0,7.15,1.57,-7.11,-22.87,-23.06,30.37,-2.06,60.81,-12.13,-0.0043639457846832985,-0.22060637258455718,-0.39584056771689724,-130.6800872399157,-17.474100846214466,-45.58563248490306,-0.0313,-0.9088,-0.1519,-0.3874,0
2685151.0,936.359465,1.0,7.15,1.57,-7.11,-22.87,-23.06,30.37,-2.06,60.81,-12.13,-0.0043639457846832985,-0.22060637258455718,-0.39584056771689724,-130.6800872399157,-17.474100846214466,-45.58563248490306,-0.0313,-0.9088,-0.1519,-0.3874,0
2685186.0,936.379136,1.0,7.04,2.26,-5.56,-22.87,-23.75,30.37,-15.13,78.62,-37.63,0.832742901681363,0.307189640261499,0.5982313635230874,-128.18484420355125,-18.228077382152183,-47.857463382796034,-0.0345,-0.8995,-0.1584,-0.4056,0
2685186.0,936.379136,1.0,7.04,2.26,-5.56,-22.87,-23.75,30.37,-15.13,78.62,-37.63,0.832742901681363,0.307189640261499,0.5982313635230874,-128.18484420355125,-18.228077382152183,-47.857463382796034,-0.0345,-0.8995,-0.1584,-0.4056,0
2685220.0,936.44726,1.0,6.57,3.25,-1.83,-22.87,-23.75,30.37,-18.19,167.06,-78.37,2.8566016454450502,0.8873008844420396,2.8691559149784496,-121.3135909011287,-20.704572293778334,-54.00122182339204,-0.0417,-0.8717,-0.1797,-0.454,0
2685220.0,936.44726,1.0,6.57,3.25,-1.83,-22.87,-23.75,30.37,-18.19,167.06,-78.37,2.8566016454450502,0.8873008844420396,2.8691559149784496,-121.3135909011287,-20.704572293778334,-54.00122182339204,-0.0417,-0.8717,-0.1797,-0.454,0
2685257.0,936.458475,1.0,8.16,3.02,-1.46,-25.87,-24.87,25.75,-8.38,604.44,-206.13,1.8546120137052904,-0.32817294267503194,1.187466929759756,-105.93613916476912,-25.523799625853457,-67.89043829465147,-0.0457,-0.7983,-0.2209,-0.5584,0
2685257.0,936.458475,1.0,8.16,3.02,-1.46,-25.87,-24.87,25.75,-8.38,604.44,-206.13,1.8546120137052904,-0.32817294267503194,1.187466929759756,-105.93613916476912,-25.523799625853457,-67.89043829465147,-0.0457,-0.7983,-0.2209,-0.5584,0
2685294.0,936.515481,1.0,7.57,4.06,2.23,-29.56,-27.87,17.69,91.62,444.25,-166.69,2.55808610385528,-0.3821289041743441,1.3171521947198155,-83.22663368427064,-32.10284865965952,-87.92700356866892,-0.0239,-0.6641,-0.2765,-0.6942,0
2685294.0,936.515481,1.0,7.57,4.06,2.23,-29.56,-27.87,17.69,91.62,444.25,-166.69,2.55808610385528,-0.3821289041743441,1.3171521947198155,-83.22663368427064,-32.10284865965952,-87.92700356866892,-0.0239,-0.6641,-0.2765,-0.6942,0
2685331.0,936.53958,1.0,9.97,4.98,-0.06,-29.56,-27.87,17.69,50.31,527.81,-95.19,-2.7018839395149996,0.9234111747299547,-0.9660950067183318,-63.79482577106735,-36.52850049317351,-104.16566658300283,0.0124,-0.5284,-0.3134,-0.7889,0
2685331.0,936.53958,1.0,9.97,4.98,-0.06,-29.56,-27.87,17.69,50.31,527.81,-95.19,-2.7018839395149996,0.9234111747299547,-0.9660950067183318,-63.79482577106735,-36.52850049317351,-104.16566658300283,0.0124,-0.5284,-0.3134,-0.7889,0
2685364.0,936.591933,1.0,9.1,4.47,4.12,-31.19,-32.06,4.0,108.12,284.13,-11.56,-0.6346585756441324,-0.9781014781828099,-1.0747941132938763,-54.00122182339204,-38.80472209856705,-111.21754699943546,0.0501,-0.454,-0.3322,-0.8252,0
2685364.0,936.591933,1.0,9.1,4.47,4.12,-31.19,-32.06,4.0,108.12,284.13,-11.56,-0.6346585756441324,-0.9781014781828099,-1.0747941132938763,-54.00122182339204,-38.80472209856705,-111.21754699943546,0.0501,-0.454,-0.3322,-0.8252,0
2685401.0,936.599934,1.0,8.42,5.42,4.51,-29.06,-34.19,-4.19,37.38,180.44,4.06,-0.6271634846131102,0.02035039196136168,-1.1577994538082024,-46.868945786012894,-40.16831276292925,-115.75216046951115,0.0819,-0.3977,-0.3434,-0.8469,0
