TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1222344.0,1090.802858,1.0,3.93,8.46,-2.87,-5.0,-37.19,-25.37,2.5,2.94,0.44,-0.03298441340321512,-0.058209783329606246,0.04709449528580123,-104.53939520886966,15.632898017228824,-18.146842253651588,-0.5754,-0.7909,0.136,-0.1577,0
1222344.0,1090.802858,1.0,3.93,8.46,-2.87,-5.0,-37.19,-25.37,2.5,2.94,0.44,-0.03298441340321512,-0.058209783329606246,0.04709449528580123,-104.53939520886966,15.632898017228824,-18.146842253651588,-0.5754,-0.7909,0.136,-0.1577,0
1222379.0,1090.810087,1.0,4.05,8.64,-3.11,-5.0,-37.19,-25.37,-2.88,-4.0,0.63,-0.01709586450762579,-0.230130112520178,-0.22684130974498373,-104.52067140467182,15.702300646279072,-18.100426311736804,-0.5756,-0.7908,0.1366,-0.1573,0
1222379.0,1090.810087,1.0,4.05,8.64,-3.11,-5.0,-37.19,-25.37,-2.88,-4.0,0.63,-0.01709586450762579,-0.230130112520178,-0.22684130974498373,-104.52067140467182,15.702300646279072,-18.100426311736804,-0.5756,-0.7908,0.1366,-0.1573,0
1222414.0,1090.868822,1.0,3.93,8.49,-2.94,-5.69,-37.19,-25.37,0.19,-0.56,0.12,-0.048902840336552456,-0.11378406257250884,0.0008730445868483372,-104.52067140467182,15.73700413286234,-18.05401336431272,-0.5755,-0.7908,0.1369,-0.1569,0
1222414.0,1090.868822,1.0,3.93,8.49,-2.94,-5.69,-37.19,-25.37,0.19,-0.56,0.12,-0.048902840336552456,-0.11378406257250884,0.0008730445868483372,-104.52067140467182,15.73700413286234,-18.05401336431272,-0.5755,-0.7908,0.1369,-0.1569,0
1222449.0,1090.875102,1.0,3.98,8.43,-2.82,-5.69,-37.19,-26.56,-0.44,0.81,1.31,0.02660480774793539,-0.012212806717080582,0.0672022214266832,-104.53939520886966,15.73700413286234,-18.08882279446736,-0.5753,-0.7909,0.1369,-0.1572,0
1222449.0,1090.875102,1.0,3.98,8.43,-2.82,-5.69,-37.19,-26.56,-0.44,0.81,1.31,0.02660480774793539,-0.012212806717080582,0.0672022214266832,-104.53939520886966,15.73700413286234,-18.08882279446736,-0.5753,-0.7909,0.1369,-0.1572,0
1222483.0,1090.932582,1.0,4.07,8.68,-3.13,-5.69,-37.19,-26.56,-3.38,1.06,2.06,-0.030420122372902147,-0.2407809735678974,-0.2752793361401089,-104.46452369149223,15.771709071970362,-18.146842253651588,-0.5757,-0.7905,0.1372,-0.1577,0
1222483.0,1090.932582,1.0,4.07,8.68,-3.13,-5.69,-37.19,-26.56,-3.38,1.06,2.06,-0.030420122372902147,-0.2407809735678974,-0.2752793361401089,-104.46452369149223,15.771709071970362,-18.146842253651588,-0.5757,-0.7905,0.1372,-0.1577,0
1222518.0,1090.948171,1.0,3.96,8.6,-3.0,-6.5,-36.75,-27.37,0.69,-1.31,0.44,-0.08743199387048406,-0.14183457840583902,-0.12380007030477991,-104.46452369149223,15.841123321226055,-18.100426311736804,-0.5757,-0.7905,0.1378,-0.1573,0
1222518.0,1090.948171,1.0,3.96,8.6,-3.0,-6.5,-36.75,-27.37,0.69,-1.31,0.44,-0.08743199387048406,-0.14183457840583902,-0.12380007030477991,-104.46452369149223,15.841123321226055,-18.100426311736804,-0.5757,-0.7905,0.1378,-0.1573,0
1222553.0,1090.996124,1.0,3.97,8.49,-2.88,-6.06,-37.88,-25.75,1.06,-0.06,-0.19,-0.020872505812960962,-0.05463792676878931,0.001958315124872101,-104.50195155237603,15.82955387412607,-18.08882279446736,-0.5755,-0.7907,0.1377,-0.1572,0
1222553.0,1090.996124,1.0,3.97,8.49,-2.88,-6.06,-37.88,-25.75,1.06,-0.06,-0.19,-0.020872505812960962,-0.05463792676878931,0.001958315124872101,-104.50195155237603,15.82955387412607,-18.08882279446736,-0.5755,-0.7907,0.1377,-0.1572,0
