TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1143386.0,1072.314302,1.0,7.05,1.71,6.45,-2.06,4.75,-35.19,0.06,0.37,-0.5,0.1462761735823659,0.13338807187181856,0.1015013198753909,-39.86343282424955,27.666855466190324,-71.97376249969179,-0.6937,-0.3409,0.2391,-0.5876,0
1143386.0,1072.314302,1.0,7.05,1.71,6.45,-2.06,4.75,-35.19,0.06,0.37,-0.5,0.1462761735823659,0.13338807187181856,0.1015013198753909,-39.86343282424955,27.666855466190324,-71.97376249969179,-0.6937,-0.3409,0.2391,-0.5876,0
1143420.0,1072.327348,1.0,7.05,2.14,6.37,-2.06,4.75,-35.19,-2.0,0.69,4.44,-0.2982576194189883,0.037392812010896836,0.07173119345269363,-39.79030547860814,27.725866499273085,-72.04458809955408,-0.6934,-0.3403,0.2396,-0.5881,0
1143420.0,1072.327348,1.0,7.05,2.14,6.37,-2.06,4.75,-35.19,-2.0,0.69,4.44,-0.2982576194189883,0.037392812010896836,0.07173119345269363,-39.79030547860814,27.725866499273085,-72.04458809955408,-0.6934,-0.3403,0.2396,-0.5881,0
1143453.0,1072.373956,1.0,7.25,2.18,6.11,-1.0,3.69,-36.38,-1.69,1.69,-0.69,-0.3260483750334131,-0.30284716250745913,0.08816369536905277,-39.70501157955701,27.737669605365127,-72.0729272521427,-0.6936,-0.3396,0.2397,-0.5883,0
1143453.0,1072.373956,1.0,7.25,2.18,6.11,-1.0,3.69,-36.38,-1.69,1.69,-0.69,-0.3260483750334131,-0.30284716250745913,0.08816369536905277,-39.70501157955701,27.737669605365127,-72.0729272521427,-0.6936,-0.3396,0.2397,-0.5883,0
1143490.0,1072.515098,1.0,7.24,1.83,6.28,-1.37,4.5,-34.38,1.88,-0.12,-3.13,0.04247826693083545,-0.13940230302588308,0.050438512196466334,-39.76593345094053,27.690458980540107,-72.00208892273058,-0.694,-0.3401,0.2393,-0.5878,0
1143490.0,1072.515098,1.0,7.24,1.83,6.28,-1.37,4.5,-34.38,1.88,-0.12,-3.13,0.04247826693083545,-0.13940230302588308,0.050438512196466334,-39.76593345094053,27.690458980540107,-72.00208892273058,-0.694,-0.3401,0.2393,-0.5878,0
1143525.0,1072.587912,1.0,7.06,1.8,6.46,-1.37,4.5,-34.38,0.81,-1.81,-1.44,0.06390425508662956,0.12427602512339186,0.07034311721526976,-39.851243758997164,27.666855466190324,-71.93128239622219,-0.6942,-0.3408,0.2391,-0.5873,0
1143525.0,1072.587912,1.0,7.06,1.8,6.46,-1.37,4.5,-34.38,0.81,-1.81,-1.44,0.06390425508662956,0.12427602512339186,0.07034311721526976,-39.851243758997164,27.666855466190324,-71.93128239622219,-0.6942,-0.3408,0.2391,-0.5873,0
