TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1498200.0,1427.720826,1.0,-1.48,-1.7,-9.5,-14.38,-7.88,37.69,-3.56,1.88,-0.5,0.11981095804921474,-0.47088081725194086,0.05501851648527989,-121.92447762133865,56.94018936700063,2.165909426065293,0.0895,-0.8743,0.4767,0.0189,0
1498200.0,1427.720826,1.0,-1.48,-1.7,-9.5,-14.38,-7.88,37.69,-3.56,1.88,-0.5,0.11981095804921474,-0.47088081725194086,0.05501851648527989,-121.92447762133865,56.94018936700063,2.165909426065293,0.0895,-0.8743,0.4767,0.0189,0
1498234.0,1427.72391,1.0,-1.17,-1.51,-9.63,-14.69,-6.69,37.25,-0.31,3.63,1.12,0.12467693706062244,-0.10508760056216271,-0.009627922796054733,-121.92447762133865,56.96626218157377,2.1315259137202647,0.0888,-0.8743,0.4769,0.0186,0
1498234.0,1427.72391,1.0,-1.17,-1.51,-9.63,-14.69,-6.69,37.25,-0.31,3.63,1.12,0.12467693706062244,-0.10508760056216271,-0.009627922796054733,-121.92447762133865,56.96626218157377,2.1315259137202647,0.0888,-0.8743,0.4769,0.0186,0
1498269.0,1427.768589,1.0,-1.19,-1.4,-9.45,-14.38,-7.5,37.25,-4.0,2.75,0.75,0.027544619733195247,-0.1100173269770387,0.1803455438918018,-121.87727845049913,57.031458307191315,2.0627594617091103,0.0882,-0.8741,0.4774,0.018,0
1498269.0,1427.768589,1.0,-1.19,-1.4,-9.45,-14.38,-7.5,37.25,-4.0,2.75,0.75,0.027544619733195247,-0.1100173269770387,0.1803455438918018,-121.87727845049913,57.031458307191315,2.0627594617091103,0.0882,-0.8741,0.4774,0.018,0
1498304.0,1427.841142,1.0,-1.07,-1.49,-9.76,-14.38,-7.5,37.25,-0.44,4.25,2.44,0.14876966525804797,-0.02679333034311493,-0.12309066651028822,-121.85369197967641,57.07058565644391,1.982532871583725,0.0873,-0.874,0.4777,0.0173,0
1498304.0,1427.841142,1.0,-1.07,-1.49,-9.76,-14.38,-7.5,37.25,-0.44,4.25,2.44,0.14876966525804797,-0.02679333034311493,-0.12309066651028822,-121.85369197967641,57.07058565644391,1.982532871583725,0.0873,-0.874,0.4777,0.0173,0
1498341.0,1427.900145,1.0,-1.3,-1.17,-9.53,-15.06,-7.5,37.25,-4.31,-1.06,0.25,-0.2122349703979704,-0.10208657741778149,0.12035377037480366,-121.80654521371449,57.148862161344155,2.039837477354927,0.0862,-0.8738,0.4783,0.0178,0
1498341.0,1427.900145,1.0,-1.3,-1.17,-9.53,-15.06,-7.5,37.25,-4.31,-1.06,0.25,-0.2122349703979704,-0.10208657741778149,0.12035377037480366,-121.80654521371449,57.148862161344155,2.039837477354927,0.0862,-0.8738,0.4783,0.0178,0
1498374.0,1427.922583,1.0,-1.21,-1.36,-9.54,-15.5,-8.56,37.69,-2.13,2.0,-0.5,0.002438647335961608,-0.1350940764214693,0.09546862781283316,-121.8301142376418,57.13581405595553,2.051298459271143,0.0856,-0.8739,0.4782,0.0179,0
1498374.0,1427.922583,1.0,-1.21,-1.36,-9.54,-15.5,-8.56,37.69,-2.13,2.0,-0.5,0.002438647335961608,-0.1350940764214693,0.09546862781283316,-121.8301142376418,57.13581405595553,2.051298459271143,0.0856,-0.8739,0.4782,0.0179,0
1498408.0,1427.962637,1.0,-1.37,-1.21,-9.45,-15.5,-8.56,37.69,4.25,0.81,1.81,-0.20782296855269675,-0.19725317657633323,0.18576642321390047,-121.73589034408553,57.21411483330134,2.051298459271143,0.086,-0.8735,0.4788,0.0179,0
1498408.0,1427.962637,1.0,-1.37,-1.21,-9.45,-15.5,-8.56,37.69,4.25,0.81,1.81,-0.20782296855269675,-0.19725317657633323,0.18576642321390047,-121.73589034408553,57.21411483330134,2.051298459271143,0.086,-0.8735,0.4788,0.0179,0
1498443.0,1427.969582,1.0,-1.15,-1.53,-9.77,-14.69,-7.06,37.56,0.75,1.81,-0.31,0.146752173764584,-0.12684526527694495,-0.1471771071067014,-121.73589034408553,57.227167798936335,1.9710720103882062,0.0865,-0.8735,0.4789,0.0172,0
1498443.0,1427.969582,1.0,-1.15,-1.53,-9.77,-14.69,-7.06,37.56,0.75,1.81,-0.31,0.146752173764584,-0.12684526527694495,-0.1471771071067014,-121.73589034408553,57.227167798936335,1.9710720103882062,0.0865,-0.8735,0.4789,0.0172,0
1498480.0,1427.987007,1.0,-1.18,-1.3,-9.58,-15.5,-7.88,38.06,0.5,0.69,1.63,-0.048397247074119576,-0.069342368483306,0.06746885667954139,-121.71235608620218,57.253276164013286,1.9710720103882062,0.0861,-0.8734,0.4791,0.0172,0
1498480.0,1427.987007,1.0,-1.18,-1.3,-9.58,-15.5,-7.88,38.06,0.5,0.69,1.63,-0.048397247074119576,-0.069342368483306,0.06746885667954139,-121.71235608620218,57.253276164013286,1.9710720103882062,0.0861,-0.8734,0.4791,0.0172,0
1498513.0,1427.989825,1.0,-1.3,-1.22,-9.31,-15.5,-7.88,38.06,-2.69,1.12,0.12,-0.16412586924645903,-0.1712876313019801,0.33045755543625077,-121.66531355494112,57.2793877763047,1.982532871583725,0.0861,-0.8732,0.4793,0.0173,0
1498513.0,1427.989825,1.0,-1.3,-1.22,-9.31,-15.5,-7.88,38.06,-2.69,1.12,0.12,-0.16412586924645903,-0.1712876313019801,0.33045755543625077,-121.66531355494112,57.2793877763047,1.982532871583725,0.0861,-0.8732,0.4793,0.0173,0
1498548.0,1427.997955,1.0,-1.11,-1.39,-9.68,-15.06,-7.88,36.5,-0.44,3.19,1.19,0.06532777960389906,-0.06777931948033167,-0.03498290542086657,-121.71235608620218,57.266331564096724,1.9252287616436874,0.0848,-0.8734,0.4792,0.0168,0
1498548.0,1427.997955,1.0,-1.11,-1.39,-9.68,-15.06,-7.88,36.5,-0.44,3.19,1.19,0.06532777960389906,-0.06777931948033167,-0.03498290542086657,-121.71235608620218,57.266331564096724,1.9252287616436874,0.0848,-0.8734,0.4792,0.0168,0
1498583.0,1428.031262,1.0,-1.23,-1.16,-9.53,-15.88,-7.88,37.25,-1.37,-0.06,2.06,-0.18429866350099186,-0.07410861101817212,0.129876678463285,-121.6418052604753,57.35774212215938,1.9137679978932431,0.0847,-0.8731,0.4799,0.0167,0
1498583.0,1428.031262,1.0,-1.23,-1.16,-9.53,-15.88,-7.88,37.25,-1.37,-0.06,2.06,-0.18429866350099186,-0.07410861101817212,0.129876678463285,-121.6418052604753,57.35774212215938,1.9137679978932431,0.0847,-0.8731,0.4799,0.0167,0
1498619.0,1428.102893,1.0,-1.12,-1.3,-9.71,-16.19,-7.88,36.88,-1.31,2.31,-4.81,-0.0072965431283811,-0.047555718595137964,-0.053683930151011694,-121.78298489723478,57.227167798936335,1.9137679978932431,0.0835,-0.8737,0.4789,0.0167,0
1498619.0,1428.102893,1.0,-1.12,-1.3,-9.71,-16.19,-7.88,36.88,-1.31,2.31,-4.81,-0.0072965431283811,-0.047555718595137964,-0.053683930151011694,-121.78298489723478,57.227167798936335,1.9137679978932431,0.0835,-0.8737,0.4789,0.0167,0
1498652.0,1428.19533,1.0,-1.24,-1.37,-9.71,-16.19,-7.88,36.88,-0.31,-1.19,3.75,-0.01123860611335789,-0.18351933590372138,-0.07589999213675291,-121.75943327756427,57.253276164013286,1.9252287616436874,0.0835,-0.8736,0.4791,0.0168,0
1498652.0,1428.19533,1.0,-1.24,-1.37,-9.71,-16.19,-7.88,36.88,-0.31,-1.19,3.75,-0.01123860611335789,-0.18351933590372138,-0.07589999213675291,-121.75943327756427,57.253276164013286,1.9252287616436874,0.0835,-0.8736,0.4791,0.0168,0
1498689.0,1428.250032,1.0,-1.22,-1.23,-9.63,-15.5,-7.88,36.88,-0.63,-1.0,-2.63,-0.11178332645038008,-0.09626897445535854,0.023172255737224035,-121.71235608620218,57.30550263837881,1.959611168911186,0.0839,-0.8734,0.4795,0.0171,0
1498689.0,1428.250032,1.0,-1.22,-1.23,-9.63,-15.5,-7.88,36.88,-0.63,-1.0,-2.63,-0.11178332645038008,-0.09626897445535854,0.023172255737224035,-121.71235608620218,57.30550263837881,1.959611168911186,0.0839,-0.8734,0.4795,0.0171,0
1498724.0,1428.356472,1.0,-1.08,-1.43,-9.64,-15.88,-7.5,38.06,-3.5,0.0,-1.63,0.13803137989569547,-0.09034000215173377,0.0028912299070071867,-121.80654521371449,57.21411483330134,1.982532871583725,0.0834,-0.8738,0.4788,0.0173,0
