TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1068277.0,997.117437,1.0,2.44,1.7,-9.38,5.38,1.5,47.06,-1.94,0.25,1.44,-0.058017408934335934,0.18212778028562204,-0.03161526639268786,-58.379042052890526,-118.14091440496067,-16.9525653616307,0.0678,-0.4877,-0.8578,-0.1474,0
1068277.0,997.117437,1.0,2.44,1.7,-9.38,5.38,1.5,47.06,-1.94,0.25,1.44,-0.058017408934335934,0.18212778028562204,-0.03161526639268786,-58.379042052890526,-118.14091440496067,-16.9525653616307,0.0678,-0.4877,-0.8578,-0.1474,0
1068314.0,997.121036,1.0,2.59,1.61,-9.6,5.75,1.06,46.25,-2.38,1.69,2.56,-0.21084193874911417,0.17696210329298712,-0.26233356791104434,-58.40529575549325,-118.1186232350635,-16.9525653616307,0.0682,-0.4879,-0.8577,-0.1474,0
1068314.0,997.121036,1.0,2.59,1.61,-9.6,5.75,1.06,46.25,-2.38,1.69,2.56,-0.21084193874911417,0.17696210329298712,-0.26233356791104434,-58.40529575549325,-118.1186232350635,-16.9525653616307,0.0682,-0.4879,-0.8577,-0.1474,0
1068347.0,997.146147,1.0,2.56,2.11,-9.51,5.75,1.06,46.25,3.88,-1.44,-2.56,0.23184051468413092,-0.07413416904927739,-0.2624390402622989,-58.39216848405749,-118.14091440496067,-16.929394296591497,0.0679,-0.4878,-0.8578,-0.1472,0
1068347.0,997.146147,1.0,2.56,2.11,-9.51,5.75,1.06,46.25,3.88,-1.44,-2.56,0.23184051468413092,-0.07413416904927739,-0.2624390402622989,-58.39216848405749,-118.14091440496067,-16.929394296591497,0.0679,-0.4878,-0.8578,-0.1472,0
1068384.0,997.206011,1.0,2.29,1.92,-9.46,5.38,1.88,46.25,-3.63,-1.94,0.37,0.20136971391083514,0.2197829122638686,-0.10966210227856266,-58.379042052890526,-118.14091440496067,-16.940979741891212,0.0675,-0.4877,-0.8578,-0.1473,0
1068384.0,997.206011,1.0,2.29,1.92,-9.46,5.38,1.88,46.25,-3.63,-1.94,0.37,0.20136971391083514,0.2197829122638686,-0.10966210227856266,-58.379042052890526,-118.14091440496067,-16.940979741891212,0.0675,-0.4877,-0.8578,-0.1473,0
1068419.0,997.222553,1.0,2.38,1.58,-9.37,6.5,1.5,46.25,0.25,3.5,2.0,-0.12640814061232164,0.28488898857743794,0.015809420857971546,-58.40529575549325,-118.1186232350635,-16.940979741891212,0.0679,-0.4879,-0.8577,-0.1473,0
1068419.0,997.222553,1.0,2.38,1.58,-9.37,6.5,1.5,46.25,0.25,3.5,2.0,-0.12640814061232164,0.28488898857743794,0.015809420857971546,-58.40529575549325,-118.1186232350635,-16.940979741891212,0.0679,-0.4879,-0.8577,-0.1473,0
1068453.0,997.26943,1.0,2.64,1.97,-9.52,6.5,1.5,46.25,-0.12,-0.12,2.13,0.06633075974018265,-0.054153114700269955,-0.2667589399011572,-58.510344216731,-117.98502779819529,-17.02208275037734,0.0679,-0.4887,-0.8571,-0.148,0
1068453.0,997.26943,1.0,2.64,1.97,-9.52,6.5,1.5,46.25,-0.12,-0.12,2.13,0.06633075974018265,-0.054153114700269955,-0.2667589399011572,-58.510344216731,-117.98502779819529,-17.02208275037734,0.0679,-0.4887,-0.8571,-0.148,0
1068486.0,997.298204,1.0,2.62,2.15,-9.81,5.75,0.69,45.88,-0.56,-1.69,0.12,0.2231298984916868,-0.03387852821071102,-0.5698650842527737,-58.54975129457163,-117.96278708262619,-17.010496081346123,0.0678,-0.489,-0.857,-0.1479,0
1068486.0,997.298204,1.0,2.62,2.15,-9.81,5.75,0.69,45.88,-0.56,-1.69,0.12,0.2231298984916868,-0.03387852821071102,-0.5698650842527737,-58.54975129457163,-117.96278708262619,-17.010496081346123,0.0678,-0.489,-0.857,-0.1479,0
1068523.0,997.344913,1.0,2.41,1.95,-9.32,4.25,1.06,47.06,1.56,-0.44,-2.81,0.16631693374638945,0.06469667100772925,-0.01379566291722334,-58.47094472838859,-118.0517930817869,-16.96415115593626,0.0673,-0.4884,-0.8574,-0.1475,0
1068523.0,997.344913,1.0,2.41,1.95,-9.32,4.25,1.06,47.06,1.56,-0.44,-2.81,0.16631693374638945,0.06469667100772925,-0.01379566291722334,-58.47094472838859,-118.0517930817869,-16.96415115593626,0.0673,-0.4884,-0.8574,-0.1475,0
1068558.0,997.362244,1.0,2.45,1.66,-9.48,4.25,1.06,47.06,1.69,0.75,-1.5,-0.0996941992637137,0.2205686741658902,-0.12158803736644153,-58.39216848405749,-118.14091440496067,-16.929394296591497,0.0677,-0.4878,-0.8578,-0.1472,0
