TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
4342495.0,1012.210498,1.0,6.45,-0.17,-7.63,-35.06,-9.25,21.37,0.69,-0.06,2.75,-0.006141645687156583,-0.02901697567858119,-0.18571810247254028,-117.18882847106602,45.98367660557063,-36.97527104810168,-0.136,-0.8535,0.3906,-0.3171,0
4342495.0,1012.210498,1.0,6.45,-0.17,-7.63,-35.06,-9.25,21.37,0.69,-0.06,2.75,-0.006141645687156583,-0.02901697567858119,-0.18571810247254028,-117.18882847106602,45.98367660557063,-36.97527104810168,-0.136,-0.8535,0.3906,-0.3171,0
4342532.0,1012.253994,1.0,6.29,-0.19,-7.59,-35.06,-10.5,21.06,-0.94,-2.56,0.25,-0.04890731520276492,-0.11062948470704415,-0.0520349625917742,-117.18882847106602,46.00857379414183,-36.93902480540506,-0.1359,-0.8535,0.3908,-0.3168,0
4342532.0,1012.253994,1.0,6.29,-0.19,-7.59,-35.06,-10.5,21.06,-0.94,-2.56,0.25,-0.04890731520276492,-0.11062948470704415,-0.0520349625917742,-117.18882847106602,46.00857379414183,-36.93902480540506,-0.1359,-0.8535,0.3908,-0.3168,0
4342566.0,1012.320019,1.0,6.16,-0.19,-7.47,-33.88,-9.69,21.06,-0.56,-0.63,1.25,-0.05683211850477726,-0.11985877146802748,0.12341686301478738,-117.18882847106602,46.058375063609425,-36.890702437106015,-0.1357,-0.8535,0.3912,-0.3164,0
4342566.0,1012.320019,1.0,6.16,-0.19,-7.47,-33.88,-9.69,21.06,-0.56,-0.63,1.25,-0.05683211850477726,-0.11985877146802748,0.12341686301478738,-117.18882847106602,46.058375063609425,-36.890702437106015,-0.1357,-0.8535,0.3912,-0.3164,0
4342603.0,1012.32414,1.0,6.41,-0.02,-7.63,-33.88,-9.69,21.06,0.06,3.44,0.81,-0.1417745880712793,0.05234339296785118,-0.15741343493405502,-117.12288767556585,46.070826818198796,-36.963188541465996,-0.1359,-0.8532,0.3913,-0.317,0
4342603.0,1012.32414,1.0,6.41,-0.02,-7.63,-33.88,-9.69,21.06,0.06,3.44,0.81,-0.1417745880712793,0.05234339296785118,-0.15741343493405502,-117.12288767556585,46.070826818198796,-36.963188541465996,-0.1359,-0.8532,0.3913,-0.317,0
4342636.0,1012.3386,1.0,6.42,-0.21,-7.69,-34.25,-9.69,20.56,4.13,4.44,0.5,-0.05002515269061969,-0.1039565453877822,-0.21249619719511692,-117.03506304367225,46.02102324962843,-37.14447095017847,-0.1355,-0.8528,0.3909,-0.3185,0
4342636.0,1012.3386,1.0,6.42,-0.21,-7.69,-34.25,-9.69,20.56,4.13,4.44,0.5,-0.05002515269061969,-0.1039565453877822,-0.21249619719511692,-117.03506304367225,46.02102324962843,-37.14447095017847,-0.1355,-0.8528,0.3909,-0.3185,0
4342673.0,1012.406139,1.0,6.25,-0.23,-7.47,-33.88,-9.25,21.06,4.13,4.81,0.44,-0.04891696164768311,-0.11713822049475087,0.06497736291336231,-116.99119192350858,45.971228872033386,-37.31375483691922,-0.1351,-0.8526,0.3905,-0.3199,0
4342673.0,1012.406139,1.0,6.25,-0.23,-7.47,-33.88,-9.25,21.06,4.13,4.81,0.44,-0.04891696164768311,-0.11713822049475087,0.06497736291336231,-116.99119192350858,45.971228872033386,-37.31375483691922,-0.1351,-0.8526,0.3905,-0.3199,0
4342708.0,1012.427841,1.0,6.42,-0.25,-7.45,-33.88,-9.25,21.06,5.31,9.81,1.19,0.01813196467008804,-0.03614924862687818,-0.031020682823292844,-116.88163381383895,45.90899880278562,-37.56783922201158,-0.1347,-0.8521,0.39,-0.322,0
4342708.0,1012.427841,1.0,6.42,-0.25,-7.45,-33.88,-9.25,21.06,5.31,9.81,1.19,0.01813196467008804,-0.03614924862687818,-0.031020682823292844,-116.88163381383895,45.90899880278562,-37.56783922201158,-0.1347,-0.8521,0.39,-0.322,0
4342740.0,1012.476348,1.0,6.02,-0.55,-6.56,-35.06,-9.0,22.19,5.13,17.25,0.12,0.362193126574799,-0.07976716039782228,0.8937967341157229,-116.57577410041328,45.78458156617274,-38.16145144122449,-0.1346,-0.8507,0.389,-0.3269,0
4342740.0,1012.476348,1.0,6.02,-0.55,-6.56,-35.06,-9.0,22.19,5.13,17.25,0.12,0.362193126574799,-0.07976716039782228,0.8937967341157229,-116.57577410041328,45.78458156617274,-38.16145144122449,-0.1346,-0.8507,0.389,-0.3269,0
4342775.0,1012.51343,1.0,7.03,-0.05,-7.69,-35.06,-10.06,21.87,-8.63,84.37,-11.63,-0.31743088296425714,-0.13318522836272928,-0.6068508200646221,-115.06583600138663,45.07648531811652,-40.52234562197142,-0.146,-0.8437,0.3833,-0.3463,0
4342775.0,1012.51343,1.0,7.03,-0.05,-7.69,-35.06,-10.06,21.87,-8.63,84.37,-11.63,-0.31743088296425714,-0.13318522836272928,-0.6068508200646221,-115.06583600138663,45.07648531811652,-40.52234562197142,-0.146,-0.8437,0.3833,-0.3463,0
4342812.0,1012.556222,1.0,7.05,-0.43,-6.13,-36.56,-9.06,19.37,7.5,136.13,-24.37,0.33627257063360927,-0.08654697031646563,0.4608632284024061,-112.87847065921487,43.974468066741416,-43.92504042696693,-0.1602,-0.8333,0.3744,-0.374,0
4342812.0,1012.556222,1.0,7.05,-0.43,-6.13,-36.56,-9.06,19.37,7.5,136.13,-24.37,0.33627257063360927,-0.08654697031646563,0.4608632284024061,-112.87847065921487,43.974468066741416,-43.92504042696693,-0.1602,-0.8333,0.3744,-0.374,0
4342847.0,1012.578675,1.0,8.14,0.14,-6.54,-36.56,-9.06,19.37,14.69,112.19,-17.0,-0.3374661324041962,-0.049991090225027124,-0.6305152042294662,-110.22967237255023,42.298669773319475,-48.12086811718631,-0.175,-0.8203,0.3608,-0.4077,0
4342847.0,1012.578675,1.0,8.14,0.14,-6.54,-36.56,-9.06,19.37,14.69,112.19,-17.0,-0.3374661324041962,-0.049991090225027124,-0.6305152042294662,-110.22967237255023,42.298669773319475,-48.12086811718631,-0.175,-0.8203,0.3608,-0.4077,0
4342884.0,1012.631806,1.0,7.64,0.14,-5.01,-38.38,-10.06,14.88,5.75,93.62,-20.87,0.060464962639261266,0.3189095157867834,0.6751692488275101,-108.70148376565115,41.648182661236724,-50.17476615256416,-0.1833,-0.8126,0.3555,-0.424,0
4342884.0,1012.631806,1.0,7.64,0.14,-5.01,-38.38,-10.06,14.88,5.75,93.62,-20.87,0.060464962639261266,0.3189095157867834,0.6751692488275101,-108.70148376565115,41.648182661236724,-50.17476615256416,-0.1833,-0.8126,0.3555,-0.424,0
4342921.0,1012.64122,1.0,9.08,0.08,-5.58,-38.75,-10.75,12.38,8.5,87.69,-11.69,-0.1479852639151833,-0.1048860087496879,-0.8496298052055913,-105.95516818414838,40.03412919359559,-54.03980807797137,-0.1974,-0.7984,0.3423,-0.4543,0
4342921.0,1012.64122,1.0,9.08,0.08,-5.58,-38.75,-10.75,12.38,8.5,87.69,-11.69,-0.1479852639151833,-0.1048860087496879,-0.8496298052055913,-105.95516818414838,40.03412919359559,-54.03980807797137,-0.1974,-0.7984,0.3423,-0.4543,0
4342953.0,1012.662415,1.0,8.52,0.01,-4.98,-38.75,-10.75,12.38,5.25,47.25,-10.81,-0.11980480987556019,-0.21087939269783362,-0.05905203732436348,-104.91470584503644,39.32755601712488,-55.54991909388128,-0.2022,-0.7929,0.3365,-0.466,0
4342953.0,1012.662415,1.0,8.52,0.01,-4.98,-38.75,-10.75,12.38,5.25,47.25,-10.81,-0.11980480987556019,-0.21087939269783362,-0.05905203732436348,-104.91470584503644,39.32755601712488,-55.54991909388128,-0.2022,-0.7929,0.3365,-0.466,0
4342988.0,1012.717202,1.0,9.15,0.29,-5.0,-40.69,-11.56,8.69,1.06,7.31,2.06,-0.22228716970120344,0.05181594698317693,-0.6218927324158976,-104.16566658300283,39.181563633405815,-56.30240400451016,-0.2062,-0.7889,0.3353,-0.4718,0
4342988.0,1012.717202,1.0,9.15,0.29,-5.0,-40.69,-11.56,8.69,1.06,7.31,2.06,-0.22228716970120344,0.05181594698317693,-0.6218927324158976,-104.16566658300283,39.181563633405815,-56.30240400451016,-0.2062,-0.7889,0.3353,-0.4718,0
4343023.0,1012.738679,1.0,8.9,0.16,-4.62,-41.75,-10.75,4.69,-1.69,0.0,-2.06,0.014790841817800882,0.1162917789007134,-0.2216229048006273,-103.84922334055192,39.61974059674283,-56.211447262477904,-0.2086,-0.7872,0.3389,-0.4711,0
4343023.0,1012.738679,1.0,8.9,0.16,-4.62,-41.75,-10.75,4.69,-1.69,0.0,-2.06,0.014790841817800882,0.1162917789007134,-0.2216229048006273,-103.84922334055192,39.61974059674283,-56.211447262477904,-0.2086,-0.7872,0.3389,-0.4711,0
