TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1472913.0,1449.818579,1.0,0.33,-0.82,-9.74,8.38,-4.25,36.06,-2.88,2.25,-0.5,-0.09271414125995896,0.06501583025036073,0.027280028993315497,-123.86648635871313,-55.835035885969354,-0.1145915781247664,0.0457,-0.8824,-0.4682,-0.001,0
1472913.0,1449.818579,1.0,0.33,-0.82,-9.74,8.38,-4.25,36.06,-2.88,2.25,-0.5,-0.09271414125995896,0.06501583025036073,0.027280028993315497,-123.86648635871313,-55.835035885969354,-0.1145915781247664,0.0457,-0.8824,-0.4682,-0.001,0
1472946.0,1449.85622,1.0,0.49,-0.74,-9.89,8.38,-4.25,36.06,0.12,-2.31,-0.31,0.0657899220497762,-0.012929312832045237,-0.12286683210348137,-123.86648635871313,-55.835035885969354,-0.12605074034902247,0.0455,-0.8824,-0.4682,-0.0011,0
1472946.0,1449.85622,1.0,0.49,-0.74,-9.89,8.38,-4.25,36.06,0.12,-2.31,-0.31,0.0657899220497762,-0.012929312832045237,-0.12286683210348137,-123.86648635871313,-55.835035885969354,-0.12605074034902247,0.0455,-0.8824,-0.4682,-0.0011,0
1472980.0,1449.922696,1.0,0.53,-0.74,-10.1,8.75,-4.25,36.06,-0.19,-0.56,-0.37,0.10290178893661907,-0.034510390088443255,-0.333701091299039,-123.86648635871313,-55.84800465854667,-0.08021409786913415,0.0454,-0.8824,-0.4683,-0.0007,0
1472980.0,1449.922696,1.0,0.53,-0.74,-10.1,8.75,-4.25,36.06,-0.19,-0.56,-0.37,0.10290178893661907,-0.034510390088443255,-0.333701091299039,-123.86648635871313,-55.84800465854667,-0.08021409786913415,0.0454,-0.8824,-0.4683,-0.0007,0
1473015.0,1449.948259,1.0,0.3,-0.85,-9.67,8.38,-4.69,36.5,0.88,-2.06,0.06,-0.12460219963719438,0.05407669464058379,0.09567939954288818,-123.86648635871313,-55.84800465854667,-0.011459155921715059,0.0454,-0.8824,-0.4683,-0.0001,0
1473015.0,1449.948259,1.0,0.3,-0.85,-9.67,8.38,-4.69,36.5,0.88,-2.06,0.06,-0.12460219963719438,0.05407669464058379,0.09567939954288818,-123.86648635871313,-55.84800465854667,-0.011459155921715059,0.0454,-0.8824,-0.4683,-0.0001,0
1473052.0,1449.987758,1.0,0.33,-0.95,-9.68,9.19,-3.56,35.19,-0.37,-0.37,0.0,-0.1847273423226606,-0.024026134353596296,0.07633147726568978,-123.86648635871313,-55.84800465854667,0.011459155921715059,0.0456,-0.8824,-0.4683,0.0001,0
1473052.0,1449.987758,1.0,0.33,-0.95,-9.68,9.19,-3.56,35.19,-0.37,-0.37,0.0,-0.1847273423226606,-0.024026134353596296,0.07633147726568978,-123.86648635871313,-55.84800465854667,0.011459155921715059,0.0456,-0.8824,-0.4683,0.0001,0
1473087.0,1449.995298,1.0,0.39,-0.88,-9.81,9.19,-3.56,35.19,-0.25,3.19,-0.31,-0.09631446712400081,-0.019545671837829903,-0.04996917140634238,-123.86648635871313,-55.84800465854667,-0.04583662483277591,0.0456,-0.8824,-0.4683,-0.0004,0
1473087.0,1449.995298,1.0,0.39,-0.88,-9.81,9.19,-3.56,35.19,-0.25,3.19,-0.31,-0.09631446712400081,-0.019545671837829903,-0.04996917140634238,-123.86648635871313,-55.84800465854667,-0.04583662483277591,0.0456,-0.8824,-0.4683,-0.0004,0
1473124.0,1450.053988,1.0,0.63,-0.69,-9.91,9.56,-4.25,35.56,0.19,-0.94,-0.25,0.19169898738760985,-0.10194437102818438,-0.14493072084280634,-123.86648635871313,-55.84800465854667,-0.09167325699941424,0.0455,-0.8824,-0.4683,-0.0008,0
1473124.0,1450.053988,1.0,0.63,-0.69,-9.91,9.56,-4.25,35.56,0.19,-0.94,-0.25,0.19169898738760985,-0.10194437102818438,-0.14493072084280634,-123.86648635871313,-55.84800465854667,-0.09167325699941424,0.0455,-0.8824,-0.4683,-0.0008,0
1473159.0,1450.070414,1.0,0.47,-0.72,-9.87,9.19,-4.69,36.5,-0.19,0.25,-0.25,0.07532519500274017,0.005891345632483724,-0.10044298467741442,-123.86648635871313,-55.84800465854667,-0.08021409786913415,0.0453,-0.8824,-0.4683,-0.0007,0
1473159.0,1450.070414,1.0,0.47,-0.72,-9.87,9.19,-4.69,36.5,-0.19,0.25,-0.25,0.07532519500274017,0.005891345632483724,-0.10044298467741442,-123.86648635871313,-55.84800465854667,-0.08021409786913415,0.0453,-0.8824,-0.4683,-0.0007,0
1473193.0,1450.108861,1.0,0.39,-0.82,-9.74,9.19,-4.69,36.5,1.31,-0.94,0.25,-0.052308384111821773,0.007418593794242034,0.02455877176982746,-123.86648635871313,-55.84800465854667,-0.057295781900406746,0.0455,-0.8824,-0.4683,-0.0005,0
1473193.0,1450.108861,1.0,0.39,-0.82,-9.74,9.19,-4.69,36.5,1.31,-0.94,0.25,-0.052308384111821773,0.007418593794242034,0.02455877176982746,-123.86648635871313,-55.84800465854667,-0.057295781900406746,0.0455,-0.8824,-0.4683,-0.0005,0
1473228.0,1450.160492,1.0,0.43,-0.89,-9.84,8.75,-3.19,36.88,0.94,-0.37,0.37,-0.07809240426710855,-0.054942374842036346,-0.08240874751699856,-123.86648635871313,-55.835035885969354,-0.03437746822351143,0.0457,-0.8824,-0.4682,-0.0003,0
1473228.0,1450.160492,1.0,0.43,-0.89,-9.84,8.75,-3.19,36.88,0.94,-0.37,0.37,-0.07809240426710855,-0.054942374842036346,-0.08240874751699856,-123.86648635871313,-55.835035885969354,-0.03437746822351143,0.0457,-0.8824,-0.4682,-0.0003,0
1473265.0,1450.166979,1.0,0.43,-0.78,-9.72,8.38,-5.06,36.5,-2.25,0.63,0.94,0.0034537944656727413,-0.007772208468047437,0.04593139612255115,-123.91521633901593,-55.80910067345633,-0.04583662483277591,0.0454,-0.8826,-0.468,-0.0004,0
1473265.0,1450.166979,1.0,0.43,-0.78,-9.72,8.38,-5.06,36.5,-2.25,0.63,0.94,0.0034537944656727413,-0.007772208468047437,0.04593139612255115,-123.91521633901593,-55.80910067345633,-0.04583662483277591,0.0454,-0.8826,-0.468,-0.0004,0
1473300.0,1450.218465,1.0,0.43,-0.97,-9.76,8.38,-5.06,36.5,2.06,-1.5,1.88,-0.14710269271565438,-0.11093030139436566,-0.009125836174556312,-123.96398525409832,-55.7702036817039,-0.022918311958021676,0.0455,-0.8828,-0.4677,-0.0002,0
1473300.0,1450.218465,1.0,0.43,-0.97,-9.76,8.38,-5.06,36.5,2.06,-1.5,1.88,-0.14710269271565438,-0.11093030139436566,-0.009125836174556312,-123.96398525409832,-55.7702036817039,-0.022918311958021676,0.0455,-0.8828,-0.4677,-0.0002,0
1473333.0,1450.286298,1.0,0.3,-1.09,-9.78,8.38,-4.69,34.88,-0.75,0.81,1.81,-0.31008382909140103,-0.07144695518670263,-0.03333187760173395,-124.0127932062898,-55.70539088046684,0.022918311958021676,0.0456,-0.883,-0.4672,0.0002,0
1473333.0,1450.286298,1.0,0.3,-1.09,-9.78,8.38,-4.69,34.88,-0.75,0.81,1.81,-0.31008382909140103,-0.07144695518670263,-0.03333187760173395,-124.0127932062898,-55.70539088046684,0.022918311958021676,0.0456,-0.883,-0.4672,0.0002,0
1473368.0,1450.290717,1.0,0.52,-1.16,-9.75,8.38,-4.25,36.5,-2.81,1.25,3.13,-0.24572079142685122,-0.2898631834240891,-0.018526875128296538,-124.08607855408229,-55.614685483247094,0.0,0.0458,-0.8833,-0.4665,0.0,0
1473368.0,1450.290717,1.0,0.52,-1.16,-9.75,8.38,-4.25,36.5,-2.81,1.25,3.13,-0.24572079142685122,-0.2898631834240891,-0.018526875128296538,-124.08607855408229,-55.614685483247094,0.0,0.0458,-0.8833,-0.4665,0.0,0
1473402.0,1450.307753,1.0,0.28,-1.4,-9.69,7.69,-3.88,36.5,-5.81,-4.75,4.75,-0.5696305200354543,-0.2568974524829487,0.03198761352588342,-124.2819393463901,-55.43338813739566,0.1145915781247664,0.045,-0.8841,-0.4651,0.001,0
1473402.0,1450.307753,1.0,0.28,-1.4,-9.69,7.69,-3.88,36.5,-5.81,-4.75,4.75,-0.5696305200354543,-0.2568974524829487,0.03198761352588342,-124.2819393463901,-55.43338813739566,0.1145915781247664,0.045,-0.8841,-0.4651,0.001,0
