TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
864262.0,820.31718,1.0,7.82,0.34,5.48,-29.69,-4.56,-36.69,-2.38,-0.5,1.0,-0.0639521211205003,-0.023365499573551496,0.25187296546728,-44.617815884427785,30.068926510537253,-91.17172192038394,-0.5276,-0.3796,0.2594,-0.7143,0
864262.0,820.31718,1.0,7.82,0.34,5.48,-29.69,-4.56,-36.69,-2.38,-0.5,1.0,-0.0639521211205003,-0.023365499573551496,0.25187296546728,-44.617815884427785,30.068926510537253,-91.17172192038394,-0.5276,-0.3796,0.2594,-0.7143,0
864296.0,820.3673,1.0,7.83,0.26,5.55,-29.25,-5.75,-34.56,1.88,-0.5,0.5,0.028340587602283973,0.001726701472944292,0.2057024514714474,-44.617815884427785,30.080791981197944,-91.17172192038394,-0.5276,-0.3796,0.2595,-0.7143,0
864296.0,820.3673,1.0,7.83,0.26,5.55,-29.25,-5.75,-34.56,1.88,-0.5,0.5,0.028340587602283973,0.001726701472944292,0.2057024514714474,-44.617815884427785,30.080791981197944,-91.17172192038394,-0.5276,-0.3796,0.2595,-0.7143,0
864331.0,820.401264,1.0,7.78,0.36,5.58,-29.25,-5.75,-34.56,-1.25,0.12,1.5,-0.0557197974524708,0.08439843626681043,0.22624436098201706,-44.60542990052726,30.09265778200395,-91.2044746461752,-0.5274,-0.3795,0.2596,-0.7145,0
864331.0,820.401264,1.0,7.78,0.36,5.58,-29.25,-5.75,-34.56,-1.25,0.12,1.5,-0.0557197974524708,0.08439843626681043,0.22624436098201706,-44.60542990052726,30.09265778200395,-91.2044746461752,-0.5274,-0.3795,0.2596,-0.7145,0
864366.0,820.454201,1.0,7.8,0.2,5.52,-30.0,-5.0,-36.25,0.63,0.44,0.31,0.07557198578943902,-0.02460541601574806,0.24924012867677803,-44.593044465749166,30.080791981197944,-91.2208545945492,-0.5273,-0.3794,0.2595,-0.7146,0
864366.0,820.454201,1.0,7.8,0.2,5.52,-30.0,-5.0,-36.25,0.63,0.44,0.31,0.07557198578943902,-0.02460541601574806,0.24924012867677803,-44.593044465749166,30.080791981197944,-91.2208545945492,-0.5273,-0.3794,0.2595,-0.7146,0
864401.0,820.480935,1.0,7.88,0.46,5.56,-28.5,-5.38,-35.0,-1.06,2.06,1.19,-0.18029009038491162,0.03702012983286895,0.1533746494624335,-44.54350821350816,30.080791981197944,-91.25362166916472,-0.5273,-0.379,0.2595,-0.7148,0
864401.0,820.480935,1.0,7.88,0.46,5.56,-28.5,-5.38,-35.0,-1.06,2.06,1.19,-0.18029009038491162,0.03702012983286895,0.1533746494624335,-44.54350821350816,30.080791981197944,-91.25362166916472,-0.5273,-0.379,0.2595,-0.7148,0
864436.0,820.517601,1.0,7.87,0.35,5.47,-28.5,-5.38,-35.0,2.25,-0.69,0.12,-0.0941586071491296,-0.06057919217036023,0.21666750167521087,-44.58065957987578,30.045196559032803,-91.28639832349862,-0.527,-0.3793,0.2592,-0.715,0
864436.0,820.517601,1.0,7.87,0.35,5.47,-28.5,-5.38,-35.0,2.25,-0.69,0.12,-0.0941586071491296,-0.06057919217036023,0.21666750167521087,-44.58065957987578,30.045196559032803,-91.28639832349862,-0.527,-0.3793,0.2592,-0.715,0
864468.0,820.568227,1.0,7.78,0.2,5.57,-28.87,-4.56,-35.5,1.81,0.12,0.63,0.0970850413048483,0.022589731407119285,0.23673024073400306,-44.64258950046725,30.009604103998097,-91.30279024652515,-0.5267,-0.3798,0.2589,-0.7151,0
864468.0,820.568227,1.0,7.78,0.2,5.57,-28.87,-4.56,-35.5,1.81,0.12,0.63,0.0970850413048483,0.022589731407119285,0.23673024073400306,-44.64258950046725,30.009604103998097,-91.30279024652515,-0.5267,-0.3798,0.2589,-0.7151,0
864505.0,820.615157,1.0,8.0,0.39,5.38,-29.25,-4.56,-34.19,0.31,2.81,1.44,-0.1769201643618874,-0.19858225197025914,0.161663512469568,-44.58065957987578,29.96215210560615,-91.38478587581723,-0.5265,-0.3793,0.2585,-0.7156,0
864505.0,820.615157,1.0,8.0,0.39,5.38,-29.25,-4.56,-34.19,0.31,2.81,1.44,-0.1769201643618874,-0.19858225197025914,0.161663512469568,-44.58065957987578,29.96215210560615,-91.38478587581723,-0.5265,-0.3793,0.2585,-0.7156,0
864540.0,820.623814,1.0,7.85,0.21,5.67,-27.37,-5.0,-35.88,2.31,-0.25,1.0,0.10065000962121706,0.053235227582401956,0.12147908844105793,-44.6302024176685,29.926566557645558,-91.4340121148478,-0.5261,-0.3797,0.2582,-0.7159,0
864540.0,820.623814,1.0,7.85,0.21,5.67,-27.37,-5.0,-35.88,2.31,-0.25,1.0,0.10065000962121706,0.053235227582401956,0.12147908844105793,-44.6302024176685,29.926566557645558,-91.4340121148478,-0.5261,-0.3797,0.2582,-0.7159,0
864573.0,820.698605,1.0,8.0,0.43,5.39,-27.37,-5.0,-35.88,-1.31,2.44,1.0,-0.21669333245495626,-0.18394295086264156,0.1549035782119983,-44.56827524268951,29.9147053648035,-91.48326004604112,-0.526,-0.3792,0.2581,-0.7162,0
864573.0,820.698605,1.0,8.0,0.43,5.39,-27.37,-5.0,-35.88,-1.31,2.44,1.0,-0.21669333245495626,-0.18394295086264156,0.1549035782119983,-44.56827524268951,29.9147053648035,-91.48326004604112,-0.526,-0.3792,0.2581,-0.7162,0
864610.0,820.72119,1.0,7.94,0.19,5.45,-28.19,-5.0,-35.88,2.75,-1.12,-0.25,0.047600762654308015,-0.17688231070302574,0.17604011196304903,-44.64258950046725,29.867263871711454,-91.48326004604112,-0.5257,-0.3798,0.2577,-0.7162,0
864610.0,820.72119,1.0,7.94,0.19,5.45,-28.19,-5.0,-35.88,2.75,-1.12,-0.25,0.047600762654308015,-0.17688231070302574,0.17604011196304903,-44.64258950046725,29.867263871711454,-91.48326004604112,-0.5257,-0.3798,0.2577,-0.7162,0
864645.0,820.725425,1.0,7.85,0.24,5.62,-29.25,-5.38,-35.88,1.0,-2.06,-0.88,0.07014850591556865,0.02744226315745113,0.1495890542820657,-44.71692355018706,29.867263871711454,-91.45042567980681,-0.5256,-0.3804,0.2577,-0.716,0
864645.0,820.725425,1.0,7.85,0.24,5.62,-29.25,-5.38,-35.88,1.0,-2.06,-0.88,0.07014850591556865,0.02744226315745113,0.1495890542820657,-44.71692355018706,29.867263871711454,-91.45042567980681,-0.5256,-0.3804,0.2577,-0.716,0
864679.0,820.778378,1.0,7.89,0.15,5.69,-29.25,-5.38,-35.88,2.75,-0.44,-0.63,0.1796873851318901,0.03135658465559432,0.07950092083897253,-44.77888374446125,29.8198276164604,-91.4340121148478,-0.5255,-0.3809,0.2573,-0.7159,0
864679.0,820.778378,1.0,7.89,0.15,5.69,-29.25,-5.38,-35.88,2.75,-0.44,-0.63,0.1796873851318901,0.03135658465559432,0.07950092083897253,-44.77888374446125,29.8198276164604,-91.4340121148478,-0.5255,-0.3809,0.2573,-0.7159,0
864712.0,820.801967,1.0,7.95,0.48,5.6,-28.87,-5.38,-35.5,-2.56,1.81,-1.69,-0.16973344142592595,0.022166398160172074,0.07199031361885133,-44.71692355018706,29.80796936990455,-91.41760096012828,-0.5261,-0.3804,0.2572,-0.7158,0
864712.0,820.801967,1.0,7.95,0.48,5.6,-28.87,-5.38,-35.5,-2.56,1.81,-1.69,-0.16973344142592595,0.022166398160172074,0.07199031361885133,-44.71692355018706,29.80796936990455,-91.41760096012828,-0.5261,-0.3804,0.2572,-0.7158,0
864749.0,820.858646,1.0,7.91,0.45,5.57,-28.19,-5.75,-35.88,0.25,6.44,-4.06,-0.13773696399506474,-0.016519949739132622,0.12283589500964887,-44.6302024176685,29.68940484166728,-91.41760096012828,-0.5271,-0.3797,0.2562,-0.7158,0
864749.0,820.858646,1.0,7.91,0.45,5.57,-28.19,-5.75,-35.88,0.25,6.44,-4.06,-0.13773696399506474,-0.016519949739132622,0.12283589500964887,-44.6302024176685,29.68940484166728,-91.41760096012828,-0.5271,-0.3797,0.2562,-0.7158,0
864782.0,820.913607,1.0,8.33,0.38,5.16,-28.19,-5.75,-35.88,0.88,4.63,-5.5,-0.23077805554412434,-0.6440574261854362,0.024480939875621388,-44.506361779453115,29.41682953361233,-91.4340121148478,-0.5288,-0.3787,0.2539,-0.7159,0
864782.0,820.913607,1.0,8.33,0.38,5.16,-28.19,-5.75,-35.88,0.88,4.63,-5.5,-0.23077805554412434,-0.6440574261854362,0.024480939875621388,-44.506361779453115,29.41682953361233,-91.4340121148478,-0.5288,-0.3787,0.2539,-0.7159,0
864817.0,820.93939,1.0,7.98,0.83,5.35,-28.5,-5.75,-34.19,-1.37,-8.06,-6.0,-0.5270447316808833,-0.14332815290578993,0.17890463094333242,-44.617815884427785,29.523469077350697,-91.12261073839296,-0.5303,-0.3796,0.2548,-0.714,0
