TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1765122.0,553.770751,1.0,6.24,1.25,7.66,-5.19,-11.25,-42.06,1.56,-7.38,-10.06,-0.17697619612870896,-0.699913348143717,-0.12584720518934134,-32.23403459047365,14.84673166768115,-97.63220528770944,-0.5829,-0.2776,0.1292,-0.7526,0
1765122.0,553.770751,1.0,6.24,1.25,7.66,-5.19,-11.25,-42.06,1.56,-7.38,-10.06,-0.17697619612870896,-0.699913348143717,-0.12584720518934134,-32.23403459047365,14.84673166768115,-97.63220528770944,-0.5829,-0.2776,0.1292,-0.7526,0
1765158.0,553.773662,1.0,6.01,1.23,8.25,-4.75,-11.25,-41.25,5.0,-17.31,-10.63,0.10932869207856588,-0.15452081174557808,-0.47243899445013504,-32.71144187962135,14.93918463283386,-97.18075578145829,-0.5842,-0.2816,0.13,-0.75,0
1765158.0,553.773662,1.0,6.01,1.23,8.25,-4.75,-11.25,-41.25,5.0,-17.31,-10.63,0.10932869207856588,-0.15452081174557808,-0.47243899445013504,-32.71144187962135,14.93918463283386,-97.18075578145829,-0.5842,-0.2816,0.13,-0.75,0
1765195.0,553.804403,1.0,7.57,1.7,7.68,-4.75,-11.56,-41.25,20.5,-26.69,-18.94,-0.5769878275001066,-1.5029773000191087,-0.9908239769329388,-33.524381159227765,14.881400387429185,-96.40412626430498,-0.5868,-0.2884,0.1295,-0.7455,0
1765195.0,553.804403,1.0,7.57,1.7,7.68,-4.75,-11.56,-41.25,20.5,-26.69,-18.94,-0.5769878275001066,-1.5029773000191087,-0.9908239769329388,-33.524381159227765,14.881400387429185,-96.40412626430498,-0.5868,-0.2884,0.1295,-0.7455,0
1765228.0,553.862636,1.0,8.81,1.21,6.85,-4.75,-11.56,-41.25,30.5,-58.63,-27.19,-0.12258573838003572,-2.776881817060353,-1.0688545910902665,-35.973855599658116,15.020088998588148,-94.80049313653744,-0.5879,-0.3088,0.1307,-0.7361,0
1765228.0,553.862636,1.0,8.81,1.21,6.85,-4.75,-11.56,-41.25,30.5,-58.63,-27.19,-0.12258573838003572,-2.776881817060353,-1.0688545910902665,-35.973855599658116,15.020088998588148,-94.80049313653744,-0.5879,-0.3088,0.1307,-0.7361,0
1765265.0,553.909666,1.0,8.94,1.76,7.12,-6.25,-12.38,-41.69,18.56,-152.5,-49.81,-0.08435148045050311,-1.9940509027362547,-1.5833564014487074,-39.46144077446525,16.165134277085013,-92.3072874649493,-0.5884,-0.3376,0.1406,-0.7212,0
1765265.0,553.909666,1.0,8.94,1.76,7.12,-6.25,-12.38,-41.69,18.56,-152.5,-49.81,-0.08435148045050311,-1.9940509027362547,-1.5833564014487074,-39.46144077446525,16.165134277085013,-92.3072874649493,-0.5884,-0.3376,0.1406,-0.7212,0
1765302.0,553.920968,1.0,10.45,4.47,7.44,-8.5,-13.5,-40.0,-1.06,-186.44,-89.87,-1.6491963541041055,-1.0527852712252723,-3.6361471255353255,-45.37440798509372,19.05256341690962,-86.18842251678954,-0.5975,-0.3857,0.1655,-0.6832,0
1765302.0,553.920968,1.0,10.45,4.47,7.44,-8.5,-13.5,-40.0,-1.06,-186.44,-89.87,-1.6491963541041055,-1.0527852712252723,-3.6361471255353255,-45.37440798509372,19.05256341690962,-86.18842251678954,-0.5975,-0.3857,0.1655,-0.6832,0
1765337.0,553.97339,1.0,11.31,5.53,6.17,-8.5,-13.5,-40.0,87.37,-254.0,-119.37,-1.7712895698237308,-1.098782958973719,-4.057732758309246,-52.16948305371096,20.471639758994087,-80.36134487578603,-0.5991,-0.4397,0.1777,-0.6452,0
1765337.0,553.97339,1.0,11.31,5.53,6.17,-8.5,-13.5,-40.0,87.37,-254.0,-119.37,-1.7712895698237308,-1.098782958973719,-4.057732758309246,-52.16948305371096,20.471639758994087,-80.36134487578603,-0.5991,-0.4397,0.1777,-0.6452,0
1765371.0,553.991791,1.0,11.51,5.31,5.99,-15.69,-14.25,-38.0,126.37,-337.88,-146.06,0.7760099328091852,1.0385622210658942,-4.153131412943262,-65.20397390849296,22.407668898888776,-69.62601872527647,-0.5883,-0.5388,0.1943,-0.5709,0
1765371.0,553.991791,1.0,11.51,5.31,5.99,-15.69,-14.25,-38.0,126.37,-337.88,-146.06,0.7760099328091852,1.0385622210658942,-4.153131412943262,-65.20397390849296,22.407668898888776,-69.62601872527647,-0.5883,-0.5388,0.1943,-0.5709,0
1765408.0,554.036356,1.0,9.46,6.89,5.16,-23.56,-19.37,-32.69,126.87,-322.44,-157.25,0.09987882621352018,3.3423348001004323,-2.5387184555833233,-75.36712180089249,23.60046219314315,-60.67598162091822,-0.5739,-0.6113,0.2045,-0.5051,0
