TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
510115.0,337.161423,1.0,4.99,1.2,-7.86,-11.19,-20.25,35.0,1.31,19.62,-2.81,-0.07246846677126084,0.7198847205714527,0.44736507483549026,-134.3222466489682,-28.292756752714663,-34.699045966979874,0.0441,-0.9216,-0.2444,-0.2982,0
510115.0,337.161423,1.0,4.99,1.2,-7.86,-11.19,-20.25,35.0,1.31,19.62,-2.81,-0.07246846677126084,0.7198847205714527,0.44736507483549026,-134.3222466489682,-28.292756752714663,-34.699045966979874,0.0441,-0.9216,-0.2444,-0.2982,0
510150.0,337.225582,1.0,5.02,1.06,-7.95,-12.38,-22.19,35.0,9.19,33.56,-6.19,-0.3243353978595596,0.7162291988161241,0.37752902906858665,-133.27085000109963,-28.43458925193111,-35.80522414858304,0.0482,-0.918,-0.2456,-0.3074,0
510150.0,337.225582,1.0,5.02,1.06,-7.95,-12.38,-22.19,35.0,9.19,33.56,-6.19,-0.3243353978595596,0.7162291988161241,0.37752902906858665,-133.27085000109963,-28.43458925193111,-35.80522414858304,0.0482,-0.918,-0.2456,-0.3074,0
510185.0,337.248526,1.0,4.96,1.45,-7.46,-12.69,-21.06,35.0,7.13,52.81,-11.88,-0.08039332392656262,1.0382254676801446,0.7915890023290242,-132.09998463629478,-28.753875441458412,-36.97527104810168,0.0507,-0.9139,-0.2483,-0.3171,0
510185.0,337.248526,1.0,4.96,1.45,-7.46,-12.69,-21.06,35.0,7.13,52.81,-11.88,-0.08039332392656262,1.0382254676801446,0.7915890023290242,-132.09998463629478,-28.753875441458412,-36.97527104810168,0.0507,-0.9139,-0.2483,-0.3171,0
510220.0,337.302717,1.0,5.22,1.92,-7.67,-12.69,-21.06,35.0,9.13,71.25,-22.0,-0.15007383043612527,1.564287667614705,0.463514448250427,-129.51205087236005,-29.476070502113327,-39.46144077446525,0.0569,-0.9045,-0.2544,-0.3376,0
510220.0,337.302717,1.0,5.22,1.92,-7.67,-12.69,-21.06,35.0,9.13,71.25,-22.0,-0.15007383043612527,1.564287667614705,0.463514448250427,-129.51205087236005,-29.476070502113327,-39.46144077446525,0.0569,-0.9045,-0.2544,-0.3376,0
510257.0,337.322415,1.0,4.95,3.19,-7.27,-13.88,-20.69,35.0,3.94,71.56,-55.88,0.27168388152268197,2.7100933870435417,0.8560588629843195,-127.04255474483057,-30.650725683430657,-41.501098206620334,0.0586,-0.8951,-0.2643,-0.3543,0
510257.0,337.322415,1.0,4.95,3.19,-7.27,-13.88,-20.69,35.0,3.94,71.56,-55.88,0.27168388152268197,2.7100933870435417,0.8560588629843195,-127.04255474483057,-30.650725683430657,-41.501098206620334,0.0586,-0.8951,-0.2643,-0.3543,0
510291.0,337.369696,1.0,4.87,4.04,-5.79,-15.69,-21.5,34.19,25.06,105.5,-89.69,1.191437476999782,3.0310176547180414,1.872167741201511,-121.97171183603345,-33.69196539056284,-45.126116715421844,0.0637,-0.8745,-0.2898,-0.3837,0
510291.0,337.369696,1.0,4.87,4.04,-5.79,-15.69,-21.5,34.19,25.06,105.5,-89.69,1.191437476999782,3.0310176547180414,1.872167741201511,-121.97171183603345,-33.69196539056284,-45.126116715421844,0.0637,-0.8745,-0.2898,-0.3837,0
510326.0,337.375084,1.0,6.91,2.96,-6.94,-15.69,-21.5,34.19,76.75,164.63,-114.87,0.38018218569027407,1.8169918204722784,-0.25452797427421814,-116.09778802155995,-37.10820677500307,-49.07642066173354,0.0794,-0.8485,-0.3182,-0.4153,0
510326.0,337.375084,1.0,6.91,2.96,-6.94,-15.69,-21.5,34.19,76.75,164.63,-114.87,0.38018218569027407,1.8169918204722784,-0.25452797427421814,-116.09778802155995,-37.10820677500307,-49.07642066173354,0.0794,-0.8485,-0.3182,-0.4153,0
510361.0,337.452978,1.0,7.67,2.7,-7.0,-17.56,-21.06,33.0,84.0,160.25,-110.87,-0.25820611370117974,1.7143913696492037,-0.7816969830998506,-108.07470230594727,-41.80760523510253,-54.05267163514366,0.105,-0.8094,-0.3568,-0.4544,0
510361.0,337.452978,1.0,7.67,2.7,-7.0,-17.56,-21.06,33.0,84.0,160.25,-110.87,-0.25820611370117974,1.7143913696492037,-0.7816969830998506,-108.07470230594727,-41.80760523510253,-54.05267163514366,0.105,-0.8094,-0.3568,-0.4544,0
510398.0,337.473976,1.0,7.12,3.04,-5.51,-19.5,-21.75,31.69,85.06,191.69,-103.25,0.23142034910232234,1.8402960772596595,0.487001134831095,-101.64633756490149,-45.026862840013614,-58.16913315906611,0.1271,-0.7752,-0.3829,-0.4861,0
510398.0,337.473976,1.0,7.12,3.04,-5.51,-19.5,-21.75,31.69,85.06,191.69,-103.25,0.23142034910232234,1.8402960772596595,0.487001134831095,-101.64633756490149,-45.026862840013614,-58.16913315906611,0.1271,-0.7752,-0.3829,-0.4861,0
510435.0,337.526288,1.0,7.18,4.2,-4.37,-22.06,-21.75,30.5,103.5,200.0,-98.44,1.169538739540639,2.383161395850436,0.7932144231490792,-92.73822662555116,-48.887538949850274,-63.82182237007654,0.1599,-0.7238,-0.4138,-0.5286,0
510435.0,337.526288,1.0,7.18,4.2,-4.37,-22.06,-21.75,30.5,103.5,200.0,-98.44,1.169538739540639,2.383161395850436,0.7932144231490792,-92.73822662555116,-48.887538949850274,-63.82182237007654,0.1599,-0.7238,-0.4138,-0.5286,0
510470.0,337.544998,1.0,8.24,3.18,-1.64,-22.06,-21.75,30.5,170.38,216.63,-99.94,1.4034851447901442,-0.10747181500954639,0.934317766740703,-82.64551302019812,-53.82124003233572,-68.34689157105544,0.2087,-0.6603,-0.4526,-0.5617,0
510470.0,337.544998,1.0,8.24,3.18,-1.64,-22.06,-21.75,30.5,170.38,216.63,-99.94,1.4034851447901442,-0.10747181500954639,0.934317766740703,-82.64551302019812,-53.82124003233572,-68.34689157105544,0.2087,-0.6603,-0.4526,-0.5617,0
510507.0,337.600222,1.0,8.21,1.07,4.95,-25.37,-21.06,27.56,164.88,314.13,-88.06,2.0049170406760157,-6.080540047891476,2.591468755845778,-73.7541199081015,-56.95322537205693,-72.20051661196997,0.2558,-0.6001,-0.4768,-0.5892,0
510507.0,337.600222,1.0,8.21,1.07,4.95,-25.37,-21.06,27.56,164.88,314.13,-88.06,2.0049170406760157,-6.080540047891476,2.591468755845778,-73.7541199081015,-56.95322537205693,-72.20051661196997,0.2558,-0.6001,-0.4768,-0.5892,0
510541.0,337.619544,1.0,11.55,0.86,4.42,-28.75,-18.0,26.0,133.5,583.31,-49.94,-1.6069741579251628,-3.4112736516743345,-2.002640670025581,-55.34279598100366,-55.097091918968275,-83.70265109878629,0.3539,-0.4644,-0.4625,-0.6672,0
510541.0,337.619544,1.0,11.55,0.86,4.42,-28.75,-18.0,26.0,133.5,583.31,-49.94,-1.6069741579251628,-3.4112736516743345,-2.002640670025581,-55.34279598100366,-55.097091918968275,-83.70265109878629,0.3539,-0.4644,-0.4625,-0.6672,0
510576.0,337.664804,1.0,14.18,-0.23,1.04,-28.75,-18.0,26.0,156.13,443.06,0.5,-5.483369482797943,3.189939043506638,-2.919851797973868,-41.48884440066444,-51.850732259425605,-89.93409723395683,0.429,-0.3542,-0.4372,-0.7067,0
510576.0,337.664804,1.0,14.18,-0.23,1.04,-28.75,-18.0,26.0,156.13,443.06,0.5,-5.483369482797943,3.189939043506638,-2.919851797973868,-41.48884440066444,-51.850732259425605,-89.93409723395683,0.429,-0.3542,-0.4372,-0.7067,0
510611.0,337.672777,1.0,7.55,0.65,6.81,-37.75,-17.69,14.0,40.13,96.12,-8.75,-2.098865801712922,-2.910368370344475,0.27115744348785853,-35.23968756061282,-50.63069251685698,-91.61469420099051,0.4598,-0.3027,-0.4276,-0.717,0
510611.0,337.672777,1.0,7.55,0.65,6.81,-37.75,-17.69,14.0,40.13,96.12,-8.75,-2.098865801712922,-2.910368370344475,0.27115744348785853,-35.23968756061282,-50.63069251685698,-91.61469420099051,0.4598,-0.3027,-0.4276,-0.717,0
510646.0,337.739359,1.0,6.26,2.79,6.56,-40.75,-16.5,3.25,-18.56,231.63,-2.25,0.1304717884467037,-1.918358108331696,0.5164304503543864,-31.292831778140112,-47.431566664841014,-94.42869817988996,0.4763,-0.2697,-0.4022,-0.7339,0
510646.0,337.739359,1.0,6.26,2.79,6.56,-40.75,-16.5,3.25,-18.56,231.63,-2.25,0.1304717884467037,-1.918358108331696,0.5164304503543864,-31.292831778140112,-47.431566664841014,-94.42869817988996,0.4763,-0.2697,-0.4022,-0.7339,0
510683.0,337.757765,1.0,7.13,2.54,7.68,-41.5,-17.25,-0.37,-3.19,159.5,-19.0,-0.8546290166677499,-1.2914747757281786,-0.8644606332718414,-25.8058643261674,-43.77680902972838,-97.47570497846188,0.4961,-0.2233,-0.3728,-0.7517,0
