TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
2627117.0,193.810629,1.0,7.05,4.01,5.42,-21.37,-29.25,-28.69,2.94,-4.06,-1.63,0.43238874375249947,0.28822766438178604,0.06555330672356341,-59.26038687771909,-1.2261530793833222,-100.31347946564678,-0.4073,-0.4944,-0.0107,-0.7678,0
2627117.0,193.810629,1.0,7.05,4.01,5.42,-21.37,-29.25,-28.69,2.94,-4.06,-1.63,0.43238874375249947,0.28822766438178604,0.06555330672356341,-59.26038687771909,-1.2261530793833222,-100.31347946564678,-0.4073,-0.4944,-0.0107,-0.7678,0
2627151.0,193.874239,1.0,7.4,4.14,4.99,-21.37,-29.25,-28.69,-0.56,1.0,0.44,-0.04650004207348322,-0.017562689865030734,-0.03190829367351711,-59.220841629210256,-1.2605325708995527,-100.38504889165011,-0.407,-0.4941,-0.011,-0.7682,0
2627151.0,193.874239,1.0,7.4,4.14,4.99,-21.37,-29.25,-28.69,-0.56,1.0,0.44,-0.04650004207348322,-0.017562689865030734,-0.03190829367351711,-59.220841629210256,-1.2605325708995527,-100.38504889165011,-0.407,-0.4941,-0.011,-0.7682,0
2627184.0,193.884307,1.0,7.38,3.86,4.9,-21.37,-28.5,-28.19,1.12,-1.31,-0.06,0.06640862347517383,-0.22341491093745947,0.14643904618025694,-59.26038687771909,-1.2605325708995527,-100.34925747843585,-0.4069,-0.4944,-0.011,-0.768,0
2627184.0,193.884307,1.0,7.38,3.86,4.9,-21.37,-28.5,-28.19,1.12,-1.31,-0.06,0.06640862347517383,-0.22341491093745947,0.14643904618025694,-59.26038687771909,-1.2605325708995527,-100.34925747843585,-0.4069,-0.4944,-0.011,-0.768,0
2627221.0,193.905904,1.0,7.34,4.09,5.01,-21.06,-29.25,-29.0,2.44,2.56,1.56,0.008777005406195686,-0.005459960540851405,0.023823560110196595,-59.20766160334654,-1.2719924264668117,-100.40294962921641,-0.4068,-0.494,-0.0111,-0.7683,0
2627221.0,193.905904,1.0,7.34,4.09,5.01,-21.06,-29.25,-29.0,2.44,2.56,1.56,0.008777005406195686,-0.005459960540851405,0.023823560110196595,-59.20766160334654,-1.2719924264668117,-100.40294962921641,-0.4068,-0.494,-0.0111,-0.7683,0
2627256.0,193.972322,1.0,7.41,4.16,4.95,-21.06,-28.19,-29.0,2.88,-0.56,0.63,-0.08760019929877078,-0.0233987787890646,-0.02737149185337273,-59.24720426605303,-1.2834522947560847,-100.40294962921641,-0.4066,-0.4943,-0.0112,-0.7683,0
2627256.0,193.972322,1.0,7.41,4.16,4.95,-21.06,-28.19,-29.0,2.88,-0.56,0.63,-0.08760019929877078,-0.0233987787890646,-0.02737149185337273,-59.24720426605303,-1.2834522947560847,-100.40294962921641,-0.4066,-0.4943,-0.0112,-0.7683,0
