TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
3031203.0,599.749962,1.0,6.85,3.06,6.23,-17.69,-25.19,-31.87,0.44,-0.37,-0.75,-0.1613991150986553,-0.013424254437756522,0.05612334165799204,-49.39154002007114,-0.06875493954099557,-112.73350926918677,-0.3636,-0.4178,-0.0006,-0.8326,0
3031203.0,599.749962,1.0,6.85,3.06,6.23,-17.69,-25.19,-31.87,0.44,-0.37,-0.75,-0.1613991150986553,-0.013424254437756522,0.05612334165799204,-49.39154002007114,-0.06875493954099557,-112.73350926918677,-0.3636,-0.4178,-0.0006,-0.8326,0
3031238.0,599.792131,1.0,6.71,3.03,6.35,-17.69,-25.56,-30.69,-3.69,-1.69,-3.19,-0.003756283263462064,0.08554122215807647,0.08450164741620725,-49.404153067643875,-0.022918311958021676,-112.65079783642123,-0.3645,-0.4179,-0.0002,-0.8322,0
3031238.0,599.792131,1.0,6.71,3.03,6.35,-17.69,-25.56,-30.69,-3.69,-1.69,-3.19,-0.003756283263462064,0.08554122215807647,0.08450164741620725,-49.404153067643875,-0.022918311958021676,-112.65079783642123,-0.3645,-0.4179,-0.0002,-0.8322,0
3031275.0,599.795321,1.0,6.72,2.97,6.48,-18.06,-24.87,-32.25,1.44,0.94,0.69,0.1222595850547318,0.07011287399912325,0.011251244524965287,-49.404153067643875,-0.04583662483277591,-112.60947570576612,-0.3647,-0.4179,-0.0004,-0.832,0
3031275.0,599.795321,1.0,6.72,2.97,6.48,-18.06,-24.87,-32.25,1.44,0.94,0.69,0.1222595850547318,0.07011287399912325,0.011251244524965287,-49.404153067643875,-0.04583662483277591,-112.60947570576612,-0.3647,-0.4179,-0.0004,-0.832,0
3031308.0,599.80388,1.0,6.87,3.08,6.27,-18.06,-24.87,-32.25,1.0,1.25,-1.12,-0.15163737866743607,-0.008846020017520217,0.010062438337484991,-49.37892761089463,-0.057295781900406746,-112.63013397663045,-0.3649,-0.4177,-0.0005,-0.8321,0
3031308.0,599.80388,1.0,6.87,3.08,6.27,-18.06,-24.87,-32.25,1.0,1.25,-1.12,-0.15163737866743607,-0.008846020017520217,0.010062438337484991,-49.37892761089463,-0.057295781900406746,-112.63013397663045,-0.3649,-0.4177,-0.0005,-0.8321,0
3031343.0,599.824573,1.0,6.84,3.01,6.19,-17.37,-25.19,-32.25,-1.69,-2.44,-2.0,-0.14579104141207286,-0.06762843980231614,0.10428063131619147,-49.41676675386262,-0.04583662483277591,-112.54753437473772,-0.3655,-0.418,-0.0004,-0.8317,0
3031343.0,599.824573,1.0,6.84,3.01,6.19,-17.37,-25.19,-32.25,-1.69,-2.44,-2.0,-0.14579104141207286,-0.06762843980231614,0.10428063131619147,-49.41676675386262,-0.04583662483277591,-112.54753437473772,-0.3655,-0.418,-0.0004,-0.8317,0
3031377.0,599.827604,1.0,6.68,3.07,6.41,-17.0,-26.69,-32.25,0.0,-0.31,-0.5,0.03854782512123116,0.14126384152588756,0.05401145485459935,-49.45461164689416,-0.04583662483277591,-112.50626800349723,-0.3657,-0.4183,-0.0004,-0.8315,0
3031377.0,599.827604,1.0,6.68,3.07,6.41,-17.0,-26.69,-32.25,0.0,-0.31,-0.5,0.03854782512123116,0.14126384152588756,0.05401145485459935,-49.45461164689416,-0.04583662483277591,-112.50626800349723,-0.3657,-0.4183,-0.0004,-0.8315,0
3031414.0,599.830925,1.0,6.73,3.16,6.35,-18.06,-26.0,-33.06,3.5,0.5,-1.12,-0.07110618107543742,0.1470672881613868,0.03043830406349457,-49.45461164689416,-0.1145915781247664,-112.46502386355527,-0.3659,-0.4183,-0.001,-0.8313,0
3031414.0,599.830925,1.0,6.73,3.16,6.35,-18.06,-26.0,-33.06,3.5,0.5,-1.12,-0.07110618107543742,0.1470672881613868,0.03043830406349457,-49.45461164689416,-0.1145915781247664,-112.46502386355527,-0.3659,-0.4183,-0.001,-0.8313,0
3031447.0,599.871275,1.0,6.79,3.04,6.2,-18.06,-26.0,-33.06,-2.88,-1.5,-1.0,-0.12224282912369844,-0.021678603298976418,0.12314408897341345,-49.47984477339551,-0.10313241704642769,-112.4444101174335,-0.3661,-0.4185,-0.0009,-0.8312,0
3031447.0,599.871275,1.0,6.79,3.04,6.2,-18.06,-26.0,-33.06,-2.88,-1.5,-1.0,-0.12224282912369844,-0.021678603298976418,0.12314408897341345,-49.47984477339551,-0.10313241704642769,-112.4444101174335,-0.3661,-0.4185,-0.0009,-0.8312,0
3031484.0,599.879184,1.0,6.75,3.02,6.4,-17.0,-25.56,-31.06,-1.5,-0.75,0.19,0.047866873579636426,0.05210952082675813,0.0271871640231236,-49.50508046048373,-0.08021409786913415,-112.40319924717981,-0.3663,-0.4187,-0.0007,-0.831,0
3031484.0,599.879184,1.0,6.75,3.02,6.4,-17.0,-25.56,-31.06,-1.5,-0.75,0.19,0.047866873579636426,0.05210952082675813,0.0271871640231236,-49.50508046048373,-0.08021409786913415,-112.40319924717981,-0.3663,-0.4187,-0.0007,-0.831,0
3031519.0,599.898408,1.0,6.79,3.08,6.4,-17.69,-26.0,-31.87,0.19,0.75,-1.31,-0.007805821904824636,0.07098749519055247,-0.0191018717231497,-49.47984477339551,-0.057295781900406746,-112.38260211278737,-0.3666,-0.4185,-0.0005,-0.8309,0
3031519.0,599.898408,1.0,6.79,3.08,6.4,-17.69,-26.0,-31.87,0.19,0.75,-1.31,-0.007805821904824636,0.07098749519055247,-0.0191018717231497,-49.47984477339551,-0.057295781900406746,-112.38260211278737,-0.3666,-0.4185,-0.0005,-0.8309,0
3031554.0,599.902882,1.0,6.8,2.99,6.27,-17.69,-26.0,-31.87,-1.0,-0.25,-2.0,-0.044199289088995605,-0.04803892053946823,0.08611818919060354,-49.47984477339551,-0.08021409786913415,-112.34142441987676,-0.3671,-0.4185,-0.0007,-0.8307,0
3031554.0,599.902882,1.0,6.8,2.99,6.27,-17.69,-26.0,-31.87,-1.0,-0.25,-2.0,-0.044199289088995605,-0.04803892053946823,0.08611818919060354,-49.47984477339551,-0.08021409786913415,-112.34142441987676,-0.3671,-0.4185,-0.0007,-0.8307,0
3031588.0,599.906143,1.0,6.75,3.04,6.25,-17.37,-24.87,-32.75,-0.19,0.0,-2.0,-0.07128796397086949,0.004919147978454497,0.11843582874139358,-49.45461164689416,-0.09167325699941424,-112.32084385114358,-0.3677,-0.4183,-0.0008,-0.8306,0
3031588.0,599.906143,1.0,6.75,3.04,6.25,-17.37,-24.87,-32.75,-0.19,0.0,-2.0,-0.07128796397086949,0.004919147978454497,0.11843582874139358,-49.45461164689416,-0.09167325699941424,-112.32084385114358,-0.3677,-0.4183,-0.0008,-0.8306,0
3031625.0,599.949762,1.0,6.68,3.0,6.53,-17.37,-25.56,-34.0,1.19,2.0,1.75,0.17438520283000108,0.10500996344126645,-0.0026243212029726237,-49.45461164689416,-0.10313241704642769,-112.34142441987676,-0.3674,-0.4183,-0.0009,-0.8307,0
3031625.0,599.949762,1.0,6.68,3.0,6.53,-17.37,-25.56,-34.0,1.19,2.0,1.75,0.17438520283000108,0.10500996344126645,-0.0026243212029726237,-49.45461164689416,-0.10313241704642769,-112.34142441987676,-0.3674,-0.4183,-0.0009,-0.8307,0
3031658.0,599.969034,1.0,6.83,3.11,6.26,-17.37,-25.56,-34.0,-0.88,-1.63,-0.75,-0.13822285532906567,0.012671760480817085,0.034785599142246326,-49.45461164689416,-0.09167325699941424,-112.34142441987676,-0.3674,-0.4183,-0.0008,-0.8307,0
3031658.0,599.969034,1.0,6.83,3.11,6.26,-17.37,-25.56,-34.0,-0.88,-1.63,-0.75,-0.13822285532906567,0.012671760480817085,0.034785599142246326,-49.45461164689416,-0.09167325699941424,-112.34142441987676,-0.3674,-0.4183,-0.0008,-0.8307,0
