TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
661909.0,625.951889,1.0,1.4,2.54,-9.58,8.38,-18.37,33.25,-8.63,-1.94,2.06,0.2992678808671337,-0.6562989185421457,-0.17672169822909645,-128.76486449761617,-48.13341793224112,-10.327214181692755,-0.1119,-0.9017,-0.4078,-0.09,0
661909.0,625.951889,1.0,1.4,2.54,-9.58,8.38,-18.37,33.25,-8.63,-1.94,2.06,0.2992678808671337,-0.6562989185421457,-0.17672169822909645,-128.76486449761617,-48.13341793224112,-10.327214181692755,-0.1119,-0.9017,-0.4078,-0.09,0
661944.0,625.98544,1.0,1.24,2.66,-9.55,8.38,-18.37,33.25,2.0,-4.5,1.69,0.29321613617124603,-0.484482096476357,-0.1680681110887896,-128.8444329155711,-48.045582104940436,-10.22366575133618,-0.1133,-0.902,-0.4071,-0.0891,0
661944.0,625.98544,1.0,1.24,2.66,-9.55,8.38,-18.37,33.25,2.0,-4.5,1.69,0.29321613617124603,-0.484482096476357,-0.1680681110887896,-128.8444329155711,-48.045582104940436,-10.22366575133618,-0.1133,-0.902,-0.4071,-0.0891,0
661977.0,625.992395,1.0,0.8,2.13,-9.82,8.75,-19.5,33.25,-1.56,-5.31,1.81,-0.3896093858866447,-0.5172116462530703,-0.2526738659170942,-129.00391708769308,-47.982860599138895,-9.982085146289721,-0.1118,-0.9026,-0.4066,-0.087,0
661977.0,625.992395,1.0,0.8,2.13,-9.82,8.75,-19.5,33.25,-1.56,-5.31,1.81,-0.3896093858866447,-0.5172116462530703,-0.2526738659170942,-129.00391708769308,-47.982860599138895,-9.982085146289721,-0.1118,-0.9026,-0.4066,-0.087,0
662011.0,626.010304,1.0,0.57,2.54,-9.18,8.38,-18.37,34.56,1.12,-2.06,3.0,-0.09371643648761768,-0.024252693630611333,0.265186326308017,-128.8709813830911,-48.05812824174451,-9.947577287046574,-0.1132,-0.9021,-0.4072,-0.0867,0
662011.0,626.010304,1.0,0.57,2.54,-9.18,8.38,-18.37,34.56,1.12,-2.06,3.0,-0.09371643648761768,-0.024252693630611333,0.265186326308017,-128.8709813830911,-48.05812824174451,-9.947577287046574,-0.1132,-0.9021,-0.4072,-0.0867,0
662048.0,626.055249,1.0,0.6,2.17,-9.61,8.06,-18.0,33.25,8.38,4.31,3.81,-0.4150545988642585,-0.28344173505799763,-0.050752825429674076,-129.03054304377298,-48.02049166769566,-9.92457255015729,-0.1099,-0.9027,-0.4069,-0.0865,0
662048.0,626.055249,1.0,0.6,2.17,-9.61,8.06,-18.0,33.25,8.38,4.31,3.81,-0.4150545988642585,-0.28344173505799763,-0.050752825429674076,-129.03054304377298,-48.02049166769566,-9.92457255015729,-0.1099,-0.9027,-0.4069,-0.0865,0
662081.0,626.113028,1.0,0.6,2.78,-9.29,8.06,-18.0,33.25,-0.75,10.0,2.75,0.07799432733108191,0.17390999771024185,0.09293947324449903,-129.05718198573567,-47.982860599138895,-10.097117916179354,-0.1093,-0.9028,-0.4066,-0.088,0
662081.0,626.113028,1.0,0.6,2.78,-9.29,8.06,-18.0,33.25,-0.75,10.0,2.75,0.07799432733108191,0.17390999771024185,0.09293947324449903,-129.05718198573567,-47.982860599138895,-10.097117916179354,-0.1093,-0.9028,-0.4066,-0.088,0
662118.0,626.129447,1.0,1.05,2.53,-9.95,8.38,-19.06,33.0,25.62,24.62,13.19,0.009817348663050285,-0.2103153150932462,-0.5113716654115699,-129.43150224575868,-47.71959673028522,-10.637910557080563,-0.1011,-0.9042,-0.4045,-0.0927,0
662118.0,626.129447,1.0,1.05,2.53,-9.95,8.38,-19.06,33.0,25.62,24.62,13.19,0.009817348663050285,-0.2103153150932462,-0.5113716654115699,-129.43150224575868,-47.71959673028522,-10.637910557080563,-0.1011,-0.9042,-0.4045,-0.0927,0
662153.0,626.164323,1.0,1.07,2.62,-9.96,7.25,-19.06,33.75,21.0,37.38,6.38,0.058682028866309466,0.044841055306468425,-0.5473562632416424,-129.64656611878056,-47.60685129535254,-11.248026360967865,-0.0923,-0.905,-0.4036,-0.098,0
662153.0,626.164323,1.0,1.07,2.62,-9.96,7.25,-19.06,33.75,21.0,37.38,6.38,0.058682028866309466,0.044841055306468425,-0.5473562632416424,-129.64656611878056,-47.60685129535254,-11.248026360967865,-0.0923,-0.905,-0.4036,-0.098,0
662188.0,626.227183,1.0,2.48,2.67,-10.46,7.25,-19.06,33.75,24.62,11.63,15.0,0.8819351729585978,-0.7104217430522943,-1.2118976038222513,-129.97078188553854,-47.40653562717492,-11.950632395319573,-0.0797,-0.9062,-0.402,-0.1041,0
662188.0,626.227183,1.0,2.48,2.67,-10.46,7.25,-19.06,33.75,24.62,11.63,15.0,0.8819351729585978,-0.7104217430522943,-1.2118976038222513,-129.97078188553854,-47.40653562717492,-11.950632395319573,-0.0797,-0.9062,-0.402,-0.1041,0
662222.0,626.286761,1.0,2.46,2.14,-10.54,6.19,-18.0,34.06,42.63,-7.56,20.06,0.621928357045093,-0.9160957437878398,-1.1704522454433306,-130.6800872399157,-46.96887934330581,-11.512892133606984,-0.072,-0.9088,-0.3985,-0.1003,0
662222.0,626.286761,1.0,2.46,2.14,-10.54,6.19,-18.0,34.06,42.63,-7.56,20.06,0.621928357045093,-0.9160957437878398,-1.1704522454433306,-130.6800872399157,-46.96887934330581,-11.512892133606984,-0.072,-0.9088,-0.3985,-0.1003,0
