TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
3372845.0,3334.117813,1.0,7.16,2.03,-7.2,-15.88,-22.37,34.19,0.37,-9.75,2.94,0.23009471824138691,-0.11948406539574508,-0.5451266580792264,-117.45321573278473,-41.586888761097505,-44.18463175478608,0.0448,-0.8547,-0.355,-0.3761,0
3372845.0,3334.117813,1.0,7.16,2.03,-7.2,-15.88,-22.37,34.19,0.37,-9.75,2.94,0.23009471824138691,-0.11948406539574508,-0.5451266580792264,-117.45321573278473,-41.586888761097505,-44.18463175478608,0.0448,-0.8547,-0.355,-0.3761,0
3372877.0,3334.121045,1.0,7.57,1.68,-7.67,-14.69,-21.25,34.19,7.06,-23.25,-1.06,0.025285026083199214,-0.5111421551467183,-1.0880411091911135,-117.9183271731557,-41.67270371214475,-43.50525118058414,0.0444,-0.8568,-0.3557,-0.3706,0
3372877.0,3334.121045,1.0,7.57,1.68,-7.67,-14.69,-21.25,34.19,7.06,-23.25,-1.06,0.025285026083199214,-0.5111421551467183,-1.0880411091911135,-117.9183271731557,-41.67270371214475,-43.50525118058414,0.0444,-0.8568,-0.3557,-0.3706,0
3372912.0,3334.148664,1.0,6.62,1.78,-7.15,-14.69,-21.69,35.0,-14.88,-33.5,-9.19,0.03877311636444114,-0.20261736396960273,-0.0965183237873628,-118.47615510912564,-41.77080790377483,-42.76593619701881,0.0393,-0.8593,-0.3565,-0.3646,0
3372912.0,3334.148664,1.0,6.62,1.78,-7.15,-14.69,-21.69,35.0,-14.88,-33.5,-9.19,0.03877311636444114,-0.20261736396960273,-0.0965183237873628,-118.47615510912564,-41.77080790377483,-42.76593619701881,0.0393,-0.8593,-0.3565,-0.3646,0
3372949.0,3334.19339,1.0,6.91,2.19,-7.25,-14.0,-20.87,34.56,-4.94,-34.63,-11.38,0.46758100602222624,-0.28901190223552375,-0.4307588578689394,-119.08377982565197,-42.08986846540722,-41.78307317970489,0.0293,-0.862,-0.3591,-0.3566,0
3372949.0,3334.19339,1.0,6.91,2.19,-7.25,-14.0,-20.87,34.56,-4.94,-34.63,-11.38,0.46758100602222624,-0.28901190223552375,-0.4307588578689394,-119.08377982565197,-42.08986846540722,-41.78307317970489,0.0293,-0.862,-0.3591,-0.3566,0
3372984.0,3334.225556,1.0,6.68,1.91,-7.46,-14.0,-20.87,34.56,-10.19,-43.38,-8.44,0.21776832016001557,-0.5417721911655788,-0.37083298213336846,-119.99417813762395,-42.323244297018356,-40.400219905352074,0.0208,-0.866,-0.361,-0.3453,0
3372984.0,3334.225556,1.0,6.68,1.91,-7.46,-14.0,-20.87,34.56,-10.19,-43.38,-8.44,0.21776832016001557,-0.5417721911655788,-0.37083298213336846,-119.99417813762395,-42.323244297018356,-40.400219905352074,0.0208,-0.866,-0.361,-0.3453,0
3373021.0,3334.273668,1.0,5.91,3.18,-6.33,-12.5,-22.0,34.56,-41.88,-60.06,-19.12,1.3754041431181008,0.2759890346433349,0.6884542631313177,-120.75479321636242,-42.47073434166396,-39.2910517001401,0.0074,-0.8693,-0.3622,-0.3362,0
3373021.0,3334.273668,1.0,5.91,3.18,-6.33,-12.5,-22.0,34.56,-41.88,-60.06,-19.12,1.3754041431181008,0.2759890346433349,0.6884542631313177,-120.75479321636242,-42.47073434166396,-39.2910517001401,0.0074,-0.8693,-0.3622,-0.3362,0
3373058.0,3334.324637,1.0,7.15,6.31,-7.96,-10.56,-22.75,35.38,-61.25,-92.37,-23.06,3.1956222622361246,1.534388978323491,-2.0985525946768444,-122.27959441275605,-42.54450701803225,-37.035689974508436,-0.0216,-0.8758,-0.3628,-0.3176,0
3373058.0,3334.324637,1.0,7.15,6.31,-7.96,-10.56,-22.75,35.38,-61.25,-92.37,-23.06,3.1956222622361246,1.534388978323491,-2.0985525946768444,-122.27959441275605,-42.54450701803225,-37.035689974508436,-0.0216,-0.8758,-0.3628,-0.3176,0
3373092.0,3334.401916,1.0,6.03,4.12,-7.95,-10.56,-22.75,35.38,9.44,-108.25,-27.31,1.6715027545718644,0.2427465217663749,-0.8556646017939755,-123.74483108000663,-43.19697398702747,-34.05132504616154,-0.0314,-0.8819,-0.3681,-0.2928,0
3373092.0,3334.401916,1.0,6.03,4.12,-7.95,-10.56,-22.75,35.38,9.44,-108.25,-27.31,1.6715027545718644,0.2427465217663749,-0.8556646017939755,-123.74483108000663,-43.19697398702747,-34.05132504616154,-0.0314,-0.8819,-0.3681,-0.2928,0
3373127.0,3334.408026,1.0,4.61,2.7,-7.6,-7.19,-24.25,34.56,-12.19,-105.75,-27.19,0.5785333052490822,-0.4333676794044723,0.5449227491485082,-125.24598763170715,-43.93739653048951,-30.448786092848707,-0.0499,-0.888,-0.3741,-0.2626,0
3373127.0,3334.408026,1.0,4.61,2.7,-7.6,-7.19,-24.25,34.56,-12.19,-105.75,-27.19,0.5785333052490822,-0.4333676794044723,0.5449227491485082,-125.24598763170715,-43.93739653048951,-30.448786092848707,-0.0499,-0.888,-0.3741,-0.2626,0
3373162.0,3334.426591,1.0,4.74,2.02,-7.31,-3.5,-24.75,35.5,-5.5,-67.94,28.81,0.614760413472509,-1.1766849296362607,0.9623534078229827,-126.81171301116377,-43.28325839954606,-28.671075748006672,-0.0547,-0.8942,-0.3688,-0.2476,0
3373162.0,3334.426591,1.0,4.74,2.02,-7.31,-3.5,-24.75,35.5,-5.5,-67.94,28.81,0.614760413472509,-1.1766849296362607,0.9623534078229827,-126.81171301116377,-43.28325839954606,-28.671075748006672,-0.0547,-0.8942,-0.3688,-0.2476,0
3373199.0,3334.430228,1.0,5.44,-1.25,-6.92,-1.56,-25.06,34.25,-169.56,-126.12,92.81,-0.40349281859474817,-4.487925043306129,2.1425634692379605,-130.6800872399157,-39.27888451712709,-26.8179170771013,-0.0857,-0.9088,-0.3361,-0.2319,0
3373199.0,3334.430228,1.0,5.44,-1.25,-6.92,-1.56,-25.06,34.25,-169.56,-126.12,92.81,-0.40349281859474817,-4.487925043306129,2.1425634692379605,-130.6800872399157,-39.27888451712709,-26.8179170771013,-0.0857,-0.9088,-0.3361,-0.2319,0
3373234.0,3334.477774,1.0,4.22,2.72,-7.89,-1.56,-25.06,34.25,-73.12,-35.13,71.81,0.502851340161562,-1.0012631738031499,0.5220653250410088,-133.12658560187518,-35.39602326525133,-26.47640945025204,-0.1152,-0.9175,-0.304,-0.229,0
3373234.0,3334.477774,1.0,4.22,2.72,-7.89,-1.56,-25.06,34.25,-73.12,-35.13,71.81,0.502851340161562,-1.0012631738031499,0.5220653250410088,-133.12658560187518,-35.39602326525133,-26.47640945025204,-0.1152,-0.9175,-0.304,-0.229,0
3373271.0,3334.501189,1.0,4.04,2.3,-7.77,0.0,-27.37,32.19,-53.5,14.25,43.13,0.052517964717950005,-1.2615724515836328,0.840593073302113,-133.444524198005,-33.79973728659347,-27.407295558849803,-0.1244,-0.9186,-0.2907,-0.2369,0
3373271.0,3334.501189,1.0,4.04,2.3,-7.77,0.0,-27.37,32.19,-53.5,14.25,43.13,0.052517964717950005,-1.2615724515836328,0.840593073302113,-133.444524198005,-33.79973728659347,-27.407295558849803,-0.1244,-0.9186,-0.2907,-0.2369,0
3373307.0,3334.559927,1.0,4.9,2.67,-5.95,-1.88,-30.37,30.87,-33.13,29.06,52.69,1.5544564333105766,-1.1847615170748709,1.8869653254313334,-133.85216386873807,-31.518996754873605,-29.073389830335397,-0.1293,-0.92,-0.2716,-0.251,0
3373307.0,3334.559927,1.0,4.9,2.67,-5.95,-1.88,-30.37,30.87,-33.13,29.06,52.69,1.5544564333105766,-1.1847615170748709,1.8869653254313334,-133.85216386873807,-31.518996754873605,-29.073389830335397,-0.1293,-0.92,-0.2716,-0.251,0
3373340.0,3334.583304,1.0,4.85,3.07,-6.76,-1.88,-30.37,30.87,-49.19,20.31,86.06,1.0760104905972234,-0.7768722260555423,1.0383165797593978,-134.64810211296725,-28.97869493391196,-30.28255562108873,-0.1331,-0.9227,-0.2502,-0.2612,0
3373340.0,3334.583304,1.0,4.85,3.07,-6.76,-1.88,-30.37,30.87,-49.19,20.31,86.06,1.0760104905972234,-0.7768722260555423,1.0383165797593978,-134.64810211296725,-28.97869493391196,-30.28255562108873,-0.1331,-0.9227,-0.2502,-0.2612,0
3373375.0,3334.636644,1.0,4.25,2.2,-6.19,-3.38,-31.5,30.06,-83.62,48.31,82.19,0.21811491950331133,-1.0726917483081033,2.0593692967466453,-134.41089761229173,-25.288865851045276,-33.045974096012706,-0.1463,-0.9219,-0.2189,-0.2844,0
3373375.0,3334.636644,1.0,4.25,2.2,-6.19,-3.38,-31.5,30.06,-83.62,48.31,82.19,0.21811491950331133,-1.0726917483081033,2.0593692967466453,-134.41089761229173,-25.288865851045276,-33.045974096012706,-0.1463,-0.9219,-0.2189,-0.2844,0
3373412.0,3334.710601,1.0,4.1,2.49,-4.45,-7.06,-32.56,27.25,-101.12,43.63,71.69,0.9150147868407891,-0.48792227036476854,3.346210402113118,-133.58972143720712,-22.11569761985897,-35.335886110848904,-0.1627,-0.9191,-0.1918,-0.3035,0
3373412.0,3334.710601,1.0,4.1,2.49,-4.45,-7.06,-32.56,27.25,-101.12,43.63,71.69,0.9150147868407891,-0.48792227036476854,3.346210402113118,-133.58972143720712,-22.11569761985897,-35.335886110848904,-0.1627,-0.9191,-0.1918,-0.3035,0
3373449.0,3334.720907,1.0,4.38,3.76,-5.23,-10.0,-34.56,24.75,-181.75,33.63,85.0,0.3077858202830356,0.08935388201126937,2.0238366415413616,-131.03834889093932,-17.184314583414665,-38.41618161401926,-0.2029,-0.9101,-0.1494,-0.329,0
3373449.0,3334.720907,1.0,4.38,3.76,-5.23,-10.0,-34.56,24.75,-181.75,33.63,85.0,0.3077858202830356,0.08935388201126937,2.0238366415413616,-131.03834889093932,-17.184314583414665,-38.41618161401926,-0.2029,-0.9101,-0.1494,-0.329,0
